,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,12368000.000,12666000.000,13396000.000,14204000.000,12673000.000,12793000.000,11696000.000,13573000.000,14295000.000,10715000.000,10794000.000,12545000.000,13490000.000,10362000.000,11625000.000,9004000.000,12108000.000,10704000.000,11905000.000,18769000.000,15040000.000
AccountsReceivableNetCurrent,15117000.000,15507000.000,14393000.000,15624000.000,14548000.000,15346000.000,14359000.000,14569000.000,14594000.000,17769000.000,16908000.000,20479000.000,19276000.000,17044000.000,20810000.000,24341000.000,22423000.000,19052000.000,19993000.000,27386000.000,17235000.000
AccruedBonusesCurrent,,3077000.000,3429000.000,4265000.000,2057000.000,2515000.000,3160000.000,2787000.000,2196000.000,2729000.000,4066000.000,4066000.000,3671000.000,3519000.000,4424000.000,6112000.000,3518000.000,4991000.000,6167000.000,6860000.000,3583000.000
AccruedLiabilitiesAndOtherLiabilities,3749000.000,5326000.000,6293000.000,7328000.000,6180000.000,5866000.000,6043000.000,5177000.000,4193000.000,6375000.000,7050000.000,8403000.000,7150000.000,7459000.000,7404000.000,9765000.000,9529000.000,12015000.000,13265000.000,11684000.000,7714000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,10421000.000,11400000.000,12483000.000,13600000.000,14632000.000,15752000.000,16645000.000,17700000.000,18820000.000,19950000.000,21419000.000,22875000.000,24331000.000,25591000.000,27489000.000,27776000.000,29542000.000,31301000.000,32576000.000,34197000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,9000.000,-8000.000,-6000.000,0.000,1000.000,1000.000,2000.000,15000.000,11000.000,8000.000,20000.000,11000.000,14000.000,-13000.000,2000.000,58000.000,-129000.000,-17000.000,-17000.000,28000.000
AdditionalPaidInCapital,97294000.000,97823000.000,98712000.000,99449000.000,100115000.000,100764000.000,101497000.000,102226000.000,102932000.000,103809000.000,105075000.000,105961000.000,106761000.000,107660000.000,112880000.000,113238000.000,114014000.000,115097000.000,116224000.000,117747000.000,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,,,,,118730000.000
AllowanceForDoubtfulAccountsReceivableCurrent,25000.000,25000.000,25000.000,25000.000,46000.000,46000.000,276000.000,76000.000,76000.000,176000.000,328000.000,388000.000,,383000.000,324000.000,372000.000,447000.000,213000.000,157000.000,263000.000,270000.000
Assets,68496000.000,71022000.000,73578000.000,76330000.000,73763000.000,72963000.000,71947000.000,74789000.000,72864000.000,69514000.000,68831000.000,66238000.000,65549000.000,62783000.000,85482000.000,89026000.000,90149000.000,87661000.000,87063000.000,93399000.000,80506000.000
AssetsCurrent,54270000.000,57954000.000,59802000.000,61398000.000,58831000.000,55969000.000,52389000.000,52971000.000,50844000.000,46378000.000,44207000.000,48371000.000,48341000.000,46068000.000,38633000.000,43328000.000,42521000.000,40535000.000,39620000.000,46563000.000,33613000.000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,,,,,,,,1000000.000,,,,1000000.000,,,,1000000.000,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccruedLiabilities,,500000.000,500000.000,500000.000,500000.000,0.000,0.000,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,500000.000,,,,,,,,,
CapitalLeaseObligationsCurrent,2338000.000,2408000.000,2258000.000,2127000.000,1989000.000,1905000.000,1914000.000,1946000.000,1792000.000,1532000.000,1276000.000,1150000.000,1101000.000,1319000.000,1412000.000,1574000.000,1481000.000,1472000.000,1170000.000,982000.000,1158000.000
CapitalLeaseObligationsNoncurrent,3294000.000,2732000.000,2178000.000,1712000.000,1246000.000,795000.000,753000.000,885000.000,966000.000,1256000.000,1344000.000,1383000.000,1436000.000,1180000.000,1102000.000,1007000.000,779000.000,1035000.000,1151000.000,1014000.000,1040000.000
CapitalLeasesFutureMinimumPaymentsDue,,5396000.000,4707000.000,4053000.000,,,,2959000.000,,,,2648000.000,,,,2730000.000,,,,2148000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,2281000.000,2281000.000,2280000.000,,,,2038000.000,,,,1233000.000,,,,1665000.000,,,,1056000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,,,,,8000.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,,,91000.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,143000.000,132000.000,133000.000,,,,,,,,,,,,232000.000,,,,403000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,1664000.000,1640000.000,1640000.000,,,,531000.000,,,,1050000.000,,,,734000.000,,,,680000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,256000.000,271000.000,214000.000,,,,128000.000,,,,115000.000,,,,149000.000,,,,152000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,5140000.000,4436000.000,3839000.000,,,,2831000.000,,,,2533000.000,,,,2581000.000,,,,1996000.000,
CapitalLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,1308000.000,654000.000,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,33120000.000,35058000.000,38709000.000,41944000.000,40156000.000,37742000.000,34778000.000,36397000.000,32960000.000,25664000.000,24359000.000,25600000.000,26750000.000,27063000.000,15569000.000,15697000.000,15748000.000,16295000.000,15028000.000,14315000.000,11261000.000
CommitmentsAndContingencies,,,,,,,,,,0.000,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,27197264.000,27230503.000,27415902.000,27517665.000,27622062.000,27641886.000,27659136.000,27684598.000,27810039.000,27923365.000,27931603.000,27944853.000,28011390.000,28118593.000,30575470.000,30636327.000,30652054.000,30908818.000,31184345.000,31626635.000,32567787.000
CommonStockSharesOutstanding,26877764.000,26911003.000,27096402.000,27198165.000,27302562.000,27322386.000,27339636.000,27365098.000,27468539.000,27374815.000,27379450.000,27391709.000,27432463.000,27510861.000,29945780.000,29983279.000,29999006.000,30212158.000,30467530.000,30881148.000,31822300.000
CommonStockValue,272000.000,272000.000,274000.000,275000.000,276000.000,276000.000,277000.000,277000.000,278000.000,279000.000,279000.000,279000.000,279000.000,280000.000,311000.000,306000.000,307000.000,308000.000,312000.000,316000.000,325000.000
ContractualObligation,,11473000.000,10063000.000,8587000.000,7319000.000,6401000.000,5159000.000,7680000.000,6573000.000,5478000.000,4358000.000,3345000.000,4046000.000,16863000.000,8110000.000,7480000.000,6820000.000,4900000.000,3850000.000,1560000.000,600000.000
ContractualObligationDueAfterFifthYear,,360000.000,360000.000,,0.000,0.000,0.000,,0.000,0.000,0.000,,0.000,,,,,,,,
ContractualObligationDueInFifthYear,,,,360000.000,,,,,0.000,0.000,0.000,,0.000,,,,,,,,
ContractualObligationDueInFourthYear,,,1080000.000,1080000.000,360000.000,360000.000,360000.000,360000.000,360000.000,360000.000,360000.000,,110000.000,3018000.000,660000.000,660000.000,,,,,
ContractualObligationDueInNextTwelveMonths,,4773000.000,4648000.000,4648000.000,1419000.000,1419000.000,1419000.000,4610000.000,,,,1905000.000,,,,4140000.000,,,,1560000.000,
ContractualObligationDueInSecondYear,,1419000.000,1419000.000,1419000.000,1080000.000,1080000.000,1080000.000,1630000.000,1630000.000,1630000.000,1630000.000,1080000.000,1300000.000,6700000.000,4140000.000,2020000.000,2020000.000,2080000.000,2080000.000,,
ContractualObligationDueInThirdYear,,1080000.000,1080000.000,1080000.000,1080000.000,1080000.000,1080000.000,1080000.000,1080000.000,1080000.000,1080000.000,360000.000,580000.000,4581000.000,2020000.000,660000.000,660000.000,720000.000,720000.000,,
ContractualObligationFutureMinimumPaymentsDueRemainderOfFiscalYear,,,,,,,,,3503000.000,2408000.000,1288000.000,,2056000.000,2564000.000,1290000.000,,4140000.000,2100000.000,1050000.000,,
DeferredIncomeTaxLiabilities,,,,567000.000,,,,480000.000,,,,514000.000,,,,371000.000,,,,421000.000,
DeferredRevenue,,268000.000,191000.000,297000.000,310000.000,554000.000,437000.000,247000.000,235000.000,504000.000,410000.000,642000.000,410000.000,611000.000,,,,,,,
DeferredRevenueCurrent,,,,,,,,,,,,,,,7652000.000,11295000.000,10298000.000,10279000.000,9946000.000,12149000.000,12157000.000
DeferredRevenueNoncurrent,,,,,,,,,,,,,,,2952000.000,3225000.000,4470000.000,3210000.000,2878000.000,3917000.000,3957000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,,,,,,,,,,,,,557000.000,
DeferredTaxAssetsGross,,,,5720000.000,,,,5876000.000,,,,8645000.000,,,,9844000.000,,,,14951000.000,
DeferredTaxAssetsLiabilitiesNet,,,,5153000.000,,,,5396000.000,,,,627000.000,,,,627000.000,,,,500000.000,
DeferredTaxAssetsLiabilitiesNetNoncurrent,2255000.000,690000.000,1079000.000,,2527000.000,3779000.000,3981000.000,,4455000.000,4969000.000,6255000.000,,,,,,,,,,
DeferredTaxAssetsNet,,,,,,,,,,,,1141000.000,,,,998000.000,,,,921000.000,
