,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccrualForEnvironmentalLossContingenciesChargesToExpenseForNewLosses,,,,,,5000000.000
AccrualForEnvironmentalLossContingenciesForeignCurrencyTranslationGainLoss,,,,,,-2000000.000
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslation,,2000000.000,3000000.000,-9000000.000,-8000000.000,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,,,,,2000000.000,15000000.000
AccrualForEnvironmentalLossContingenciesPayments,,12000000.000,11000000.000,8000000.000,14000000.000,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,29000000.000
AccrualForEnvironmentalLossContingenciesProvisionForNewLosses,,16000000.000,,,20000000.000,
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,,10000000.000,,
AmortizationOfFinancingCostsAndDiscounts,,,,,16000000.000,16000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1000000.000,,,,,
AssetImpairmentCharges,,,0.000,0.000,,
AssetRetirementObligationAccretionExpense,,3000000.000,3000000.000,3000000.000,3000000.000,3000000.000
AssetRetirementObligationCashPaidToSettle,,29000000.000,14000000.000,4000000.000,1000000.000,4000000.000
AssetRetirementObligationForeignCurrencyTranslation,,2000000.000,3000000.000,-9000000.000,-9000000.000,
AssetRetirementObligationForeignCurrencyTranslationGainLoss,,,,,,-4000000.000
AssetRetirementObligationLiabilitiesIncurred,,9000000.000,0.000,2000000.000,1000000.000,0.000
AssetRetirementObligationRevisionOfEstimate,,-2000000.000,-6000000.000,4000000.000,1000000.000,-1000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,0.000,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,5000000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,,,0.000,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,201000000.000,0.000
AvailableForSaleSecuritiesGrossRealizedLosses,,,,0.000,,0.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,1000000.000,0.000,3000000.000
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,1000000.000,5000000.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1718000000.000,-3419000000.000,-107000000.000,-49000000.000
CommonStockDividendsPerShareCashPaid,,4.200,2.000,2.700,3.040,3.330
CommonStockDividendsPerShareDeclared,5.050,,,,3.040,3.330
ComprehensiveIncomeNetOfTax,,,4364000000.000,3052000000.000,4064000000.000,3763000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-4000000.000,-6000000.000,-2000000.000,1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,4360000000.000,3046000000.000,4062000000.000,3764000000.000
CostOfGoodsSold,,,37940000000.000,38939000000.000,25683000000.000,23191000000.000
CostsAndExpenses,,,38960000000.000,39872000000.000,26613000000.000,24123000000.000
CurrentFederalTaxExpenseBenefit,,,969000000.000,985000000.000,1009000000.000,421000000.000
CurrentForeignTaxExpenseBenefit,,,135000000.000,277000000.000,468000000.000,557000000.000
CurrentIncomeTaxExpenseBenefit,,,1182000000.000,1363000000.000,1549000000.000,1029000000.000
CurrentStateAndLocalTaxExpenseBenefit,,,78000000.000,101000000.000,72000000.000,51000000.000
