,2011-06-30,2011-09-30,2012-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,15000.000
AmortizationOfFinancingCosts,,,26000.000
BankOwnedLifeInsuranceIncome,,,31000.000
ComprehensiveIncomeNetOfTax,,,499000.000
DepreciationAmortizationAndAccretionNet,,,70000.000
EarningsPerShareBasic,-1.820,-0.400,0.600
EarningsPerShareDiluted,-1.820,-0.400,0.600
FeesAndCommissionsDepositorAccounts,81000.000,78000.000,76000.000
ForeclosedRealEstateExpense,265000.000,-184000.000,-138000.000
GainLossOnSaleOfSecuritiesNet,93000.000,155000.000,800000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-2527000.000,-475000.000,1069000.000
IncomeTaxExpenseBenefit,729000.000,239000.000,1000.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,-369000.000
IncreaseDecreaseInDeposits,,,-5939000.000
IncreaseDecreaseInInterestPayableNet,,,-35000.000
IncreaseDecreaseInLoansHeldForSale,,,304000.000
IncreaseDecreaseInOtherOperatingAssets,,,-206000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,-1101000.000
IncreaseDecreaseInTradingSecurities,,,1000.000
InformationTechnologyAndDataProcessing,59000.000,64000.000,56000.000
InterestAndDividendIncomeOperating,2786000.000,2839000.000,2566000.000
InterestAndDividendIncomeSecurities,640000.000,600000.000,449000.000
InterestAndFeeIncomeLoansAndLeases,2134000.000,2224000.000,2111000.000
InterestExpense,1083000.000,1038000.000,825000.000
InterestExpenseBorrowings,414000.000,355000.000,339000.000
InterestExpenseDeposits,395000.000,422000.000,284000.000
InterestExpenseNegotiableOrderOfWithdrawalNOWDeposits,5000.000,6000.000,5000.000
InterestExpenseTimeDeposits100000OrMore,269000.000,255000.000,197000.000
InterestIncomeDepositsWithFinancialInstitutions,12000.000,15000.000,6000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,1353000.000,751000.000,1741000.000
InterestIncomeExpenseNet,1703000.000,1801000.000,1741000.000
LaborAndRelatedExpense,769000.000,754000.000,874000.000
LitigationSettlementExpense,2367000.000,,
NetCashProvidedByUsedInContinuingOperations,,,19478000.000
NetCashProvidedByUsedInFinancingActivities,,,-5939000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-5939000.000
NetCashProvidedByUsedInInvestingActivities,,,25965000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,25965000.000
NetCashProvidedByUsedInOperatingActivities,,,-548000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-548000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-714000.000,1068000.000
NoninterestExpense,5121000.000,2033000.000,1830000.000
NoninterestIncome,1241000.000,807000.000,1158000.000
NoninterestIncomeOtherOperatingIncome,785000.000,334000.000,171000.000
OccupancyNet,245000.000,264000.000,238000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentBeforeTaxPortionAttributableToParent,,,-569000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-569000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent,,,0.000
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeBeforeTax,,,800000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,231000.000
PaymentsForProceedsFromFederalHomeLoanBankStock,,,-119000.000
PaymentsToAcquireLoansHeldForInvestment,,,-7745000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,1000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,,,105000.000
ProceedsFromSaleOfAvailableForSaleSecurities,,,17997000.000
ProfessionalFees,607000.000,515000.000,332000.000
ProfitLoss,-3256000.000,,
ProvisionForLoanLossesExpensed,350000.000,1050000.000,
SellingGeneralAndAdministrativeExpense,809000.000,620000.000,307000.000
ServicingFeesNet,282000.000,240000.000,0.000
