,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,98005.000,112575.000,130500.000,150347.000,165647.000,182195.000,161883.000,175610.000,174696.000,178577.000,175864.000,165187.000,174274.000,175470.000,176153.000,175575.000,175576.000,175181.000,181705.000,166904.000,167348.000,168554.000
AdditionalPaidInCapital,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000,106990.000
Assets,11.000,3363.000,3050.000,1500.000,1500.000,2708.000,28.000,,26.000,40.000,3.000,2.000,10324.000,34.000,16.000,4.000,10.000,0.000,65.000,5047.000,2032.000,5014.000
BankOverdrafts,,,,,,,,,,,,,,,,,,6.000,,,,
Cash,,,,,,,,,,,,,,,,,,-6.000,65.000,47.000,32.000,14.000
CashAndCashEquivalentsAtCarryingValue,11.000,1863.000,1550.000,,,1208.000,28.000,,26.000,40.000,3.000,2.000,5.000,34.000,16.000,4.000,10.000,0.000,65.000,47.000,32.000,14.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000,7070000.000
CommonStockValue,,,,,,,,,,,,,,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000,70.000
DeferredTaxAssetsNet,,,,,,,0.000,,,,0.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,120000.000,,,,165000.000,,,,178000.000,,,,197000.000,,,,204000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,-165000.000,,,,-178000.000,,,,197000.000,,,,204000.000,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,285966.000,311739.000,345516.000,376282.000,399217.000,427518.000,471448.000,489630.000,495847.000,505076.000,525058.000,531925.000,547616.000,,,,,,,,,
DueToRelatedPartiesCurrent,0.000,0.000,0.000,,,,,,,,,,,,82959.000,82959.000,82959.000,82959.000,82959.000,82959.000,82959.000,82959.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,,54959.000,54959.000,54959.000,54960.000,71379.000,72889.000,72889.000,82959.000,,,,,,,,
Liabilities,178917.000,208042.000,241506.000,270722.000,293657.000,323166.000,364416.000,382570.000,388813.000,398056.000,418001.000,424867.000,450880.000,471558.000,475150.000,475150.000,489871.000,503865.000,504882.000,507875.000,510731.000,519542.000
LiabilitiesAndStockholdersEquity,11.000,3363.000,3050.000,1500.000,1500.000,2708.000,28.000,,26.000,40.000,3.000,2.000,10324.000,34.000,16.000,4.000,10.000,0.000,65.000,5047.000,2031.000,5014.000
LoansPayable,80912.000,95467.000,111006.000,120350.000,127999.000,140971.000,147574.000,152001.000,159158.000,164519.000,170758.000,186791.000,203717.000,213129.000,,,,,,,,
LoansPayableCurrent,,,,,,,,,,,,,,,216038.000,216616.000,231336.000,245719.000,240218.000,258012.000,260424.000,268029.000
OperatingLossCarryforwards,,,345000.000,,,,471000.000,,,,525000.000,,,,582000.000,,,,601000.000,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,
PrepaidExpenseCurrent,,1500.000,1500.000,1500.000,1500.000,1500.000,0.000,,,,,,10319.000,,,,,,,5000.000,2000.000,5000.000
RetainedEarningsAccumulatedDeficit,,,,,,,,,,,,,,,,-582206.000,-596921.000,-610925.000,-611877.000,-609888.000,-615760.000,-621588.000
