,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsAndOtherReceivablesNetCurrent,317441.000,,,,,,,,,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,1985669.000,,,,,,,,,,65573253.000,73099000.000,49065000.000,40310000.000,4138000.000,3177000.000
AccountsPayableCurrent,,6002204.000,11529320.000,24461334.000,54473721.000,57468874.000,84724160.000,49206615.000,41842068.000,53830430.000,,,,,,
AccountsReceivableGrossCurrent,,,,,,,,,,,,,,,,5701000.000
AccountsReceivableNetCurrent,308017.000,3105079.000,3925224.000,7546092.000,24750444.000,13735288.000,23325355.000,29992585.000,17919518.000,8955900.000,21054292.000,17785000.000,9466000.000,8918000.000,11246000.000,1308000.000
AccountsReceivableRelatedPartiesCurrent,,314521.000,274645.000,0.000,0.000,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,1460137.000,375137.000,0.000,0.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,155343.000,156744.000,163066.000,190371.000,227067.000,249756.000,273134.000,296628.000,322437.000,356524.000,390261.000,445000.000,490000.000,530000.000,566000.000,598000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,121130.000,180447.000,306144.000,156839.000,-32091.000,-121076.000,-93955.000,-8378.000,-5747.000,107588.000,49783.000,-243000.000,0.000,,,
AdditionalPaidInCapitalCommonStock,9199305.000,25948311.000,26258359.000,26654245.000,27094941.000,31328289.000,31615461.000,41790670.000,67197521.000,145937382.000,146381963.000,146888000.000,147275000.000,147639000.000,148055000.000,148143000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,,,,,,4393000.000
AssetRetirementObligation,,,,,,,,,,,,,,,,36800000.000
