,2011-12-31,2012-09-30,2014-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,6452904.000,950668.000,2787856.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,12682.000,,19416.000
AdditionalPaidInCapital,27287918.000,19964510.000,38535422.000
Assets,105746.000,127399.000,2458.000
AssetsCurrent,1800.000,24500.000,974.000
AssetsFairValueDisclosure,,,0.000
Cash,0.000,0.000,974.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,2663563.000,,
CommonStockSharesAuthorized,800000000.000,800000000.000,800000000.000
CommonStockSharesIssued,263523057.000,264402076.000,564374057.000
CommonStockSharesOutstanding,263523057.000,264402076.000,564374057.000
CommonStockSharesSubscriptions,0.000,,
CommonStockValue,26421.000,9789.000,56437.000
ConvertibleDebtCurrent,,39000.000,
ConvertibleLongTermNotesPayable,,,40594.000
ConvertibleNotesPayableCurrent,39000.000,,69000.000
DebtInstrumentPrincipalOutstanding,,39000.000,
DeferredCompensationLiabilityCurrent,,401417.000,
DepositsAssetsCurrent,1800.000,,
DerivativeLiabilities,,,103656.000
DerivativeLiabilitiesCurrent,,,103656.000
DerivativeLiabilitiesNoncurrent,,39000.000,
DueToEmployeesCurrent,,,842194.000
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,0.000,
FinancialLiabilitiesFairValueDisclosure,,,103656.000
FixturesAndEquipmentGross,,,20902.000
InvestmentsFairValueDisclosure,,,0.000
Liabilities,6491904.000,1636085.000,3725623.000
LiabilitiesAndStockholdersEquity,105746.000,127399.000,2458.000
LiabilitiesCurrent,6491904.000,1597085.000,2960512.000
LongTermDebt,,,109594.000
LongTermDebtCurrent,,,69000.000
LongTermDebtNoncurrent,,,40594.000
MinorityInterest,499142.000,509401.000,
NotesAndLoansReceivableNetCurrent,,24500.000,
NotesPayableRelatedPartiesNoncurrent,,,724517.000
OtherAssetsNoncurrent,,1800.000,
PreferredStockParOrStatedValuePerShare,0.000,,0.001
PreferredStockSharesAuthorized,200000000.000,,50000000.000
PreferredStockSharesIssued,0.000,,0.000
PreferredStockSharesOutstanding,0.000,,0.000
PreferredStockSharesSubscribedButUnissuedSubscriptionsReceivable,,245000.000,
PreferredStockValue,0.000,6042081.000,0.000
PropertyPlantAndEquipmentNet,103946.000,101099.000,1484.000
RetainedEarningsAccumulatedDeficit,-31536076.000,-28034467.000,-42315024.000
StockholdersEquity,-6386158.000,-2018087.000,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-6885300.000,-1508686.000,-3723165.000
