,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayableCurrent,4686000.000,4479000.000,6327000.000,4911000.000,5264000.000,11759000.000,11641000.000,5881000.000,5374000.000,7607000.000,10250000.000,2771000.000,3441000.000,9301000.000,13104000.000,1347000.000
AccountsReceivableNetCurrent,6813000.000,5355000.000,6264000.000,4860000.000,5722000.000,952000.000,1050000.000,1240000.000,2950000.000,5109000.000,9719000.000,4676000.000,4074000.000,6430000.000,7637000.000,5128000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,,,,,700000.000,1000000.000,900000.000,900000.000,900000.000,1200000.000,1200000.000,1200000.000,1200000.000,1600000.000,1700000.000
AccruedRoyaltiesCurrentAndNoncurrent,,,,,,,,,,,3959000.000,1071000.000,1313000.000,1892000.000,3973000.000,1341000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,7190000.000,2858000.000,3173000.000,3491000.000,3803000.000,4124000.000,3988000.000,4301000.000,4606000.000,4817000.000,5118000.000,5451000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,5000.000,3000.000,-1000.000,-17000.000,-3000.000,-41000.000,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000,16000.000
AdditionalPaidInCapitalCommonStock,805752000.000,807001000.000,807829000.000,809274000.000,810642000.000,813525000.000,814411000.000,815208000.000,816176000.000,816493000.000,816826000.000,817025000.000,817904000.000,818107000.000,818308000.000,818523000.000
AdvancesOnInventoryPurchases,,,,,,9015000.000,2794000.000,1953000.000,4292000.000,7657000.000,3426000.000,2394000.000,3579000.000,3525000.000,2253000.000,4595000.000
AllowanceForDoubtfulAccountsReceivableCurrent,3000.000,9000.000,27000.000,256000.000,244000.000,10000.000,14000.000,14000.000,14000.000,167000.000,6000.000,1000.000,1000.000,0.000,0.000,0.000
Assets,55101000.000,53651000.000,64292000.000,59946000.000,63243000.000,78463000.000,85872000.000,76666000.000,75478000.000,75831000.000,89706000.000,75511000.000,72833000.000,78645000.000,87837000.000,70962000.000
