,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4394000.000,,,,6375000.000,,,,8375000.000,,,,11297000.000,,,,16000000.000,,,,51000000.000,,,,32000000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,1064000.000,,,,5472000.000,,,,516000.000,,,,312000.000,,,,3000000.000,,,,1000000.000,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,732000.000,,,,-1078000.000,,,,4078000.000,,,,5213000.000,,,,2000000.000,,,,-7000000.000,,,,1000000.000,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,,,,9000000.000,43000000.000,43000000.000,52000000.000,40000000.000,39000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,30586.000,69359.000,,4291.000,4530436.000,44642.000,-4436944.000,23351.000,35094.000,14532.000,20562.000,22956.000,51855.000,23760.000,109409.000,26376.000,49754.000,28716.000,-97599.000,6742714.000,47886.000,51593.000,-6715981.000,55170.000,5000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,,,,,-10000000.000,,,,-1000000.000,,,,0.000,
CapitalExpendituresIncurredButNotYetPaid,1477000.000,,,,381000.000,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,57879000.000,,,,-140700000.000,,,,-113161000.000,,,,232719000.000,,,,56000000.000,,,,1676000000.000,,,,909000000.000,
CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,,,,,,,,,,,,,8000000.000,8000000.000,8000000.000,-16000000.000,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,29588000.000,28282000.000,,24454000.000,-35394000.000,4679000.000,7548000.000,22713000.000,30523000.000,51589000.000,52465000.000,34989000.000,51691000.000,79801000.000,106519000.000,63000000.000,85000000.000,95000000.000,103000000.000,3000000.000,202000000.000,148000000.000,183000000.000,154000000.000,276000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,-311000.000,774000.000,,-1375000.000,-3833000.000,-3524000.000,-4422000.000,-91000.000,-473000.000,-459000.000,1642000.000,-636000.000,-737000.000,-3469000.000,-2158000.000,1000000.000,0.000,1000000.000,0.000,1000000.000,-1000000.000,1000000.000,-2000000.000,-7000000.000,-2000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,22368000.000,29277000.000,27508000.000,28547000.000,23079000.000,-39227000.000,1155000.000,3126000.000,22622000.000,30050000.000,51130000.000,54107000.000,34353000.000,50954000.000,76332000.000,104361000.000,64000000.000,85000000.000,96000000.000,103000000.000,4000000.000,201000000.000,149000000.000,181000000.000,147000000.000,274000000.000
CostOfServices,20176000.000,20312000.000,20229000.000,17397000.000,23337000.000,21816000.000,21744000.000,20808000.000,25065000.000,93300000.000,100479000.000,108080000.000,242284000.000,365888000.000,327232000.000,344596000.000,402000000.000,419000000.000,413000000.000,387000000.000,367000000.000,515000000.000,504000000.000,478000000.000,441000000.000,456000000.000
CostsAndExpenses,1177260000.000,1259711000.000,1253488000.000,1459799000.000,1677950000.000,2157492000.000,2475762000.000,2383529000.000,2605788000.000,2658919000.000,2721421000.000,2599784000.000,3389854000.000,3931028000.000,4243929000.000,4531189000.000,5002000000.000,5333000000.000,5638000000.000,6082000000.000,6933000000.000,10520000000.000,10504000000.000,11390000000.000,11484000000.000,11516000000.000
DeferredIncomeTaxExpenseBenefit,,,,,5855000.000,,,,986000.000,,,,-7873000.000,,,,-6000000.000,,,,-17000000.000,,,,-51000000.000,
DepreciationAndAmortization,14325000.000,,,,16613000.000,,,,15691000.000,,,,20318000.000,,,,27000000.000,,,,35000000.000,,,,86000000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,-841000.000,3141000.000,1379000.000,321000.000,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,0.000,0.000,0.000,0.000,,,,,,,,,,1461000.000,-142000.000,,0.000,0.000,0.000,-1000000.000,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,
EarningsPerShareBasic,0.480,0.570,0.580,0.590,0.470,-0.680,0.070,0.180,0.440,0.720,0.900,0.990,0.570,0.850,1.410,-0.500,0.530,0.740,0.780,0.930,-0.140,0.990,0.850,1.820,0.810,1.470
EarningsPerShareDiluted,0.460,0.540,0.550,0.570,0.450,-0.680,0.070,0.190,0.420,0.700,0.870,0.950,0.560,0.820,1.360,-0.490,0.510,0.720,0.760,0.890,-0.140,0.970,0.830,1.770,0.790,1.440
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1132000.000,,,,5472000.000,,,,515000.000,,,,312000.000,,,,3000000.000,,,,,,,,,
FairValueLevel1ToLevel2TransfersAmount,,,,,1218000.000,,,,,,,,,,,,,,,,,,,,,
FairValueLevel2ToLevel1TransfersAmount,,,,,3113000.000,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfInvestments,-118000.000,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfNotesReceivable,,,,,,,17880000.000,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfOtherAssets,0.000,,,,,,,,,,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,-8488000.000,,,,0.000,0.000,,,,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,162581000.000,166425000.000,167668000.000,90330000.000,163187000.000,168062000.000,181073000.000,192282000.000,210348000.000,230248000.000,253608000.000,236933000.000,295512000.000,321042000.000,333878000.000,363568000.000,403000000.000,442000000.000,464000000.000,517000000.000,722000000.000,949000000.000,940000000.000,,,
GoodwillAndIntangibleAssetImpairment,,,,,,28033000.000,28033000.000,,,,,,,,,,,,,,,,,,,
GoodwillImpairmentLoss,,,,,,25693000.000,25693000.000,,,,,,,,,,,,,,,,,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,,,,,,2340000.000,2340000.000,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,23745000.000,28374000.000,28987000.000,30112000.000,23978000.000,-34999000.000,3819000.000,9061000.000,23002000.000,39484000.000,49373000.000,49359000.000,33816000.000,47183000.000,81099000.000,105902000.000,64000000.000,88000000.000,92000000.000,112000000.000,-16000000.000,170000000.000,146000000.000,259000000.000,139000000.000,254000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,37151000.000,44492000.000,46672000.000,46570000.000,34690000.000,-47440000.000,-9252000.000,10378000.000,37950000.000,64279000.000,80574000.000,86114000.000,67735000.000,91320000.000,104326000.000,193619000.000,128000000.000,172000000.000,180000000.000,217000000.000,2000000.000,357000000.000,318000000.000,480000000.000,219000000.000,421000000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,22823000.000,28063000.000,28213000.000,29264000.000,,,,,,,,,33180000.000,46446000.000,77630000.000,103744000.000,65000000.000,88000000.000,93000000.000,112000000.000,-15000000.000,169000000.000,147000000.000,257000000.000,132000000.000,252000000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.480,0.570,0.580,0.590,,,,,,,,,0.590,0.820,1.380,-0.490,0.540,0.740,0.770,0.940,-0.130,1.000,0.850,1.780,0.810,1.470
IncomeLossFromContinuingOperationsPerDilutedShare,0.460,0.540,0.550,0.570,,,,,,,,,0.570,0.790,1.340,-0.470,0.520,0.720,0.750,0.900,-0.130,0.980,0.840,1.720,0.790,1.440
IncomeLossFromDiscontinuedOperationsNetOfTax,0.000,,,,,,,,,,,,-833000.000,1680000.000,1521000.000,632000.000,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,,,,,,,,,,,,-833000.000,1680000.000,1521000.000,632000.000,-1000000.000,0.000,1000000.000,-1000000.000,-1000000.000,-1000000.000,-1000000.000,6000000.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,,,,,,,,,,,,-0.020,0.030,0.030,-0.010,-0.010,0.000,0.010,-0.010,-0.010,-0.010,0.000,0.040,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.000,,,,,,,,,,,,-0.010,0.030,0.020,-0.020,-0.010,0.000,0.010,-0.010,-0.010,-0.010,-0.010,0.050,0.000,0.000
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,,,,,1000000.000,,,,,,,,,
IncomeTaxExpenseBenefit,14328000.000,16429000.000,18459000.000,17306000.000,12087000.000,-8608000.000,-9547000.000,5739000.000,15039000.000,25268000.000,31660000.000,35113000.000,34555000.000,44874000.000,26696000.000,89875000.000,63000000.000,84000000.000,87000000.000,105000000.000,17000000.000,188000000.000,171000000.000,223000000.000,87000000.000,169000000.000
IncomeTaxesPaidNet,9567000.000,,,,20514000.000,,,,2205000.000,,,,21265000.000,,,,24000000.000,,,,33000000.000,,,,2000000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,26268000.000,,,,-60826000.000,,,,-22745000.000,,,,90481000.000,,,,58000000.000,,,,35000000.000,,,,-237000000.000,
IncreaseDecreaseInDeferredRevenue,10106000.000,,,,8576000.000,,,,3578000.000,,,,34662000.000,,,,-51000000.000,,,,-64000000.000,,,,320000000.000,
IncreaseDecreaseInHealthCareInsuranceLiabilities,13430000.000,,,,100769000.000,,,,117385000.000,,,,196221000.000,,,,227000000.000,,,,196000000.000,,,,358000000.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,,,-524000.000,,,,-5000.000,,,,14425000.000,,,,13000000.000,,,,,,,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,459000000.000,
IncreaseDecreaseInOtherOperatingAssets,-1636000.000,,,,10723000.000,,,,50537000.000,,,,-3411000.000,,,,3000000.000,,,,35000000.000,,,,-89000000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,,,,,,,,,,,,,,,68000000.000,,,,192000000.000,,,,,
IncreaseDecreaseInPremiumsReceivable,4216000.000,,,,120784000.000,,,,56734000.000,,,,119207000.000,,,,334000000.000,,,,174000000.000,,,,-59000000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,2322362.000,2274838.000,,2383569.000,0.000,2221337.000,-2399897.000,1909809.000,2072624.000,2253396.000,-4115201.000,1877390.000,1958575.000,2068391.000,-1889908.000,3788611.000,3961442.000,4010286.000,-7794713.000,0.000,3219759.000,3537829.000,-2349788.000,3762322.000,4063000.000
InterestExpense,5695000.000,5256000.000,4572000.000,4797000.000,4799000.000,4739000.000,4855000.000,6067000.000,6625000.000,7033000.000,6603000.000,6696000.000,7023000.000,8604000.000,9282000.000,10091000.000,10000000.000,11000000.000,11000000.000,11000000.000,33000000.000,52000000.000,57000000.000,75000000.000,62000000.000,62000000.000
InterestPaidNet,1714000.000,,,,1589000.000,,,,1410000.000,,,,1648000.000,,,,2000000.000,,,,3000000.000,,,,72000000.000,
InvestmentIncomeNetAmortizationOfDiscountAndPremium,,,,,2908000.000,,,,2543000.000,,,,,,,,,,,,,,,,,
InvestmentIncomeNonoperating,3749000.000,2933000.000,2697000.000,3990000.000,5291000.000,4045000.000,23244000.000,3377000.000,4471000.000,4286000.000,4946000.000,4754000.000,4724000.000,7252000.000,5676000.000,10348000.000,9000000.000,10000000.000,8000000.000,8000000.000,15000000.000,32000000.000,33000000.000,34000000.000,41000000.000,45000000.000
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseBusinessAcquisitions,,,,,,,,,,,,,,,,,,,,,,,,,0.000,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidCurrentYear1,,,,,,,,,,,,,,,,,,,,,,,,,5973000000.000,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseClaimsPaidPriorYears1,,,,,,,,,,,,,,,,,,,,,,,,,2991000000.000,
LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims1,,,,,,,,,,,,,,,,,,,,,,,,,9322000000.000,
LossContingencyUndiscountedAmountOfInsuranceRelatedAssessmentLiability,,,,,,,,,,,,,,,,,,,,,,,,,47000000.000,
MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,,,106000.000,,-2000.000,-1000.000,1463000.000,24000.000,,,,,,,,,,,,,,,,,,
MinorityInterestIncreaseFromStockIssuance,,,,,,,,,202000.000,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-24134000.000,,,,12247000.000,,,,123000.000,,,,130758000.000,,,,236000000.000,,,,2317000000.000,,,,-10000000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-24134000.000,,,,12247000.000,,,,123000.000,,,,130758000.000,,,,236000000.000,,,,2317000000.000,,,,-10000000.000,
NetCashProvidedByUsedInInvestingActivities,-11978000.000,,,,-120851000.000,,,,-156277000.000,,,,-150484000.000,,,,-225000000.000,,,,-836000000.000,,,,-329000000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-11978000.000,,,,-120851000.000,,,,-156277000.000,,,,-150484000.000,,,,-225000000.000,,,,-836000000.000,,,,-329000000.000,
NetCashProvidedByUsedInOperatingActivities,93991000.000,,,,-32096000.000,,,,42993000.000,,,,252445000.000,,,,45000000.000,,,,195000000.000,,,,1248000000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,93991000.000,,,,-32096000.000,,,,42993000.000,,,,252445000.000,,,,45000000.000,,,,195000000.000,,,,1248000000.000,
NetIncomeLoss,23745000.000,28374000.000,28987000.000,30112000.000,23978000.000,-34999000.000,3819000.000,9061000.000,23002000.000,39484000.000,49373000.000,53240000.000,32983000.000,48863000.000,82620000.000,106534000.000,63000000.000,88000000.000,93000000.000,111000000.000,-17000000.000,169000000.000,145000000.000,265000000.000,139000000.000,254000000.000
NetIncomeLossAttributableToNoncontrollingInterest,-922000.000,-311000.000,-774000.000,-848000.000,-1375000.000,-3833000.000,-3524000.000,-4422000.000,-91000.000,-473000.000,-459000.000,1642000.000,-636000.000,-737000.000,-3469000.000,-2158000.000,1000000.000,0.000,1000000.000,0.000,1000000.000,-1000000.000,1000000.000,-2000000.000,-7000000.000,-2000000.000
NetIncomeLossAttributableToRedeemableNoncontrollingInterest,,,,,,,,,,,,,-750000.000,,,,,,,,,,,,,
NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,,,,,,,,,,,,,,,,,63000000.000,,,,-16000000.000,,,,139000000.000,
