,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-198000.000,,,,-36000.000,,,,-4000.000
AllocatedShareBasedCompensationExpense,185000.000,407000.000,476000.000,611000.000,670000.000,866000.000,946000.000,687000.000,844000.000,845000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,9375000.000,1638000.000,1758000.000,1801000.000,-2997000.000,2212816.000,2234934.000,2180530.000,-4462026.000,2843335.000
AvailableForSaleSecuritiesGrossUnrealizedGains,,5000.000,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,5000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-59056000.000,,,,-15969000.000,,,,-2260000.000
ComprehensiveIncomeNetOfTax,-5169000.000,,-5069000.000,-5380000.000,,-6529000.000,-7907000.000,-7109000.000,-6970000.000,-6498000.000
DepreciationDepletionAndAmortization,,8000.000,,,,24000.000,,,,40000.000
EarningsPerShareBasicAndDiluted,-31.030,-0.280,-0.310,-0.330,-0.380,-0.400,-0.480,-0.430,-0.410,-0.390
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,28000.000,,,,59000.000
ForeignCurrencyTransactionGainLossBeforeTax,,,-126000.000,-314000.000,,184000.000,-63000.000,-2000.000,-53000.000,
ForeignCurrencyTransactionGainLossRealized,,,-14000.000,,,6000.000,-10000.000,-4000.000,-53000.000,
ForeignCurrencyTransactionGainLossUnrealized,,,-112000.000,-314000.000,,178000.000,-53000.000,2000.000,0.000,
GeneralAndAdministrativeExpense,1041000.000,1987000.000,1891000.000,2004000.000,2607000.000,2470000.000,2613000.000,2324000.000,2429000.000,2234000.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,296000.000,,,,-367000.000,,,,-2056000.000
IncreaseDecreaseInOtherReceivables,,305000.000,,,,26000.000,,,,15000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-103000.000,,,,-331000.000,,,,-293000.000
InterestExpense,-10000.000,,,,,,,,,
InvestmentIncomeNet,,40000.000,37000.000,34000.000,33000.000,56000.000,53000.000,46000.000,38000.000,32000.000
LeaseAndRentalExpense,,46000.000,,,,45000.000,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,12000.000,,,,213000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,12000.000,,,,213000.000
NetCashProvidedByUsedInInvestingActivities,,-55183000.000,,,,-10115000.000,,,,4914000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-55183000.000,,,,-10115000.000,,,,4914000.000
NetCashProvidedByUsedInOperatingActivities,,-3873000.000,,,,-5894000.000,,,,-7446000.000
