,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,26798352.000,29904662.000,23012000.000,32710000.000,29095000.000,33207000.000,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,,,,14292000.000,32610000.000,28084000.000,28762000.000,8794000.000,12645000.000,12784000.000,11693000.000,13627000.000,8795000.000,10763000.000,325000.000,587000.000,858000.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,,,600000.000,700000.000,400000.000,600000.000,500000.000,700000.000,800000.000,300000.000,100000.000,0.000,0.000,0.000,
AccountsReceivableGrossCurrent,,,,,,,,,,,,,,,,350000.000,,,,
AccountsReceivableNetCurrent,23985659.000,32204831.000,33393000.000,27625000.000,24813000.000,22567000.000,21225000.000,19820000.000,21412000.000,21050000.000,21010000.000,19516000.000,19047000.000,18774000.000,18751000.000,17403000.000,16024000.000,,2158000.000,158000.000
AccruedLiabilitiesCurrent,,,14019000.000,,,,9133000.000,,,,,,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,8132000.000,12002000.000,11165000.000,7096000.000,7122000.000,7498000.000,7741000.000,3187000.000,2650000.000,2227000.000
AccruedPayrollTaxesCurrent,,,,,,,,,,,3819000.000,,,,3467000.000,,,,235000.000,
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,,,,,,406000.000
AccruedRentCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,,0.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,-27197.000,,,,-27197000.000,,,,-40428000.000,,,,1000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,28600.000,65924.000,-835000.000,-839000.000,-852000.000,-829000.000,-999000.000,-998000.000,-1049000.000,-1016000.000,-529000.000,-544000.000,-528000.000,-549000.000,-1307000.000,-1333000.000,-1326000.000,-1307000.000,-1264000.000,-1264000.000
AdditionalPaidInCapitalCommonStock,366360979.000,373872794.000,378824000.000,380481000.000,381685000.000,382509000.000,385452000.000,386206000.000,386963000.000,388199000.000,388094000.000,388589000.000,389242000.000,389637000.000,389942000.000,390051000.000,390145000.000,390243000.000,390557000.000,390557000.000
AllowanceForDoubtfulAccountsReceivableCurrent,544505.000,447000.000,,2392000.000,2463000.000,2660000.000,2300000.000,2218000.000,2034000.000,2500000.000,2000000.000,1600000.000,1400000.000,1600000.000,1000000.000,900000000.000,900000.000,,0.000,
Assets,426837844.000,452011867.000,463825000.000,462322000.000,438897000.000,418130000.000,327685000.000,312648000.000,293002000.000,279475000.000,161717000.000,148295000.000,131476000.000,121836000.000,113198000.000,104584000.000,94326000.000,64336000.000,29405000.000,27045000.000
AssetsCurrent,149596506.000,134781815.000,123100000.000,236242000.000,212185000.000,192608000.000,122660000.000,109395000.000,101879000.000,90061000.000,71302000.000,61527000.000,53588000.000,48585000.000,44700000.000,41856000.000,35383000.000,31860000.000,29217000.000,26865000.000
AssetsHeldForSaleCurrent,,,,,,,,,9411000.000,8748000.000,,1641000.000,,,,,,,,
AssetsHeldForSaleLongLived,,,,,,,,,,,4520000.000,,,,,,,,,
AssetsHeldForSaleLongLivedFairValueDisclosure,,,,,,,,,,,,,341000.000,75000.000,0.000,,,,,
AssetsHeldForSaleOtherNoncurrent,,,,,,,,,,,5000.000,,,,,,,,,
AssetsHeldForSalePropertyPlantAndEquipment,,,,,,,,,,,2410000.000,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,140932000.000,138725000.000,139975000.000,0.000,,,1388000.000,4520000.000,1641000.000,341000.000,75000.000,,3076000.000,,,0.000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,0.000,,330000.000,,31769000.000,,
BuildingsAndImprovementsGross,,,,,,,5823.000,,,,5823000.000,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationNotesPayableAndLongTermDebt,,,,,5867000.000,841000.000,3909000.000,3332000.000,,,,,,,,,,,,
CapitalLeaseObligationsNoncurrent,,,,,,,,1590000.000,1501000.000,852000.000,2854000.000,1947000.000,1350000.000,307000.000,1044000.000,1945000.000,1322000.000,448000.000,,
CapitalizedComputerSoftwareNet,,,,,,,,,,,6100000.000,,,,6300000.000,,,,,
Cash,,,,,,,,,,,,,,,,,,,25228000.000,
CashAndCashEquivalentsAtCarryingValue,112434487.000,83785303.000,70508000.000,49222000.000,28857000.000,9876000.000,61419000.000,50585000.000,44595000.000,33490000.000,21465000.000,17533000.000,13307000.000,10179000.000,7233000.000,3796000.000,1672000.000,,25228000.000,25299000.000
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,,,,,,,,,,,,,,,,,,1098000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.010,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,400000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000
CommonStockSharesIssued,172559865.000,173864701.000,174810082.000,174840387.000,175018157.000,175064011.000,175157404.000,175157404.000,175635902.000,175644066.000,175773299.000,175789166.000,17587139.000,17588897.000,17612278.000,17617379.000,17622216.000,17659743.000,17675220.000,17675220.000
CommonStockSharesOutstanding,172559865.000,173864701.000,174810082.000,174840387.000,175018157.000,175064011.000,175157404.000,175157404.000,175635902.000,175644066.000,175773299.000,175789166.000,17587139.000,17588897.000,17612278.000,17617379.000,17622216.000,17659743.000,17675220.000,17675220.000
CommonStockValue,172559.000,173865.000,175000.000,175000.000,175000.000,175000.000,175000.000,175000.000,176000.000,177000.000,176000.000,176000.000,18000.000,18000.000,18000.000,18000.000,18000.000,18000.000,18000.000,18000.000
ConvertibleNotesPayable,,,,,,,,6964000.000,5864000.000,4582000.000,2679000.000,2525000.000,1943000.000,1389000.000,832000.000,624000.000,486000.000,346000.000,,
