,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableCurrent,350565.000,313968.000,375445.000,30993.000,26270.000,37573.000,27382.000,28288.000,35170.000,20569.000,24551.000,57216.000,22599.000,26206.000,30320.000,146798.000,144413.000,104197.000,62149.000,52707.000,34114.000,59414.000
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,,,,,7706.000,5359.000,7579.000
AccruedLiabilitiesCurrent,569.000,35290.000,27154.000,3726.000,10720.000,3935.000,15182.000,4818.000,943.000,323.000,8232.000,33753.000,337.000,322.000,10010.000,797.000,2386.000,2320.000,23239.000,29742.000,17575.000,17274.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,9783.000,,,10541.000,,,,11106.000,,,,10079.000,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,661030.000,72147.000,-2986.000,-9910.000,66075.000,-2098.000,141536.000,143081.000,-18166.000,108565.000,152530.000,169160.000,206319.000,144930.000,102589.000,63754.000,102644.000,83308.000,73243.000,64391.000,35571.000,15749.000
AdditionalPaidInCapital,42376546.000,42399984.000,42429397.000,42471629.000,42478244.000,42265170.000,42271527.000,42278059.000,42290163.000,42297430.000,42304522.000,42311107.000,42318075.000,42324017.000,42329451.000,42389022.000,42578511.000,42584205.000,42589759.000,42589759.000,42611186.000,42741186.000
Assets,4106425.000,3495010.000,3021279.000,3987284.000,3783847.000,3473013.000,3256426.000,3031685.000,2365036.000,2193372.000,2043191.000,1813561.000,1521041.000,1173254.000,883711.000,1746041.000,1654077.000,1497313.000,1274162.000,1071386.000,247894.000,318353.000
AssetsCurrent,4050793.000,3430599.000,2946450.000,3955933.000,3749077.000,3435551.000,3218871.000,2976842.000,2293808.000,2116025.000,1954304.000,1719672.000,1421519.000,1072172.000,750763.000,1608614.000,1499329.000,1343325.000,1108157.000,896424.000,82181.000,139961.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,3336.000,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPercentageOfVotingInterestsAcquired,,,,,,,,0.998,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,3992677.000,3378397.000,2902910.000,3877788.000,3699689.000,3399315.000,3183953.000,2936307.000,2239723.000,2082383.000,1921895.000,1701892.000,1394664.000,1042260.000,717144.000,1272930.000,1023143.000,765508.000,437400.000,188811.000,68754.000,122952.000
CashUninsuredAmount,,,,,3300000.000,3009000.000,2811000.000,2550000.000,1824000.000,1775000.000,,,,,,,,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,5200000.000,,,,5200000.000,,,,5200000.000,,,
CommitmentsAndContingencies,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
