,2016-06-30,2016-09-30,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,122000.000
AllocatedShareBasedCompensationExpense,95326.000,121986.000,
AmortizationOfFinancingCostsAndDiscounts,,,581000.000
AssetRetirementObligationAccretionExpense,51000.000,53000.000,20000.000
BasicEarningsPerShareProForma,-1.710,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2184000.000
ComprehensiveIncomeNetOfTax,-12861000.000,-11273000.000,3066000.000
CostsAndExpenses,23933000.000,48185000.000,18947000.000
DeferredIncomeTaxesAndTaxCredits,,,1591000.000
DepreciationDepletionAndAmortization,12498000.000,10665000.000,12122000.000
DilutedEarningsPerShareProForma,-1.710,,
DilutiveSecurities,0.000,0.000,
EarningsPerShareBasic,,-1.440,0.140
EarningsPerShareBasicAndDiluted,-0.850,-1.440,
EarningsPerShareDiluted,,-1.440,0.130
FairValueLiabilitiesMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,2287000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPurchasesSalesIssuancesSettlements,,,-72000.000
GainLossOnDerivativeInstrumentsNetPretax,-6785000.000,1664000.000,8746000.000
GainLossOnSaleOfDerivatives,,,8746000.000
GainLossOnSaleOfOilAndGasProperty,,,-142000.000
GainLossOnSaleOfProperty,1531000.000,-53000.000,
GainsLossesOnExtinguishmentOfDebt,,29363000.000,
GeneralAndAdministrativeExpense,2858000.000,2870000.000,2492000.000
ImpairmentOfLeasehold,1938000.000,,
ImpairmentOfOilAndGasProperties,1938000.000,29144000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-19089000.000,-9576000.000,4653000.000
IncomeTaxExpenseBenefit,-6245000.000,1684000.000,1587000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,7398000.000
IncreaseDecreaseInAccountsReceivable,,,2110000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,378000.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,,760000.000
InterestExpense,6174000.000,7345000.000,5032000.000
InterestPaid,,,912000.000
LeaseOperatingExpense,4398000.000,4006000.000,2956000.000
NaturalGasProductionRevenue,1636000.000,2190000.000,1456000.000
NetCashProvidedByUsedInFinancingActivities,,,5500000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,5500000.000
NetCashProvidedByUsedInInvestingActivities,,,-20652000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-20652000.000
NetCashProvidedByUsedInOperatingActivities,,,12968000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,12968000.000
NetIncomeLoss,-12844000.000,-11260000.000,3066000.000
NonoperatingIncomeExpense,-12959000.000,23071000.000,5984000.000
OilAndGasSalesRevenue,15168000.000,12285000.000,14489000.000
OperatingIncomeLoss,-6130000.000,-32647000.000,-1331000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-17000.000,-13000.000,
PaymentsOfStockIssuanceCosts,,,1000000.000
PaymentsToAcquireOilAndGasProperty,,,1563000.000
PaymentsToAcquireOtherPropertyPlantAndEquipment,,,13000.000
PaymentsToExploreAndDevelopOilAndGasProperties,,,19076000.000
ProFormaWeightedAverageSharesOutstandingDiluted,7522025.000,,
ProceedsFromIssuanceOfLongTermDebt,,,9000000.000
ProductionTaxExpense,1223000.000,907000.000,1037000.000
RepaymentsOfLongTermDebt,,,2500000.000
Revenues,17803000.000,15538000.000,17616000.000
SalesRevenueNet,17803000.000,15538000.000,17616000.000
ShareBasedCompensation,95000.000,122000.000,178000.000
StockIssuedDuringPeriodSharesStockOptionsExercised,,,0.000
StockholdersEquityNoteStockSplitConversionRatio1,,2.000,2.000
UnrealizedGainLossOnDerivatives,,-611000.000,2270000.000
WeightedAverageBasicSharesOutstandingProForma,7522025.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,7842586.000,22833615.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,15044051.000,7842586.000,
WeightedAverageNumberOfSharesOutstandingBasic,,7842586.000,21822015.000
