,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AmortizationOfDebtDiscountPremium,,,,,,,,,,,26259.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-2364.000,,,,-11609.000,,,,-6786.000
DerivativeCostOfHedge,,,,,,,,,,,17837.000
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.010,-0.010,-0.010,-0.020,-0.000,-0.000,-0.000,0.000,-0.000
GeneralAndAdministrativeExpense,5050.000,7944.000,8407.000,9844.000,10843.000,11641.000,8255.000,27387.000,15075.000,6787.000,7923.000
IncreaseDecreaseInAccountsPayable,,,6043.000,,,,-854.000,,,,8137.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,31647.000,,,,32716.000,,,,32716.000
InterestExpense,,-905.000,1647.000,1647.000,2821.000,4595.000,5216.000,5216.000,29150.000,38834.000,35975.000
NetCashProvidedByUsedInOperatingActivities,,,-2364.000,,,,-11609.000,,,,-6786.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-2364.000,,,,-11609.000,,,,-6786.000
NetIncomeLoss,5050.000,-15515.000,-40054.000,-41491.000,-43664.000,-67430.000,-43471.000,-62603.000,-76789.000,-82093.000,-91735.000
OperatingIncomeLoss,5050.000,-14610.000,-38407.000,-39844.000,-40843.000,-62835.000,-38255.000,-57387.000,-45075.000,-38722.000,-37923.000
OtherNonoperatingIncomeExpense,,,,,,,,,-31714.000,,-53812.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,3.430
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,,,,,,,,,,,0.003
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,142440000.000
