,2012-09-30,2013-09-30,2014-09-30,2015-12-31,2016-12-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,-120945.000,-160532.000
AmortizationOfIntangibleAssets,,,,24824.000,12977.000
CashAndCashEquivalentsPeriodIncreaseDecrease,8438.000,727196.000,-753098.000,-81944.000,
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,-30769.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,457028.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,-2680.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,-207446.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-750617.000,1735496.000,27852662.000,-17431626.000
CostOfGoodsSold,,3811.000,,26309.000,
CurrentIncomeTaxExpenseBenefit,,,,3109.000,
DeferredIncomeTaxExpenseBenefit,,,,10894800.000,-9287817.000
Depreciation,,,,18255.000,14686.000
DepreciationAndAmortization,,25313.000,,43079.000,27663.000
DepreciationDepletionAndAmortization,,25313.000,,43079.000,27663.000
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,2476.000,,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,19915.000,,
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,,882028.000,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,-807455.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,96964.000,,
EarningsPerShareBasic,,-0.000,,0.334,-0.010
EarningsPerShareBasicAndDiluted,0.000,-0.000,0.040,0.334,-0.010
EarningsPerShareDiluted,,-0.000,,0.334,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,,8564.000,,-9797.000,2566.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.165,,0.170,0.170
EquityIssuancePerShareAmount,0.015,,,,
FairValueOptionChangesInFairValueGainLoss1,,,,,26536620.000
GainOrLossOnSaleOfStockInSubsidiary,,,2551298.000,6782000.000,
GeneralAndAdministrativeExpense,20157.000,,,628314.000,429308.000
IncomeLossFromContinuingOperations,,,2542951.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,7621085.000,-188195.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-759181.000,2542951.000,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,0.060,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,-807455.000,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,-0.020,,
IncomeTaxExpenseBenefit,,,,3109.000,
IncomeTaxesPaidNet,,,,3109.000,
IncreaseDecreaseInAccountsAndOtherReceivables,,,,672188.000,225553.000
IncreaseDecreaseInAccountsReceivable,,1032.000,,,
IncreaseDecreaseInIncomeTaxes,,,,1593.000,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,165763.000,125079.000
