,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,146867000.000,71507000.000,61099000.000,63545000.000,60986000.000,77357000.000,100791000.000,72581000.000,77585000.000,82467000.000,82933000.000
AccountsPayableCurrent,,,,11294000.000,,,,9040000.000,,,,14281000.000,,,,13648000.000,,,,6792000.000,,,,9121000.000,,
AccountsReceivableNetCurrent,75952000.000,80532000.000,78637000.000,88350000.000,85570000.000,85749000.000,78140000.000,88958000.000,90410000.000,96314000.000,96208000.000,104774000.000,106269000.000,112572000.000,108367000.000,118959000.000,111547000.000,116835000.000,115579000.000,127595000.000,126088000.000,141917000.000,143818000.000,171595000.000,172103000.000,190169000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,3672000.000,,,,3144000.000,,,,3951000.000,,,,,,,,,,,,,,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,12740000.000,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,20929000.000,,,,20880000.000,,,,19078000.000,,,,49067000.000,,,,31187000.000,,,,42355000.000,,
AccruedRoyaltiesCurrent,,,,7277000.000,,,,19861000.000,,,,38967000.000,,,,51377000.000,,,,4454000.000,,,,4877000.000,,
AccruedSalesCommissionCurrent,,,,7214000.000,,,,7523000.000,,,,7319000.000,,,,8329000.000,,,,8502000.000,,,,8836000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-102503000.000,,,,126461000.000,,,,149255000.000,,,,174304000.000,,,,191181000.000,,,,223165000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,69000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,408000.000,,,,,,,,,,,,9500000.000,11700000.000,-11000000.000,-11400000.000,-11600000.000,-9100000.000,-6400000.000,-5900000.000,-10600000.000,8800000.000,8100000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1316000.000,1698000.000,-54000.000,477000.000,1101000.000,35000.000,1166000.000,786000.000,-1043000.000,-3413000.000,-1476000.000,-3238000.000,-2179000.000,-1299000.000,-3907000.000,-9670000.000,-11722000.000,-10970000.000,-11323000.000,-12112000.000,-9079000.000,-6351000.000,-5891000.000,-10631000.000,-8774000.000,-8131000.000
AdditionalPaidInCapital,553484000.000,613016000.000,625387000.000,674790000.000,688992000.000,700409000.000,705931000.000,714865000.000,721688000.000,734796000.000,746518000.000,769203000.000,786285000.000,813541000.000,822854000.000,847145000.000,884469000.000,940765000.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,,,973481000.000,989387000.000,961206000.000,1017902000.000,1033298000.000,1010238000.000,1020672000.000,1033546000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,3430000.000,,,,2780000.000,,,,3481000.000,,,,5844000.000,6119000.000,6251000.000,5849000.000,5320000.000,5856000.000,6066000.000,8335000.000,8912000.000,8086000.000,9399000.000
Assets,806730000.000,1272925000.000,1114798000.000,1123562000.000,1149139000.000,1167243000.000,1184628000.000,1163785000.000,1101452000.000,1108184000.000,1140239000.000,1179568000.000,1225088000.000,1254124000.000,1269383000.000,1343459000.000,1295608000.000,1285765000.000,1271964000.000,1289649000.000,1569119000.000,1605910000.000,1636045000.000,1570804000.000,1570135000.000,1606384000.000
AssetsCurrent,392492000.000,727262000.000,583056000.000,591837000.000,629953000.000,518800000.000,515542000.000,513749000.000,460576000.000,446519000.000,487983000.000,536008000.000,606251000.000,587135000.000,629630000.000,705871000.000,632863000.000,684331000.000,698510000.000,702827000.000,692164000.000,711974000.000,616897000.000,575443000.000,563268000.000,592228000.000
AvailableForSaleSecurities,,,,,,,,,,,,295675000.000,297396000.000,322116000.000,346168000.000,357512000.000,352544000.000,351243000.000,309830000.000,277755000.000,60876000.000,67735000.000,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,36000.000,118000.000,85000.000,129000.000,5000.000,33000.000,37000.000,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,237000.000,105000.000,103000.000,30000.000,540000.000,6000.000,20000.000,,,,
AvailableForSaleSecuritiesAmortizedCost,,81913000.000,260685000.000,241562000.000,156240000.000,254653000.000,325868000.000,308175000.000,286279000.000,300523000.000,288711000.000,295638000.000,297371000.000,322152000.000,346272000.000,357713000.000,352531000.000,351261000.000,309731000.000,278290000.000,60849000.000,67718000.000,,,,
AvailableForSaleSecuritiesCurrent,58876000.000,14545000.000,151363000.000,146228000.000,88417000.000,120656000.000,134899000.000,138405000.000,121897000.000,113779000.000,109214000.000,143449000.000,176608000.000,140849000.000,169824000.000,220329000.000,200809000.000,200052000.000,196037000.000,165423000.000,42495000.000,54081000.000,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,81939000.000,260722000.000,241663000.000,156283000.000,254609000.000,325926000.000,308240000.000,286311000.000,300326000.000,288796000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,28000.000,35000.000,6000.000,15000.000,80000.000,16000.000,22000.000,50000.000,230000.000,45000.000,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions,,0.000,,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesNoncurrent,32814000.000,4603000.000,46593000.000,32503000.000,4999000.000,23707000.000,42416000.000,84412000.000,80829000.000,100072000.000,92999000.000,79829000.000,52209000.000,102920000.000,83752000.000,43042000.000,27501000.000,27921000.000,113793000.000,112332000.000,18381000.000,13654000.000,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,54000.000,72000.000,107000.000,58000.000,36000.000,74000.000,87000.000,82000.000,33000.000,130000.000,,,,,,,,,,,,,,,
BusinessAcquisitionContingentConsiderationAtFairValue,,,,0.000,,,,1019000.000,,,0.000,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityCashPaid,,,40500000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,,,39500000.000,,,,,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,80000000.000,,,,80900000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,5100000.000,,,,5100000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,,,-9100000.000,,,,8900000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,,,-8700000.000,,,,-8000000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,58400000.000,,,,57700000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,,,1100000.000,,,,1100000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,0.000,,,,0.000,,,,0.000,,,,,,
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,,,,,,,,,,,,,,,19497000.000,,45005000.000,49742000.000,48576000.000,19271000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,,,,,,,,,,,,,,,,,,,,,189800000.000,198800000.000,251500000.000,241300000.000,,
CapitalLeaseObligationsCurrent,,,,-400000.000,,,,483000.000,,,,525000.000,,,,495000.000,,,,521000.000,,,,512000.000,,
CapitalLeaseObligationsNoncurrent,,,,859000.000,,,,426000.000,,,,223000.000,,,,677000.000,,,,174000.000,,,,937000.000,,
CapitalLeasedAssetsGross,,,,1400000.000,,,,1400000.000,,,,1800000.000,,,,1500000.000,,,,1500000.000,,,,1500000.000,,
CapitalLeasesFutureMinimumPaymentsDue,,,,1553000.000,,,,1049000.000,,,,853000.000,,,,1249000.000,,,,736000.000,7500000.000,7000000.000,6600000.000,1649000.000,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,563000.000,,,,590000.000,,,,580000.000,,,,557000.000,,,,554000.000,,,,630000.000,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,3000.000,,,,0.000,,,,0.000,,,,9000.000,,,,,,,,10000.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,424000.000,,,,13000.000,,,,127000.000,,,,145000.000,,,,20000.000,,,,429000.000,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,563000.000,,,,446000.000,,,,146000.000,,,,538000.000,,,,162000.000,,,,580000.000,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,-294000.000,,,,140000.000,,,,105000.000,,,,77000.000,,,,41000.000,,,,200000.000,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,1259000.000,,,,909000.000,,,,748000.000,,,,1172000.000,,,,695000.000,,,,1449000.000,,
CapitalizedComputerSoftwareNet,,,,,,,,,,,,,,,,17300000.000,,,,17600000.000,,,,24200000.000,,
CashAndCashEquivalentsAtCarryingValue,134101000.000,505084000.000,220943000.000,163492000.000,270180000.000,121156000.000,107731000.000,123299000.000,78472000.000,58880000.000,100616000.000,102825000.000,110777000.000,106461000.000,130657000.000,142387000.000,88494000.000,78637000.000,141328000.000,192339000.000,270105000.000,263082000.000,203818000.000,153643000.000,134008000.000,130932000.000
CommitmentsAndContingencies,,,,,,,,,,,,,,,,0.000,,,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,53632000.000,,,,54998000.000,,,,44241000.000,,,,44148000.000,,,,38826000.000,,,,76393000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,70000000.000,70000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000,120000000.000
CommonStockSharesIssued,39652000.000,39867000.000,39904000.000,42455000.000,43160000.000,43441000.000,43505000.000,43686000.000,44207000.000,44503000.000,44596000.000,44943000.000,46540000.000,46941192.000,47020015.000,47691744.000,49674361.000,51299463.000,52099475.000,52616471.000,53418900.000,54868373.000,55096226.000,55184660.000,55623735.000,58081702.000
CommonStockSharesOutstanding,39652000.000,39867000.000,39904000.000,42455000.000,43160000.000,43441000.000,43505000.000,43686000.000,44207000.000,44503000.000,44596000.000,44943000.000,46540000.000,46941192.000,47020015.000,44943422.000,49674361.000,51299463.000,52099475.000,52616471.000,53418900.000,54868373.000,55096226.000,55184660.000,55623735.000,58081702.000
CommonStockValue,40000.000,40000.000,40000.000,42000.000,43000.000,43000.000,44000.000,44000.000,44000.000,45000.000,45000.000,45000.000,47000.000,47000.000,47000.000,48000.000,50000.000,51000.000,52000.000,53000.000,53000.000,55000.000,55000.000,55000.000,56000.000,58000.000
ConvertibleLongTermNotesPayable,230000000.000,543696000.000,427974000.000,394019000.000,322796000.000,325941000.000,329143000.000,332404000.000,335726000.000,339108000.000,342552000.000,346060000.000,349632000.000,353269000.000,356974000.000,360746000.000,364588000.000,368501000.000,372485000.000,376542000.000,669398000.000,555493000.000,559950000.000,564412000.000,568939000.000,573532000.000
ConvertibleNotesPayable,,,,,397107000.000,400252000.000,403454000.000,406715000.000,335726000.000,339108000.000,342552000.000,346060000.000,349632000.000,353269000.000,356974000.000,,,,,,,674944000.000,680925000.000,626113000.000,631425000.000,636834000.000
ConvertibleNotesPayableCurrent,,,,,74311000.000,74311000.000,74311000.000,74311000.000,0.000,0.000,0.000,0.000,,,,,,,,,,119451000.000,120975000.000,61701000.000,62486000.000,63302000.000
