,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,41789000.000,,,,49293000.000,,,,57515000.000,,,,67914000.000,,,,82736000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,9029000.000,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,3330000.000,7930000.000,10565000.000,11452000.000,12960000.000,10783000.000,9029000.000,-898000.000,-453000.000,-3672000.000,3211000.000,10006000.000,10724000.000,14132000.000,14367000.000,8068000.000,11721000.000,7959000.000,10431000.000,15106000.000,13635000.000,-25920000.000,-18067000.000
AdditionalPaidInCapital,48239000.000,49080000.000,53784000.000,54897000.000,56873000.000,73043000.000,76102000.000,79101000.000,140136000.000,143385000.000,147584000.000,315267000.000,317390000.000,324354000.000,563087000.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,566320000.000,633941000.000,755995000.000,752029000.000,755782000.000,1894864000.000,1901880000.000,1907893000.000
AdvancesToAffiliate,,,,,,19778000.000,,,,15680000.000,,,,7974000.000,,,,,,,,,
AmountAvailableForDividendDistributionWithoutPriorApprovalFromRegulatoryAgency,,,,,,40400000.000,,,,,,,,,,,,,,,,,
Assets,4026841000.000,3930647000.000,3837382000.000,3764860000.000,3823017000.000,4040207000.000,3951818000.000,4043632000.000,4706465000.000,4787068000.000,5028893000.000,6297975000.000,6580360000.000,6766499000.000,8303407000.000,8710435000.000,9329216000.000,9879459000.000,11427419000.000,12279579000.000,18451783000.000,18890142000.000,19152212000.000
AssetsFairValueDisclosure,,,524987000.000,508895000.000,525281000.000,592579000.000,594236000.000,598260000.000,770344000.000,759651000.000,769353000.000,969362000.000,915085000.000,896391000.000,832647000.000,823389000.000,832201000.000,619069000.000,659117000.000,852154000.000,1389994000.000,1525913000.000,1523605000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,842231000.000,816068000.000,761066000.000,769243000.000,777437000.000,589490000.000,610893000.000,801159000.000,1320917000.000,1511490000.000,1498366000.000
AvailableForSaleSecurities,499244000.000,439596000.000,434197000.000,414898000.000,429935000.000,494266000.000,487648000.000,490748000.000,671393000.000,669384000.000,687661000.000,892129000.000,859876000.000,839321000.000,784275000.000,782277000.000,796373000.000,602348000.000,627946000.000,824399000.000,1341894000.000,1471612000.000,1470568000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,24411000.000,23712000.000,16395000.000,19912000.000,14041000.000,17365000.000,23315000.000,22556000.000,8747000.000,9287000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,1158000.000,503000.000,3361000.000,976000.000,1183000.000,312000.000,75000.000,1579000.000,48625000.000,37085000.000
