,2011-10-31,2012-01-31
AccountsPayableCurrent,314292.000,314666.000
AccountsReceivableNetCurrent,118435.000,50539.000
AccruedLiabilitiesCurrent,1640199.000,1871979.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,28118.000,28495.000
AdditionalPaidInCapitalCommonStock,47782523.000,48238686.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000
Assets,2587606.000,2494236.000
AssetsCurrent,208930.000,135421.000
CashCashEquivalentsAndShortTermInvestments,19572.000,41913.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000
CommonStockSharesIssued,62217715.000,66173616.000
CommonStockSharesOutstanding,62217715.000,66173616.000
CommonStockValue,62218.000,66174.000
ConvertibleDebtCurrent,80219.000,85055.000
ConvertibleDebtNoncurrent,1120088.000,1164230.000
CustomerDepositsCurrent,23206.000,31099.000
DebtCurrent,3280035.000,3097236.000
DebtInstrumentUnamortizedDiscount,0.000,0.000
DueToRelatedPartiesCurrent,1947110.000,1987721.000
DueToRelatedPartiesNoncurrent,618589.000,624053.000
IntangibleAssetsNetExcludingGoodwill,1023222.000,1023222.000
Liabilities,9245572.000,9202298.000
LiabilitiesAndStockholdersEquity,2587606.000,2494236.000
LiabilitiesCurrent,7285061.000,7387756.000
LiabilitiesNoncurrent,1960511.000,1814542.000
LongTermDebtNoncurrent,221834.000,26259.000
OtherAssetsNoncurrent,349249.000,310859.000
PreferredStockParOrStatedValuePerShare,0.001,0.001
PreferredStockSharesAuthorized,50000000.000,50000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,68365.000,42969.000
PropertyPlantAndEquipmentNet,1006205.000,1024734.000
RetainedEarningsAccumulatedDeficit,-54530825.000,-55041417.000
StockholdersEquity,-6657966.000,-6708062.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-6657996.000,-6708062.000
