,2011-07-31,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30
AllocatedShareBasedCompensationExpense,,,,200000.000,200000.000,,22000.000,71000.000,30000.000,,23000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,537000.000,652000.000,,595000.000,544000.000,544000.000,,516000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1418000.000,,,,-198000.000,,,,-786000.000
ComprehensiveIncomeNetOfTax,,,903000.000,-3376000.000,-7974000.000,1263000.000,-2144000.000,-4072000.000,-6180000.000,2313000.000,-3574000.000
CostOfGoodsSold,63889000.000,65177000.000,67529000.000,59050000.000,60571000.000,88101000.000,64433000.000,55696000.000,56398000.000,86112000.000,63473000.000
CostOfRevenue,70775000.000,71476000.000,73044000.000,64088000.000,65053000.000,93845000.000,69336000.000,60162000.000,60731000.000,91481000.000,67760000.000
DeferredIncomeTaxExpenseBenefit,,,3000.000,,,,3000.000,,,,3000.000
Depreciation,,,3781000.000,,,,3372000.000,,,,2692000.000
EarningsPerShareBasic,-0.470,-0.650,0.100,-0.410,-0.980,0.150,-0.270,-0.500,-0.760,0.280,-0.400
EarningsPerShareDiluted,-0.470,-0.650,0.100,-0.410,-0.980,0.150,-0.270,-0.500,-0.760,0.280,-0.400
EffectiveIncomeTaxRateContinuingOperations,,,,-0.020,-0.005,,-0.027,-0.013,-0.064,0.081,-0.016
GrossProfit,39760000.000,37148000.000,42443000.000,39965000.000,36267000.000,47796000.000,39791000.000,35619000.000,33941000.000,44901000.000,36197000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,-2147000.000,-4049000.000,-6630000.000,2399000.000,-3175000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-5280000.000,-9374000.000,899000.000,-3290000.000,-7957000.000,1332000.000,,,,,
IncomeTaxExpenseBenefit,-1225000.000,-3851000.000,66000.000,66000.000,42000.000,123000.000,59000.000,54000.000,-422000.000,65000.000,52000.000
IncreaseDecreaseInAccountsPayableTrade,,,2309000.000,,,,3917000.000,,,,3110000.000
IncreaseDecreaseInAccruedLiabilities,,,384000.000,,,,3076000.000,,,,-217000.000
IncreaseDecreaseInInventories,,,-8894000.000,,,,-746000.000,,,,-2725000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,265000.000,,,,-198000.000,,,,13000.000
IncreaseDecreaseInOutstandingChecksFinancingActivities,,,2945000.000,,,,-761000.000,,,,-3575000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-2483000.000,,,,804000.000,,,,-451000.000
InterestExpense,287000.000,405000.000,278000.000,292000.000,301000.000,302000.000,263000.000,332000.000,343000.000,345000.000,342000.000
LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,,,,,,,115000000.000,,,,115000000.000
NetCashProvidedByUsedInFinancingActivities,,,-14598000.000,,,,-6117000.000,,,,-4035000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-14598000.000,,,,-6117000.000,,,,-4035000.000
NetCashProvidedByUsedInInvestingActivities,,,-1609000.000,,,,-1324000.000,,,,-1987000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1609000.000,,,,-1324000.000,,,,-1987000.000
NetCashProvidedByUsedInOperatingActivities,,,17625000.000,,,,7243000.000,,,,5236000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,17625000.000,,,,7243000.000,,,,5236000.000
NetIncomeLoss,-4055000.000,-5523000.000,833000.000,-3356000.000,-7999000.000,1209000.000,-2206000.000,-4103000.000,-6208000.000,2334000.000,-3227000.000
OperatingIncomeLoss,-5111000.000,-9062000.000,1153000.000,-3070000.000,-7690000.000,1617000.000,-1954000.000,-3769000.000,-6396000.000,2673000.000,-3193000.000
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,,70000.000,-33000.000,40000.000,52000.000,62000.000,31000.000,28000.000,-21000.000,-422000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,70000.000,-20000.000,25000.000,54000.000,62000.000,31000.000,28000.000,-21000.000,-347000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesBeforeTax,,,,,,,,,43000.000,,422000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,,,-13000.000,15000.000,,,,,,75000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,,,70000.000,-33000.000,40000.000,52000.000,62000.000,31000.000,71000.000,-21000.000,0.000
OtherNonoperatingIncomeExpense,118000.000,93000.000,24000.000,72000.000,34000.000,17000.000,70000.000,52000.000,109000.000,71000.000,360000.000
OtherTaxExpenseBenefit,,,,,,,,,-500000.000,,
PaymentsForRepurchaseOfCommonStock,,,194000.000,,,,28000.000,,,,0.000
PaymentsForRestructuring,,,,,,,,,,,105000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,1609000.000,,,,1324000.000,,,,1987000.000
PreOpeningCosts,154000.000,30000.000,,,,,,,,,
