,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31
AccountsPayableCurrent,,,,17473000.000,17517000.000,17738000.000,24482000.000
AccountsReceivableNetCurrent,,,,57230000.000,58289000.000,67475000.000,78672000.000
AccountsReceivableRelatedPartiesCurrent,,,,,1896000.000,1896000.000,2157000.000
AccruedIncomeTaxesCurrent,,,,2002000.000,2091000.000,2182000.000,2959000.000
AccruedLiabilitiesCurrent,,,,37783000.000,33418000.000,44351000.000,33245000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,27448000.000,31366000.000,35331000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-212000.000,1018000.000,1233000.000,-842000.000
AdditionalPaidInCapitalCommonStock,,,,326627000.000,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,984000.000
Assets,,,,1040796000.000,971086000.000,986653000.000,969381000.000
AssetsCurrent,,,,162688000.000,105270000.000,135936000.000,121609000.000
BuildingsAndImprovementsGross,,,,,2127000.000,2127000.000,2096000.000
CapitalizedComputerSoftwareGross,,,,,50831000.000,,
CashAndCashEquivalentsAtCarryingValue,,,,80358000.000,25735000.000,49491000.000,24993000.000
CommonStockParOrStatedValuePerShare,,,,1.000,,,
CommonStockSharesAuthorized,,,,2500000.000,,,
CommonStockSharesIssued,,,,100.000,,,
CommonStockSharesOutstanding,,,,100.000,,,
DeferredCostsCurrent,,,,,,,338000.000
DeferredIncomeTaxLiabilities,,,,,8061000.000,7915000.000,7621000.000
DeferredRentCredit,,,,,400000.000,300000.000,300000.000
DeferredRevenueCurrent,,,,915000.000,776000.000,935000.000,1166000.000
DeferredTaxAssetsGross,,,,,70000.000,102000.000,200000.000
DeferredTaxAssetsOther,,,,,20000.000,51000.000,57000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,50000.000,51000.000,143000.000
DeferredTaxLiabilities,,,,,7991000.000,7813000.000,7421000.000
DeferredTaxLiabilitiesCurrent,,,,9900000.000,891000.000,870000.000,632000.000
