,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-09-30,2015-06-30,2015-09-30,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,,202767.000,,144328.000,,,,128629.000,,,100255.000,,,,-2836213.000
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,202498.000
AmortizationOfIntangibleAssets,,,0.000,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,18701397.000,,,,,,,,,,,
BusinessDevelopment,48939.000,79551.000,91088.000,74439.000,100199.000,97906.000,130120.000,88873.000,49486.000,107288.000,110139.000,90465.000,66493.000,53246.000,69115.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-9919.000,,-249481.000,,,,,,,-41172.000,,,,
CashPeriodIncreaseDecrease,,,,,,,,,,,,,,,5357.000
CommunicationsAndInformationTechnology,,9644.000,26432.000,25449.000,31939.000,,,,,,,,,,
DebtConversionOriginalDebtAmount1,,,,86400.000,,,,,,,,,,,
DeferredRevenueAdditions,,,,,,,,,,,-232780.000,,,,63750.000
DepreciationDepletionAndAmortization,,146.000,,1132.000,,,,,,,,,,,
DerivativeGainLossOnDerivativeNet,-22800.000,335500.000,107300.000,-185400.000,94300.000,-842400.000,116086.000,,-98100.000,460520.000,170339.000,-2171537.000,2594293.000,,
DerivativeGainOnDerivative,,335500.000,,-185400.000,,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,-189200.000,,,,,,,,,,,
DerivativeLossOnDerivative,,,,,,,,-29400.000,,,,,,,
DilutiveSecurities,,,,,,,,,,,,,,,888775514.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,2055391.000,,,,,,,
EarningsPerShareBasic,,,,,,,,,,,-0.010,-0.040,0.030,,
EarningsPerShareBasicAndDiluted,-0.030,-0.010,-0.020,-0.040,-0.040,-0.060,-0.030,0.060,-0.050,-0.030,,,,,-0.010
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,,,,,,,,,,1047969.000
GainLossOnDispositionOfRealEstateDiscontinuedOperations,,,,,,,,,,0.000,,,,,
GainLossOnSaleOfDerivatives,,,,3800.000,,,,,,,-170339.000,,,,
GainOrLossOnSaleOfStockInSubsidiary,,,,-2353.000,,,,,-38099.000,0.000,,,,,
IncomeLossAttributableToNoncontrollingInterest,,,,,,,,,,0.000,0.000,,,,
IncomeLossFromContinuingOperations,,,,,,,,-807441.000,-1321477.000,-772989.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,,,,,,,,,,-2186933.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,-0.030,-0.050,-0.030,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,241435.000,,0.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,1813956.000,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,,,,0.090,,0.000,,,,,
IncomeTaxesPaid,,13970.000,,8789.000,,,,,,,0.000,,,,0.000
IncomeTaxesPaidNet,,,,,,,,,,,,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,69489.000,,118027.000,,,,,,,52559.000,,,,258815.000
