,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2748000.000,4397000.000,,,,,,
AdditionalPaidInCapitalCommonStock,890741000.000,890757000.000,890757000.000,890757000.000,890862000.000,890862000.000,890862000.000,890862000.000
AllowanceForLoanAndLeaseLossesRealEstate,,,369000.000,0.000,0.000,0.000,0.000,0.000
Assets,969891000.000,946995000.000,992871000.000,987391000.000,967429000.000,968412000.000,973999000.000,961472000.000
CashAndCashEquivalentsAtCarryingValue,37130000.000,47233000.000,202814000.000,257490000.000,189128000.000,105575000.000,123543000.000,164472000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000,1000000000.000
CommonStockSharesIssued,76620112.000,76620112.000,76620112.000,76620112.000,76630528.000,76630528.000,76630528.000,76630528.000
CommonStockSharesOutstanding,76620112.000,76620112.000,76620112.000,76620112.000,76630528.000,76630528.000,76630528.000,76630528.000
CommonStockValue,766000.000,766000.000,766000.000,766000.000,766000.000,766000.000,766000.000,766000.000
DividendsPayableCurrentAndNoncurrent,19155000.000,22986000.000,26817000.000,20688000.000,20692000.000,24523000.000,24522000.000,19159000.000
FiniteLivedIntangibleAssetsNet,,,,5412000.000,5306000.000,5201000.000,5095000.000,4989000.000
InterestPayableCurrentAndNoncurrent,19000.000,,6000.000,48000.000,,,,
InterestReceivable,3500000.000,3861000.000,2608000.000,3509000.000,4140000.000,5116000.000,4957000.000,4946000.000
Liabilities,71907000.000,30397000.000,65714000.000,64805000.000,51046000.000,53925000.000,66126000.000,59369000.000
LiabilitiesAndStockholdersEquity,969891000.000,946995000.000,992871000.000,987391000.000,967429000.000,968412000.000,973999000.000,961472000.000
LoansPayable,,,16600000.000,19150000.000,19150000.000,19150000.000,19150000.000,19150000.000
NotesPayable,,,14755000.000,14898000.000,,,13759000.000,13706000.000
OtherAssets,401000.000,975000.000,1420000.000,3540000.000,2527000.000,5275000.000,3379000.000,2866000.000
RealEstateAccumulatedDepreciation,,,,,,,1140000.000,
RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,,,,329000.000,600000.000,870000.000,1140000.000,1410000.000
RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,,,,27305000.000,27306000.000,27306000.000,27305000.000,27304000.000
RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,,,,7490000.000,7490000.000,7490000.000,7490000.000,7490000.000
RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,,,,34795000.000,34796000.000,34796000.000,34795000.000,34794000.000
RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,,,,38300000.000,38300000.000,38300000.000,,
RealEstateGrossAtCarryingValue,,,,,,,34795000.000,
RealEstateHeldforsale,,,,52800000.000,44071000.000,41514000.000,33511000.000,30077000.000
RealEstateInvestmentPropertyAccumulatedDepreciation,,,54000.000,,,,,
RealEstateInvestmentPropertyAtCost,,,33250000.000,,,,,
RealEstateInvestmentPropertyNet,,,33196000.000,34466000.000,34196000.000,33926000.000,33655000.000,33384000.000
RetainedEarningsAccumulatedDeficit,3729000.000,20678000.000,35634000.000,31063000.000,24755000.000,22859000.000,16245000.000,10475000.000
SecuritiesSoldUnderAgreementsToRepurchase,46550000.000,,,,,,,
StockholdersEquity,897984000.000,916598000.000,927157000.000,922586000.000,916383000.000,914487000.000,907873000.000,902103000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,897984000.000,916598000.000,927157000.000,922586000.000,916383000.000,914487000.000,907873000.000,902103000.000
TaxBasisOfInvestmentsCostForIncomeTaxPurposes,,,,,,,38300000.000,
