,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableCurrent,780370.000,572586.000,526553.000,703929.000,285593.000,234070.000,407672.000
AccruedLiabilitiesCurrent,815937.000,1259332.000,700860.000,691846.000,613187.000,540787.000,286739.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,11811641.000,,,,9799287.000,
AdditionalPaidInCapitalCommonStock,228280063.000,228302479.000,228355326.000,228399804.000,228424954.000,228454293.000,228478265.000
AdvanceRoyalties,,,,,,500000.000,
Assets,20663776.000,18368119.000,15443738.000,13535128.000,13212259.000,11506141.000,9770957.000
AssetsCurrent,20080547.000,17812351.000,14943063.000,13092461.000,12881988.000,11090775.000,9449676.000
AvailableForSaleSecuritiesAmortizedCost,,16812459.000,,,,9900722.000,
CashAndCashEquivalentsAtCarryingValue,18893399.000,16812459.000,14356715.000,12365287.000,11295547.000,9900722.000,8693718.000
CashAndCashEquivalentsFairValueDisclosure,,16812459.000,,,,9900722.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,5748979.000,5751574.000,5751574.000,5751574.000,5751574.000,5751574.000,5751574.000
CommonStockSharesOutstanding,5748979.000,5751574.000,5751574.000,5751574.000,5751574.000,5751574.000,5751574.000
CommonStockValue,5749.000,5752.000,5752.000,5752.000,5752.000,5752.000,5752.000
DeferredRevenue,11605210.000,10784069.000,9962929.000,9141788.000,8392524.000,7571384.000,6750244.000
DeferredRevenueCurrent,3378706.000,3340571.000,3340571.000,3340571.000,3450582.000,3450582.000,3450582.000
DeferredRevenueNoncurrent,8226504.000,7443498.000,6622358.000,5801217.000,4941942.000,4120802.000,3299662.000
DeferredTaxAssetsDeferredIncome,,4138236.000,,,,2839379.000,
DeferredTaxAssetsGross,,56882369.000,,,,58042484.000,
DeferredTaxAssetsNet,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,44142487.000,,,,46660006.000,
DeferredTaxAssetsOther,,111250.000,,,,131766.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,1351186.000,,,,1128671.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,7045830.000,,,,7195372.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,93380.000,,,,87290.000,
DeferredTaxAssetsValuationAllowance,,56882369.000,,,,58042484.000,
DerivativeLiabilities,0.000,,,,,,
EmployeeRelatedLiabilitiesCurrent,267495.000,578091.000,290208.000,326635.000,,,
Liabilities,13341214.000,12764628.000,11347928.000,10699787.000,9458166.000,8517741.000,7620793.000
LiabilitiesAndStockholdersEquity,20663776.000,18368119.000,15443738.000,13535128.000,13212259.000,11506141.000,9770957.000
LiabilitiesCurrent,4975013.000,5172489.000,4567984.000,4736346.000,4349362.000,4225439.000,4144993.000
OperatingLeasesFutureMinimumPaymentsDue,,2642061.000,,,,2046314.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,595747.000,,,,609339.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,162798.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,646475.000,,,,162798.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,627702.000,,,,646475.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,609339.000,,,,627702.000,
OperatingLossCarryforwards,,116200000.000,,,,122800000.000,
OtherAccruedLiabilitiesCurrent,452615.000,648856.000,394126.000,348685.000,477537.000,428314.000,174384.000
OtherAssetsCurrent,1187148.000,999892.000,586348.000,727174.000,1586441.000,1190053.000,755958.000
OtherAssetsNoncurrent,100000.000,,100000.000,100000.000,100000.000,205645.000,130645.000
OtherLiabilitiesNoncurrent,139697.000,148641.000,157586.000,162224.000,166862.000,171500.000,176138.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseNoncurrent,,,,,,105645.000,
PropertyPlantAndEquipmentGross,,12267409.000,,,,10009008.000,
PropertyPlantAndEquipmentNet,483229.000,455768.000,400675.000,342667.000,230271.000,209721.000,190636.000
RestrictedCashAndCashEquivalents,,100000.000,,,,,
RetainedEarningsAccumulatedDeficit,220963250.000,-222704740.000,-224265268.000,-225570215.000,-224676613.000,-225471645.000,-226333853.000
SecurityDeposit,,,,,,100000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,207958.000,,,,190659.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,7.920,,,,8.080,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,219180.000,,,,248999.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,8.350,,,,7.860,
StockholdersEquity,7322562.000,5603491.000,4095810.000,2835341.000,3754093.000,2988400.000,2150164.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7322562.000,5603491.000,4095810.000,2835341.000,3754093.000,2988400.000,2150164.000
TaxCreditCarryforwardAmount,,7000000.000,,,,7200000.000,
UnrecognizedTaxBenefits,,0.000,,,,0.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,0.000,,,,0.000,
