,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,100085.000,,0.000,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,,10000.000,
AmortizationOfIntangibleAssets,,,84807.000,,,,84808.000,,,,84807.000,,,,35625.000,,,,13125.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,440166.000,,,
BusinessDevelopment,,,,,,,,,,,,,,,,,,,199935.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-21077.000,,-539088.000,,,,-695576.000,,,,16933.000,,,,58793.000,,,,-7462.000,
CostOfServices,1489605.000,1565874.000,1521968.000,1642988.000,1642240.000,1909996.000,1571021.000,1685091.000,1709848.000,1728314.000,1545449.000,1204705.000,1291046.000,1233134.000,1086678.000,1252275.000,1495568.000,1201178.000,958442.000,1192474.000
CurrentIncomeTaxExpenseBenefit,-7948.000,-6246.000,-9887.000,-6248.000,-13910.000,272.000,-1177.000,1332.000,3109.000,-8777.000,663.000,-3752.000,-5288.000,37967.000,0.000,0.000,0.000,0.000,0.000,0.000
DebtConversionConvertedInstrumentAmount1,100000.000,,,,,,,,,,,,,,,,,,,
Depreciation,,,17273.000,,,,12794.000,,,,19571.000,,,,18097.000,5199.000,,,9700.000,
DepreciationDepletionAndAmortization,157297.000,,102080.000,,,,97688.000,,,,104378.000,,,,53722.000,,,,22327.000,
EarningsPerShareBasic,,,,,,,,,,,,,,,,,1.290,,,-0.280
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.020,-0.020,-0.000,-0.010,-0.010,0.010,0.000,-0.020,0.010,0.680,-3.000,-1.730,-0.240,,,-0.650,
EarningsPerShareDiluted,,,,,,,,,,,,,,,,,0.970,,,
GainLossOnSaleOfPropertyPlantEquipment,-2217.000,,-7056.000,,,,-1111.000,,,,900.000,,,,0.000,,,,1034.000,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,-506599.000,,,
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,,483645.000,0.000
GrossProfit,323248.000,333433.000,533395.000,574951.000,418010.000,329251.000,306068.000,340275.000,311180.000,331555.000,297764.000,230392.000,255885.000,232419.000,198122.000,215190.000,337715.000,236874.000,190358.000,304545.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-562814.000,-638318.000,-710823.000,-2351573.000,-2423323.000,-1148685.000,-846776.000,-1713973.000,1342724.000,195231.000,-3156646.000,2238499.000,761992.000,-2445292.000,-2012326.000,-294691.000,1721390.000,-1160868.000,-2107561.000,-1044958.000
IncomeTaxesPaidNet,0.000,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,
