,2011-09-30,2011-12-31,2012-03-31
AccountsPayableCurrent,571228.000,535820.000,111718.000
AccountsPayableRelatedPartiesCurrent,3742.000,16147.000,28609.000
AccruedLiabilitiesCurrent,38322.000,209058.000,213992.000
AdditionalPaidInCapital,1348800.000,1246913.000,1246913.000
AssetRetirementObligation,12506.000,12506.000,12506.000
Assets,1198635.000,1107227.000,776078.000
AssetsCurrent,1080722.000,989314.000,658165.000
Cash,1073531.000,919418.000,641536.000
CommitmentsAndContingencies,0.000,0.000,0.000
CommonStockNoParValue,0.000,0.000,0.000
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,60045750.000,60045750.000,60045750.000
CommonStockSharesOutstanding,60045750.000,60045750.000,60045750.000
CommonStockValue,14709667.000,14802979.000,14802979.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,15485630.000,15716196.000,15640639.000
Liabilities,625798.000,773531.000,366825.000
LiabilitiesAndStockholdersEquity,1198635.000,1107227.000,776078.000
LiabilitiesCurrent,613292.000,761025.000,354319.000
MineralRights,0.000,0.000,
PreferredStockNoParValue,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000
PreferredStockValue,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,7191.000,17203.000,16629.000
StockholdersEquity,572837.000,333696.000,409253.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,572837.000,333696.000,409253.000
WarrantsAndRightsOutstanding,0.000,0.000,
