,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,164824.000,186564.000,228544.000,239999.000,227048.000,191259.000,232762.000,137237.000,99078.000,88351.000,93885.000,119963.000,93675.000,100769.000,123415.000,93780.000,133925.000,107355.000
AccountsReceivableNetCurrent,,63634.000,45784.000,146851.000,67400.000,112391.000,178813.000,145111.000,66855.000,133388.000,107738.000,131214.000,149147.000,175869.000,29876.000,9790.000,126725.000,146235.000,167762.000
AccruedLiabilitiesCurrent,2380.000,,,,,,,,737.000,1592.000,2431.000,36291.000,0.000,2629.000,558.000,1372.000,1990.000,,
AccruedPayrollTaxesCurrent,,20787.000,19072.000,30526.000,24094.000,37566.000,7140.000,10423.000,152.000,665.000,2372.000,1157.000,503.000,,,,,,
AccumulatedAmortizationDeferredFinanceCosts,,,8006.000,,,,8006.000,,,0.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,-348919.000,,,,-410453.000,,,-440648.000,,,,470252.000,477467.000,484682.000,491898.000,499111.000,505744.000
AdditionalPaidInCapital,4393.000,115862.000,115862.000,325728.000,325728.000,340578.000,574573.000,685754.000,1594081.000,1631976.000,1631976.000,1631976.000,1631976.000,1631976.000,1631976.000,1631976.000,1631976.000,1631976.000,1631976.000
AdvancesFromFederalHomeLoanBanks,,,,,,87869.000,73628.000,64835.000,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,8385.000,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Assets,551.000,525396.000,411545.000,492118.000,411459.000,478255.000,533734.000,490092.000,434984.000,444463.000,413729.000,425549.000,441407.000,480038.000,501165.000,576546.000,692740.000,782581.000,803897.000
AssetsCurrent,,288911.000,188117.000,284518.000,220382.000,303006.000,374314.000,338664.000,306215.000,323245.000,299858.000,319025.000,340655.000,383791.000,397478.000,480074.000,603483.000,700538.000,726065.000
CapitalLeaseObligations,,92070.000,78838.000,65408.000,51773.000,37934.000,23886.000,9626.000,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,59198.000,55936.000,60995.000,66175.000,67172.000,59385.000,64758.000,37934.000,23886.000,9626.000,,,,,,,,
CapitalLeaseObligationsNoncurrent,,159366.000,134774.000,126403.000,117948.000,105106.000,83271.000,74384.000,37934.000,23886.000,9626.000,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,151268.000,134774.000,126403.000,117948.000,105106.000,83271.000,74384.000,,23886.000,9626.000,,,,,,,223633.000,
