,2011-08-31,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30
AdvertisingExpense,,,,,,,,,,,,,,,2748.000,4050.000,,,,
AmortizationOfDebtDiscountPremium,20000.000,,,,,,,,,,,,,960.000,,,,0.000,,60640.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-887.000,,,,,-33155.000,,,,0.000,,,,0.000,,,,-1298.000,,
CommunicationsAndInformationTechnology,105.000,,,,,,,,,,,,,,,,,,,
CostOfPropertyRepairsAndMaintenance,,,,,,,,,,,,,,,,,,,,450.000
CostOfRevenue,37924.000,,,,,,,,,,,,,,,,,,,
CostOfServicesDirectLabor,16824.000,,,,,,,,,,,,,,,,,,,
CostsAndExpenses,68447.000,,,,,,,,,,,,,,,,,159847.000,434488.000,260475.000
Depreciation,,2533.000,2533.000,,,2359.000,,,,1939.000,1938.000,1939.000,1939.000,0.000,0.000,0.000,0.000,,,28400.000
DepreciationDepletionAndAmortization,2759.000,2533.000,2533.000,2533.000,2533.000,2359.000,2359.000,2359.000,2359.000,,,,,,,,,,,
DirectOperatingCostRoyaltyExpense,15612.000,,,,,,,,,,,,,,,,,,,
DirectOperatingCosts,,38402.000,45717.000,146241.000,181566.000,249114.000,313391.000,104881.000,69350.000,47857.000,78113.000,114255.000,77713.000,39650.000,33359.000,15776.000,23083.000,30436.000,23992.000,119042.000
Dividends,,-7898.000,,,,-7898.000,,,,7898.000,,,,7898.000,,,,7898.000,,
DividendsPreferredStock,7898.000,7898.000,7898.000,,,7898.000,,,,7898.000,,,,7898.000,,,,7898.000,,
EarningsPerShareBasicAndDiluted,0.000,-0.010,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,0.000,-0.010,-0.040,-0.020
EffectOnFutureCashFlowsAmount,,,,,,300000.000,,,,300000.000,,,,300000.000,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,,,37690.000
GeneralAndAdministrativeExpense,615.000,722.000,618.000,616.000,439.000,455.000,482.000,534.000,357.000,358.000,547.000,651.000,625.000,375.000,790.000,6415.000,843.000,1334.000,521.000,973.000
GeneralInsuranceExpense,6660.000,6998.000,7196.000,7313.000,7329.000,7616.000,7594.000,7918.000,7831.000,8517.000,9102.000,9213.000,8904.000,10094.000,10144.000,10666.000,10467.000,12190.000,11347.000,19024.000
GrossProfit,-27382.000,27278.000,28905.000,-79470.000,-89271.000,-96890.000,63299.000,-65813.000,1623.000,7179.000,-57849.000,-78311.000,-39724.000,17338.000,28141.000,88219.000,72752.000,19064.000,-16492.000,207352.000
IncomeTaxExaminationPenaltiesExpense,,,,,,,,,,,5993.000,1000.000,,2997.000,2996.000,2997.000,2996.000,2996.000,2997.000,2997.000
IncreaseDecreaseInAccountsPayable,,242.000,-20109.000,,,124269.000,,,,-9816.000,,,,1500.000,,,,18339.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-16246.000,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,4600.000,35014.000,28312.000,,,-17639.000,,,,1609.000,,,,0.000,,,,-20925.000,,
IncreaseDecreaseInAccruedLiabilities,,40596.000,30383.000,,,32074.000,,,,25396.000,,,,44798.000,,,,98029.000,,
IncreaseDecreaseInDeposits,,0.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,8179.000,,,,0.000,,,,,,,,,,,,,,
IncreaseDecreaseInOtherAccountsPayable,,19840.000,78295.000,,,7000.000,,,,-49125.000,,,,-3350.000,,,,-21500.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-74322.000,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,-1767.000,7525.000,,,-7616.000,,,,-8517.000,,,,-10095.000,,,,4325.000,,
InterestExpense,57910.000,44091.000,41605.000,36129.000,50465.000,46053.000,63298.000,45032.000,49105.000,44273.000,41591.000,55562.000,42949.000,56717.000,48717.000,44453.000,35802.000,60386.000,71465.000,132560.000
InterestExpenseRelatedParty,,,,,,12363.000,,,,13188.000,,,,13188.000,,,,21218.000,,
InterestPaid,,1238.000,7567.000,,,15190.000,,,,4862.000,,,,6641.000,,,,6405.000,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,,,,,,,,,,52608.000,,
LaborAndRelatedExpense,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,1500.000
LeaseAndRentalExpense,3711.000,3564.000,4043.000,3432.000,3424.000,4338.000,3718.000,3719.000,3718.000,3409.000,4028.000,3759.000,4274.000,3810.000,3491.000,2860.000,5110.000,3520.000,2850.000,5380.000
ManufacturingCosts,3338.000,,,,,,,,,,,,,,,,,,,
MarketingAndAdvertisingExpense,70.000,,,,,,,,,,,,,,,,,,0.000,150.000
MarketingExpense,,,,,,,,,,,,,,,,30000.000,,,,
NetCashProvidedByUsedInFinancingActivities,216060.000,33978.000,28377.000,,,-23595.000,,,,110330.000,,,,58253.000,,,,35795.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,216060.000,33978.000,28377.000,,,-23595.000,,,,110330.000,,,,58253.000,,,,35795.000,,
NetCashProvidedByUsedInOperatingActivities,-216947.000,-33978.000,-28377.000,,,-9560.000,,,,-110330.000,,,,-58253.000,,,,-37093.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-216947.000,-33978.000,-28377.000,,,-9560.000,,,,-110330.000,,,,-58253.000,,,,-37093.000,,
NetIncomeLoss,-153739.000,-55763.000,-83642.000,-189524.000,-239894.000,-200517.000,-66177.000,-373957.000,-112563.000,-85632.000,-178556.000,-252681.000,-229334.000,-112256.000,-112182.000,-92570.000,-254504.000,-201169.000,-522445.000,-340960.000
NetIncomeLossAvailableToCommonStockholdersBasic,-161637.000,-63661.000,-91540.000,-197422.000,-247791.000,-208415.000,-74075.000,-381855.000,-120460.000,-93530.000,-186454.000,-260579.000,-237231.000,-120154.000,-120080.000,-100468.000,-262402.000,-209067.000,-530343.000,-348858.000
NoninterestExpensePrintingAndFulfillment,,26.000,,,,0.000,,,,,,,,,,,,,,
NonoperatingIncomeExpense,,,,,,-57574.000,-66178.000,-263112.000,184415.000,,,,,,,,,,,-287837.000
OperatingExpenses,,38950.000,70942.000,73925.000,101209.000,,,,,48538.000,79116.000,118808.000,146661.000,72877.000,91606.000,136336.000,151034.000,,,
OperatingIncomeLoss,-95829.000,-11672.000,-42037.000,-153395.000,-190480.000,-154464.000,-2879.000,-328925.000,-64497.000,-41359.000,-136965.000,-197119.000,-186385.000,-55539.000,-63465.000,-48117.000,-78282.000,-140783.000,-450980.000,-53123.000
OtherCostAndExpenseOperating,20172.000,11000.000,33500.000,11500.000,10500.000,10500.000,10500.000,230281.000,21038.000,13000.000,22500.000,74500.000,47000.000,26200.000,40800.000,66185.000,109199.000,109409.000,237555.000,263774.000
OtherExpenses,,,,,,,,,,,,,,874.000,0.000,0.000,,,,
OtherFinancialServicesCosts,,,,,,,,,,,,,,,,,,,1000.000,200.000
OtherGeneralAndAdministrativeExpense,2213.000,3268.000,3882.000,13776.000,7689.000,5146.000,10734.000,3051.000,-3720.000,4140.000,9968.000,6061.000,17947.000,1885.000,2678.000,4105.000,11879.000,1016.000,4886.000,19727.000
