,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29
AccountsPayableAndAccruedLiabilitiesCurrent,,,,100.000,100.000,890.000,2792.000,3719.000
AccountsPayableAndAccruedLiabilitiesNoncurrent,,100.000,100.000,,,,,
AdditionalPaidInCapital,,,,27180.000,27180.000,,,
AdditionalPaidInCapitalCommonStock,13860.000,27180.000,27180.000,,,35392.000,35392.000,35392.000
Assets,14212.000,23969.000,6640.000,,,,,
AssetsCurrent,14212.000,23969.000,6640.000,1240.000,0.000,0.000,0.000,0.000
Cash,,,,1240.000,0.000,0.000,0.000,0.000
CashAndCashEquivalentsAtCarryingValue,14212.000,23969.000,6640.000,,,,,
CashFDICInsuredAmount,,,,250000.000,,,,
CommonStockParOrStatedValuePerShare,,,,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,9540000.000,11020000.000,11020000.000,11020000.000,11020000.000,11020000.000,11020000.000,11020000.000
CommonStockSharesOutstanding,,,,11020000.000,11020000.000,11020000.000,11020000.000,11020000.000
CommonStockValue,9540.000,11020.000,11020.000,11020.000,11020.000,11020.000,11020.000,11020.000
DueFromOfficersOrStockholdersCurrent,,,,,,7875.000,11715.000,14215.000
DueToOfficersOrStockholdersCurrent,,,,9452.000,8212.000,7875.000,11715.000,14215.000
DueToRelatedPartiesNoncurrent,6806.000,6806.000,6806.000,,,,,
Liabilities,6806.000,6906.000,6906.000,9552.000,8312.000,8765.000,14507.000,17934.000
LiabilitiesAndStockholdersEquity,14212.000,23969.000,6640.000,1240.000,0.000,0.000,0.000,0.000
LiabilitiesCurrent,,,,9552.000,8312.000,8765.000,14507.000,17934.000
OperatingLossCarryforwards,,,,46512.000,46512.000,55177.000,60919.000,64346.000
ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,-1600.000,,,,,,,
RetainedEarningsAccumulatedDeficit,-14394.000,-21137.000,-38466.000,-46512.000,-46512.000,-55177.000,-60919.000,-64346.000
SharesIssued,,11020000.000,,,,,,
StockholdersEquity,,17063.000,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7406.000,17063.000,-266.000,-8312.000,-8312.000,-8765.000,-14507.000,-17934.000
