,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,357307.000,359899.000,312026.000,364940.000,413892.000,,,,,,,,,,,,,
AccountsPayableAndOtherAccruedLiabilities,,,,,165600.000,,,,,,,,,,,,,,
AccountsPayableCurrent,352503.000,374048.000,580549.000,468695.000,528430.000,1710173.000,577310.000,612198.000,565717.000,556099.000,713005.000,678499.000,989360.000,934710.000,670908.000,923638.000,1781971.000,1712181.000,1651245.000
AccountsPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,,299718.000,,
AccountsReceivableNetCurrent,102548.000,59849.000,86876.000,56520.000,66712.000,106019.000,180005.000,48583.000,71506.000,103869.000,30651.000,82328.000,420305.000,967170.000,864864.000,883019.000,819780.000,1317568.000,1352870.000
AccruedVacationCurrent,103543.000,89730.000,107530.000,102034.000,117018.000,147980.000,128460.000,130401.000,117421.000,125394.000,133210.000,134693.000,61587.000,93104.000,93104.000,104281.000,113834.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,327526.000,351137.000,359754.000,387798.000,418502.000,450375.000,461963.000,489784.000,518604.000,549160.000,581216.000,612725.000,702117.000,517665.000,619243.000,731547.000,868421.000,934945.000,1319676.000
AdditionalPaidInCapital,4652192.000,4649109.000,4693042.000,10012208.000,5090675.000,10475253.000,10484412.000,10545152.000,10969237.000,18409480.000,23122836.000,23516916.000,23613833.000,23711824.000,23807124.000,24093487.000,24272787.000,24108143.000,24258053.000
AllowanceForDoubtfulAccountsReceivable,0.000,0.000,0.000,14086.000,14086.000,19084.000,19084.000,19084.000,19084.000,19084.000,19084.000,19084.000,19084.000,19084.000,19084.000,,0.000,0.000,0.000
Assets,1358466.000,1441651.000,1436763.000,2914894.000,2135977.000,1681400.000,6485118.000,5302643.000,3964188.000,7630465.000,10054374.000,8868211.000,18241274.000,12929610.000,11197494.000,11723201.000,20509079.000,17166934.000,14050761.000
AssetsCurrent,334866.000,455547.000,489184.000,1921647.000,1144087.000,659805.000,5484463.000,4316849.000,2974364.000,6631593.000,9049500.000,7907921.000,6273818.000,3644155.000,2066791.000,2224486.000,10720169.000,6751323.000,3568017.000
AssetsNoncurrent,1023600.000,986104.000,947579.000,993247.000,991890.000,1021595.000,1000655.000,985794.000,989824.000,998872.000,1004874.000,960290.000,11967456.000,9285455.000,9130703.000,9498715.000,9788910.000,10415611.000,10482744.000
BridgeLoan,,233955.000,365747.000,19065.000,,,,,,,,,,,,1045000.000,,,
BusinessCombinationAssetsArisingFromContingenciesAmountRecognized,,,,,,,,,,,,,,282190.000,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,,,,,,,,2468700.000,2468700.000,2468700.000,2468700.000,,
Cash,,,,,,,,,,,8984011.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,195548.000,378643.000,353618.000,1690490.000,1009701.000,519733.000,5243281.000,4170381.000,2823973.000,6472393.000,8984011.000,7525635.000,5474913.000,2266788.000,818797.000,925668.000,9079941.000,4938948.000,1616248.000
CashFDICInsuredAmount,,250000.000,250000.000,,,250000.000,,,,250000.000,,,,250000.000,250000.000,250000.000,250000.000,250000.000,250000.000
CashUninsuredAmount,,,,,,101648.000,,,,5894107.000,,,,1987229.000,460851.000,555190.000,8575714.000,4512985.000,1055964.000
CertificatesOfDepositAtCarryingValue,,,,25000.000,25000.000,25004.000,25004.000,25004.000,25004.000,25014.000,25014.000,25019.000,25019.000,,25023.000,25023.000,25023.000,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,11.400,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,4956270.000,4956270.000,4956270.000,4851270.000,4851270.000,4851270.000,4693770.000,4693770.000,4693770.000,7561694.000,6700707.000,6808457.000,6808457.000,6808857.000,6808457.000,6808457.000,6808857.000,6720107.000,6720107.000
CommonStockSharesOutstanding,4302270.000,4302270.000,4302270.000,4197270.000,4197270.000,4197270.000,4039770.000,4039770.000,4039770.000,6907694.000,6373707.000,6481457.000,6481457.000,6481857.000,6481457.000,6481457.000,6481857.000,6393107.000,6393107.000
CommonStockValue,4957.000,4957.000,4957.000,4851.000,4851.000,4852.000,4694.000,4694.000,4694.000,7562.000,6374.000,6481.000,6481.000,6482.000,6482.000,6482.000,6482.000,6392.000,6392.000
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,,,,,,1.000,,1.000,,,,
DebtInstrumentInterestRateStatedPercentage,0.050,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,,,,,12899.000,
DebtInstrumentUnamortizedDiscountCurrent,,,,,,,,,,,,,,,,203214.000,203214.000,,
DeferredRevenue,,,,,,,,,,,,,,,,,1191512.000,614471.000,
DeferredTaxAssetsCapitalLossCarryforwards,,50000.000,,,,50000.000,,,,50000.000,,,,50000.000,,,,50000.000,
DeferredTaxAssetsGross,,2092000.000,,,,3887000.000,,,,3436000.000,,,,6836000.000,,,,9052000.000,
DeferredTaxAssetsNet,,39000.000,,,,83000.000,,,,180000.000,,,,,,,,-533000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,1686000.000,,,,2626000.000,,,,2209000.000,,,,5372000.000,,,,6499000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,,,,74000.000,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,158000.000,,,,422000.000,,,,703000.000,,,,828000.000,,,,1102000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,198000.000,,,,789000.000,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,,,474000.000,,,,506000.000,,,,1401000.000,
DeferredTaxAssetsValuationAllowance,,2053000.000,,,,3804000.000,,,,3256000.000,,,,6836000.000,,,,9585000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,,,131000.000,,,,,,,,-184000.000,
Deposits,,,,,,,-1000.000,-1000.000,,,,,,,,,,,
DepositsAssetsNoncurrent,,,,,,,,,1000.000,1000.000,1000.000,1000.000,,,,,181387.000,238987.000,238987.000
DerivativeLiabilitiesCurrent,,17539.000,306205.000,1995715.000,1475975.000,944121.000,1497541.000,1629123.000,1761045.000,,,,,,,,,,
DividendsPayableCurrent,117373.000,156873.000,195620.000,95905.000,242374.000,389017.000,539010.000,694144.000,850983.000,978048.000,11987.000,24029.000,77.000,77.000,77.000,77.000,77.000,,
DividendsPayableCurrentAndNoncurrent,,,,,224786.000,,,,,,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,28536.000,,34537.000,33202.000,60184.000,47192.000,227348.000,63020.000,42290.000,66731.000,98514.000,116496.000,171181.000,174399.000,180332.000,271062.000,726218.000,32312.000,265348.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,11885.000,3678.000,710849.000,525523.000,833356.000,628426.000,441903.000,683242.000,259158.000,228207.000,989391.000,832265.000,755599.000,666114.000,590763.000,1193044.000,1708653.000,1562764.000,
EquityMethodInvestmentOwnershipPercentage,,0.741,0.741,0.760,0.760,0.760,0.789,0.789,0.789,0.462,0.270,0.231,0.231,0.231,0.231,0.231,0.231,,
FairValueAssumptionsExercisePrice,,,1.270,,,,,1.130,1.130,1.130,,,,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,364505.000,377426.000,390347.000,403268.000,416189.000,429110.000,442030.000,454951.000,467872.000,480793.000,493714.000,506635.000,630992.000,619127.000,675372.000,713618.000,787864.000,844110.000,900356.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,387838.000,,,,,,,,,,,,,,,,,,735970000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,12921.000,51684.000,38763.000,25842.000,12921.000,51684.000,38764.000,25843.000,12921.000,51684.000,38763.000,25842.000,124358.000,224984.000,168738.000,112492.000,56246.000,224984.000,168738000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingAfterYearFive,,,,,,,,,,,,,,,,960954.000,960954.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,51684.000,,,,,,,,,,,,,,,224984.000,224984.000,,224984000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,497434.000,224984.000,224984.000,224984.000,224984.000,224984.000,224984000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,497434.000,224984.000,224984.000,224984.000,224984.000,224984.000,224984000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,51684.000,497434.000,224984.000,224984.000,224984.000,224984.000,224984.000,224984000.000
FiniteLivedIntangibleAssetsGross,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,972000.000,10235500.000,8343000.000,8343000.000,8343000.000,8343000.000,8343000.000,8496164.000
FiniteLivedIntangibleAssetsNet,607495.000,594574.000,581653.000,568732.000,555811.000,542890.000,529970.000,517049.000,504128.000,491207.000,478286.000,465365.000,9604508.000,2085873.000,2029628.000,1973382.000,1917136.000,1860890.000,1804644000.000
Goodwill,,,,,,,,,,,,,543392.000,,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,9604508.000,7723873.000,7667628.000,7611382.000,7555136.000,7498890.000,7595808.000
InterestReceivableCurrent,,,,,,,,,,,,,,,,-1447.000,,,
Liabilities,1185811.000,1690101.000,2446370.000,3417268.000,3097696.000,3915038.000,3438769.000,3403349.000,3606206.000,2496454.000,1698666.000,1456521.000,14326414.000,11221016.000,10503127.000,12057258.000,22745881.000,20699873.000,18239516.000
LiabilitiesAndStockholdersEquity,1358466.000,1441651.000,1436763.000,2914894.000,2135977.000,1681400.000,6485118.000,5302643.000,3964188.000,7630465.000,10054374.000,8868211.000,18241274.000,12929610.000,11197494.000,11723201.000,20509079.000,17166934.000,14050761.000
LiabilitiesCurrent,841180.000,1198046.000,2047118.000,3029386.000,2644590.000,3737985.000,3270193.000,3243371.000,3454918.000,2353952.000,1565075.000,1331964.000,3826414.000,2907526.000,2045592.000,3705678.000,15000256.000,12762029.000,10823944.000
LiabilitiesNoncurrent,344631.000,492055.000,399252.000,387882.000,453106.000,177053.000,168576.000,159978.000,151288.000,142502.000,133591.000,124557.000,10500000.000,8313490.000,8457535.000,8351580.000,7745625.000,7937844.000,7415572.000
LitigationReserveNoncurrent,,,,,2177463.000,,,,,115273.000,,,,,,,,,
LoansPayableCurrent,217592.000,218324.000,218934.000,219580.000,115671.000,280782.000,260522.000,33697.000,34120.000,34552.000,34985.000,35421.000,177350.000,164381.000,149014.000,546859.000,493948.000,442109.000,362264.000
LongTermDebt,562223.000,550379.000,538186.000,525862.000,485977.000,457835.000,429098.000,193675.000,185408.000,177054.000,168576.000,159978.000,177350.000,164381.000,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,12703.000,218324.000,218934.000,219580.000,115671.000,280782.000,260522.000,33697.000,34120.000,34552.000,34985.000,35421.000,177350.000,164381.000,149014.000,546859.000,493948.000,442109.000,362264.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingAfterYearFive,166705.000,166641.000,151643.000,136455.000,82022.000,68005.000,58159.000,48186.000,38092.000,27874.000,17525.000,7045.000,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFive,58068.000,,,,,,,,,,,,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,55086.000,58107.000,58892.000,59674.000,37233.000,38177.000,38657.000,39138.000,39629.000,40131.000,40634.000,41141.000,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,52192.000,55089.000,55808.000,56546.000,128954.000,36319.000,36775.000,37233.000,37701.000,38178.000,38657.000,39138.000,,,,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,217469.000,52218.000,52909.000,53607.000,122097.000,34552.000,34985.000,35421.000,35866.000,36319.000,36775.000,37233.000,,,,,,,
LongTermLoansPayable,344631.000,332055.000,319252.000,306282.000,370306.000,177053.000,168576.000,159978.000,151288.000,142502.000,133591.000,124557.000,,,,,,,
NotesPayableCurrent,,,100164.000,,,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,65831.000,,,223173.000,152618.000,132772.000,500148.000,435781.000,383663.000,233942.000,168068.000,815858.000,713676.000,612176.000,561724.000,511271.000,468319.000,425366.000,376603.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,15078.000,50753.000,35527.000,130959.000,60404.000,124081.000,191989.000,127622.000,66337.000,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,,,,63496.000,63496.000,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,184047.000,184047.000,63496.000,63496.000,63496.000,63496.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,83384.000,83384.000,83384.000,,,177823.000,177823.000,184047.000,184047.000,184047.000,184047.000,63496.000,62778.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,50753.000,,,92214.000,92214.000,8691.000,224775.000,224775.000,233942.000,,,186810.000,186810.000,177823.000,177823.000,177823.000,177823.000,184047.000,181966.000
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,,,203682.000,101500.000,186810.000,136358.000,85905.000,42953.000,177823.000,131859.000
OperatingLossCarryforwards,,4216000.000,,,,6565000.000,,,,5523000.000,,,,13430000.000,,,,16246000.000,
OtherAccruedLiabilitiesCurrent,153712.000,197307.000,279899.000,230426.000,282140.000,413892.000,395810.000,274209.000,243053.000,785253.000,805098.000,594015.000,761127.000,518608.000,385843.000,443371.000,1232748.000,1633801.000,2352459.000
