,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,2265057.000,1087186.000,1912321.000,1601000.000,1846000.000,2716000.000,2315000.000,1847000.000,5264000.000,2179000.000,1862000.000,3376000.000,2550000.000,1245000.000,3417000.000,1727000.000,5423000.000,4857000.000,2914000.000
AccountsReceivableNet,,,,,,,26000.000,5519000.000,6181000.000,7079000.000,5776000.000,10479000.000,7455000.000,10850000.000,13167000.000,15490000.000,13267000.000,17862000.000,15727000.000
AccruedBonusesCurrent,,,,746000.000,374000.000,889000.000,1411000.000,1756000.000,,,,,,,,,,,
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,,,700000.000,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,1658386.000,2375832.000,3006495.000,2652000.000,2972000.000,4564000.000,6094000.000,9260000.000,12767000.000,13245000.000,16797000.000,19560000.000,16859000.000,17245000.000,19817000.000,25127000.000,22630000.000,23639000.000,29450000.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,4564000.000,,,,,,,,,,,,,
AccruedMarketingCostsCurrent,,,,,,,,,,,,,,,,,300000.000,300000.000,400000.000
AccruedProfessionalFeesCurrent,,,,,,,,815000.000,,,,,,,1430000.000,2143000.000,,,
AccruedRoyaltiesCurrent,,,,,,,,363000.000,1255000.000,564000.000,898000.000,925000.000,972000.000,1123000.000,2065000.000,1410000.000,1352000.000,2491000.000,1758000.000
AccruedSalariesCurrent,,,,94000.000,221000.000,38000.000,246000.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,546000.000,-578000.000,-625000.000,655000.000,584000.000,675000.000,792000.000,921000.000,1145000.000,1369000.000,1671000.000,1999000.000,2339000.000,2630000.000,3006000.000,3389000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-6569.000,-4979.000,-15840.000,-50000.000,-68000.000,-203000.000,-204000.000,-193000.000,-423000.000,-273000.000,-225000.000,-122000.000,-60000.000,-607000.000,-478000.000,-801000.000,-1377000.000,-1334000.000,-1341000.000
AdditionalPaidInCapital,121927944.000,132528834.000,135005481.000,143380000.000,153454000.000,175132000.000,197534000.000,229164000.000,234286000.000,247148000.000,250836000.000,256810000.000,306832000.000,311870000.000,412949000.000,417529000.000,441601000.000,444299000.000,447666000.000
Assets,61859831.000,59215372.000,52715478.000,48289000.000,44476000.000,68125000.000,93348000.000,110445000.000,108726000.000,98047000.000,90341000.000,161369000.000,189066000.000,173010000.000,261260000.000,251550000.000,423348000.000,363967000.000,354939000.000
AssetsCurrent,55194258.000,52433700.000,45758103.000,42167000.000,38333000.000,60041000.000,83088000.000,99335000.000,96299000.000,85509000.000,75969000.000,143262000.000,171605000.000,154148000.000,242818000.000,233467000.000,181399000.000,165425000.000,156786000.000
BusinessCombinationContingentConsiderationLiabilityNoncurrent,,,,,,,,,,,,,,,,,166800000.000,152070000.000,152070000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets,,,,,,,,,,,,,,,,,,171000000.000,171000000.000
CapitalLeaseObligationsCurrent,4011.000,4069.000,7873.000,8000.000,8000.000,9000.000,18000.000,18000.000,18000.000,18000.000,29000.000,,,,,,,,
CapitalLeaseObligationsNoncurrent,8754.000,7714.000,15556.000,13000.000,11000.000,9000.000,51000.000,45000.000,41000.000,36000.000,63000.000,,,,,,,,
CapitalLeasedAssetsGross,,,,,26000.000,27000.000,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,,,62000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,18000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,,,0.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,8000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,18000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,18000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,,,,,,0.000,,,,,,,,,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,10000.000,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,24732255.000,19689438.000,17760689.000,23580000.000,13426000.000,36288000.000,74568000.000,88334000.000,83052000.000,68075000.000,58100000.000,114678000.000,149613000.000,134537000.000,192994000.000,207644000.000,157352000.000,132038000.000,124239000.000
CashCashEquivalentsAndShortTermInvestments,,,,38900000.000,33816.000,55349000.000,,,,,,,,,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,,,,,,,3.150,3.370,,4.540,,,,,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,4.540,4.540,4.540,4.540,5.150,,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,2213000.000,1145000.000,,334764.000,334764.000,334764.000,334764.000,334764.000,236812.000,186095.000,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,,,,0.000,0.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,150000000.000,15000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,47773488.000,48854168.000,49086807.000,50568000.000,52098.000,55431651.000,58314471.000,61142756.000,61615000.000,62598859.000,62690387.000,63268534.000,68861366.000,69394765.000,81032050.000,81578395.000,85235591.000,85289311.000,85531006.000
CommonStockSharesOutstanding,47773488.000,48854168.000,49086807.000,50568000.000,52098.000,55431651.000,58314471.000,61142756.000,61615000.000,62598859.000,62690387.000,63268534.000,68861366.000,69394765.000,81032050.000,81578395.000,85235591.000,85289311.000,85531006.000
CommonStockValue,47773.000,48854.000,49089.000,51000.000,52000.000,55000.000,58000.000,61000.000,62000.000,63000.000,63000.000,63000.000,69000.000,69000.000,81000.000,82000.000,85000.000,85000.000,86000.000
ContractualObligation,,,,10591000.000,,,,,11705000.000,,,,,,,,,,
ContractualObligationDueAfterFifthYear,,,,244000.000,,,,,180000.000,,,,,,,,,,
ContractualObligationDueInFifthYear,,,,,,,,,70000.000,,,,,,,,,,
ContractualObligationDueInFourthYear,,,,444000.000,,,,,70000.000,,,,,,,,,,
ContractualObligationDueInNextTwelveMonths,,,,7329000.000,,,,,7902000.000,,,,,,,,,,
ContractualObligationDueInSecondYear,,,,2254000.000,,,,,3222000.000,,,,,,,,,,
ContractualObligationDueInThirdYear,,,,320000.000,,,,,261000.000,,,,,,,,,,
ConvertibleDebtNoncurrent,,,,,,,,,,,,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,60000000.000,57958000.000
CustomerRefundLiabilityCurrent,,,,,,,,,,,,,,,,,2500000.000,2400000.000,4700000.000
DebtInstrumentFaceAmount,,,,,,,50000000.000,50000000.000,,50000000.000,50000000.000,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,,0.107,0.107,,0.107,0.107,0.107,,,,,,,
DeferredCosts,,,119592.000,134000.000,116000.000,69000.000,20000.000,172000.000,,,,,,,,,,,
DeferredFinanceCostsNoncurrentNet,,,,,161000.000,1908000.000,3065000.000,2929000.000,,,,,,,,,,,
DeferredRentCreditCurrent,21242.000,25561.000,20101.000,14000.000,8000.000,0.000,0.000,157000.000,302000.000,166000.000,,,,,,,,1082000.000,1074000.000
DeferredRevenueCurrent,,,,,,,,3010000.000,4698000.000,4985000.000,2996000.000,0.000,0.000,,,,,,
DeferredTaxAssetsInventory,,,,,,,,,186000.000,,,,1200000.000,,,,434000.000,,
DeferredTaxAssetsNet,,,,0.000,,,,,0.000,,,,0.000,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,18075000.000,,,,,18797000.000,,,,22480000.000,,,,23679000.000,,
DeferredTaxAssetsOther,,,,-441000.000,,,,,65000.000,,,,124000.000,,,,161000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,7873000.000,,,,,19281000.000,,,,20951000.000,,,,22495000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,462000.000,,,,,1909000.000,,,,4435000.000,,,,5397000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,105000.000,,,,,1224000.000,,,,1434000.000,,,,1659000.000,,
DeferredTaxAssetsValuationAllowance,,,,40786000.000,,,,,57531000.000,,,,63246000.000,,,,66740000.000,,
DeferredTaxLiabilities,,,,,,,,,,,,,,,,,303000.000,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedResearchAndDevelopmentCosts,,,,,,,,,,,,,,,,,316000.000,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,303000.000,615000.000,1086000.000
DepositsAssetsNoncurrent,104906.000,104906.000,104906.000,105000.000,26000.000,220000.000,141000.000,153000.000,,,,,,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,89434461.000,103426621.000,106423505.000,116646000.000,130045000.000,151865000.000,175986000.000,193263000.000,205355000.000,220246000.000,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,4222000.000,4770000.000,6879000.000,4777000.000,5606000.000,6961000.000,7601000.000,6014000.000,5789000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,13600000.000,,,,,,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,11200000.000,,,13800000.000,14000000.000,14800000.000,,,,21500000.000,,,,20200000.000,,
EmployeeStockOwnershipPlanESOPNumberOfCommittedToBeReleasedShares,,,,,,,,,,,,,11936383.000,,,,,,
FairValueConcentrationOfRiskCashAndCashEquivalents,,,,,11597.000,33013000.000,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,,,,,,,,,711000.000,766000.000,0.000,0.000,0.000,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,655000.000,-692000.000,-740000.000,,838000.000,897000.000,,,,1136000.000,,,,1447000.000,1579000.000,1712000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,146000.000,146000.000,146000.000,,,238000.000,,,,238000.000,,,,529000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,194000.000,,178000.000,119000.000,60000.000,,178000.000,119000.000,60000.000,,397000.000,265000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,146000.000,146000.000,146000.000,,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,529000.000,529000.000,529000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,146000.000,146000.000,146000.000,,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,529000.000,529000.000,529000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,146000.000,146000.000,146000.000,,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,529000.000,529000.000,529000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,146000.000,146000.000,146000.000,,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,238000.000,529000.000,529000.000,529000.000
FiniteLivedIntangibleAssetsGross,,,,2860000.000,2860000.000,2860000.000,,4110000.000,4110000.000,,,,4110000.000,,,,,,
FiniteLivedIntangibleAssetsNet,,,,2205000.000,2168000.000,2120000.000,,3272000.000,3213000.000,,,,2974000.000,,,,,,
FurnitureAndFixturesGross,,,,,25000.000,35000.000,,,,,,,,,,,,,
Goodwill,3275403.000,3275403.000,3275403.000,3275000.000,3275000.000,3275000.000,3275000.000,3275000.000,3275000.000,3275000.000,3275000.000,3034000.000,3275000.000,3275000.000,3275000.000,3275000.000,12223000.000,12223000.000,12223000.000
GoodwillImpairedAccumulatedImpairmentLoss,,,,,,,,,,,,,,,,,0.000,,
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,,,,,217910000.000,178310000.000,178310000.000
IntangibleAssetsNetExcludingGoodwill,3214417.000,3177917.000,3141417.000,2205000.000,2168000.000,2120000.000,2820000.000,3272000.000,3213000.000,3153000.000,3093000.000,3275000.000,2974000.000,2914000.000,2855000.000,2795000.000,216463000.000,176731000.000,176598000.000
InterestPayableCurrent,,,,,,,,809000.000,,,,,,,,,,,
InventoryFinishedGoods,,,,,,,,500000.000,400000.000,2165000.000,1977000.000,1962000.000,2123000.000,837000.000,3379000.000,2935000.000,1919000.000,3822000.000,4488000.000
InventoryNet,,,,,,,225000.000,2218000.000,3000000.000,6363000.000,8350000.000,12747000.000,9134000.000,4317000.000,5320000.000,6746000.000,6424000.000,9596000.000,12031000.000
InventoryRawMaterials,,,,,,,,1800000.000,2600000.000,3136000.000,4221000.000,8540000.000,6290000.000,588000.000,1143000.000,1916000.000,2681000.000,3153000.000,3817000.000
InventoryValuationReserves,,,,,,,,400000.000,,,,,,,,,,,
InventoryWorkInProcess,,,,,,,,300000.000,,1062000.000,2152000.000,444000.000,721000.000,2892000.000,798000.000,1895000.000,1824000.000,2621000.000,3726000.000
LeaseholdImprovementsGross,,,,,146000.000,146000.000,,,,,,,470000.000,,,,,,
Liabilities,29325144.000,30069284.000,24100253.000,21554000.000,21083000.000,45006000.000,71946000.000,74676000.000,80156000.000,71355000.000,72607000.000,143590000.000,140120000.000,139256000.000,140234000.000,140854000.000,306156000.000,285619000.000,287249000.000
LiabilitiesAndStockholdersEquity,61859831.000,59215372.000,52715478.000,48289000.000,44476000.000,68125000.000,93348000.000,110445000.000,108726000.000,98047000.000,90341000.000,161369000.000,189066000.000,173010000.000,261260000.000,251550000.000,423348000.000,363967000.000,354939000.000
LiabilitiesCurrent,29316390.000,30061570.000,24084697.000,21541000.000,21072000.000,19997000.000,21895000.000,24631000.000,30115000.000,21319000.000,25044000.000,29590000.000,29120000.000,31256000.000,35234000.000,38854000.000,40053000.000,39455000.000,43923000.000
LiabilityForUncertainTaxPositionsCurrent,,,,0.000,,,,,0.000,,,,0.000,,,,0.000,,
LineOfCredit,,,,,,,,,,,,,,,,,1000000.000,,
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,,,,,,,,,,,,,800000.000,,
LongTermDebt,,,,,,,,,50000000.000,,,,60000000.000,60000000.000,57000000.000,54000000.000,51000000.000,48000000.000,45000000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,,,,,12500000.000,,,,3000000.000,3000000.000,3000000.000,3000000.000,,,
