,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,63989.000,,,,1332720.000,,,,2143861.000,
CostOfGoodsSold,,,,,,,,,762333.000,2573782.000,5092800.000,1497073.000,5911745.000,3069716.000
CostsAndExpenses,,,,,,,,,48404.000,162072.000,142127.000,154213.000,178408.000,186736.000
CurrentIncomeTaxExpenseBenefit,,,0.000,,,,,,,,,,,
DebtInstrumentIncreaseDecreaseForPeriodNet,,,,,,,,,-8000000.000,,,,,
Depreciation,,,,,,,,,,,,,8168.000,8168.000
EarningsPerShareBasicAndDiluted,,,0.000,,-0.040,-0.000,-0.000,0.040,-0.000,0.000,-0.000,0.000,-0.000,-0.010
GainLossOnSaleOfProperties,,,,,,,,,,,,,-5911585.000,
GeneralAndAdministrativeExpense,20729.000,34708.000,2691.000,-24678.000,4263.000,2513.000,4835.000,3883.000,9860.000,107741.000,83238.000,-28805.000,73913.000,47720.000
GrossProfit,,,,,,,,,91167.000,202349.000,851350.000,-345102.000,365240.000,-505044.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-2691.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.010,-0.020,,,,,,,,,,,,
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,,,,,,,,,-55250.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,738.000,,,,283050.000,,,,211327.000,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,,,,,4992.000,
IncreaseDecreaseInInventories,,,,,,,,,-6652691.000,,,,2015793.000,
IncreaseDecreaseInNotesReceivableRelatedParties,,,,,,,,,183443.000,71878.000,,,,
IncreaseDecreaseInPrepaidTaxes,,,,,,,,,,,,,-25000.000,
InterestExpense,,,,,3674.000,6750.000,15083.000,63764.000,158959.000,213479.000,208000.000,209244.000,208000.000,208000.000
InterestExpenseDebt,,,,,3674.000,,,,,,,,,
ManagementFeeExpense,,,,,,,,,,,,,42645.000,80526.000
ManagementFeesRevenue,,,,,-21000.000,-7000.000,12500.000,,-18750.000,-35776.000,-54664.000,54664.000,,
MarketingAndAdvertisingExpense,,,,,,,,,,,,,829.000,7696.000
NetCashProvidedByUsedInFinancingActivities,54000.000,,,,150000.000,,,,8002000.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,54000.000,,,,150000.000,,,,8002000.000,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,-183443.000,,,,5000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,-183443.000,,,,5000.000,
NetCashProvidedByUsedInOperatingActivities,-18697.000,,,,-86011.000,,,,-6485837.000,,,,2138862.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-18697.000,,,,-86011.000,,,,-6485837.000,,,,2138862.000,
NetIncomeLoss,,,-2691.000,,-68518.000,-21463.000,-39210.000,-126423.000,-116196.000,-101324.000,501223.000,-710352.000,-21168.000,-899780.000
OperatingIncomeLoss,-20729.000,,,,-64844.000,-14713.000,-24127.000,-62659.000,42763.000,40277.000,709223.000,-499315.000,186832.000,-691780.000
OtherExpenses,1088.000,120.000,,,,,,,,,,,,
OtherGeneralAndAdministrativeExpense,,,10.000,,,,,,,,,,,
OtherGeneralExpense,,,381.000,,,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,-141601.000,-208000.000,,-208000.000,-208000.000
PaymentsOfStockIssuanceCosts,,,,,-18231.000,,,,,,,,,
PaymentsToAcquireRealEstateHeldForInvestment,,,,,,,,,,,,,3895793.000,
ProceedsFromIssuanceOfDebt,,,,,150000.000,,,,,,,,,
ProceedsFromIssuanceOrSaleOfEquity,,,,,,,,,2000.000,,,,,
ProfessionalFees,,,2300.000,,22310.000,5200.000,4700.000,37709.000,8294.000,18555.000,4225.000,68232.000,22853.000,17626.000
RentalIncomeNonoperating,,,,,,,,,,,,,55250.000,55250.000
RepaymentsOfDebt,,,,,,,,,,,,,5000.000,
Revenues,,,0.000,,,,,,853500.000,2776131.000,5944150.000,1151971.000,6276985.000,2564672.000
SalesRevenueGoodsGross,,,,,,,,,,,,,6221735.000,2509422.000
SalesRevenueNet,,,0.000,,,,,,853500.000,2776131.000,5944150.000,1151971.000,6276985.000,2564672.000
StockIssuedDuringPeriodSharesIssuedForCash,,,,,,,,,2000000.000,,,,,
StockIssuedDuringPeriodValueIssuedForCash,,,,,,,,,2000.000,,,,,
TaxesExcludingIncomeAndExciseTaxes,,,0.000,,,,,,,,,,,
TravelAndEntertainmentExpense,9953.000,12815.000,0.000,12922.000,5191.000,,2092.000,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1510110.000,1700000.000,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,,1700000.000,,1700000.000,185186813.000,154000000.000,-155595580.000,155644444.000,156000000.000,156000000.000,-311788290.000,156000000.000,156000000.000
