,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30
AllocatedShareBasedCompensationExpense,,,,,,29983.000,,,,,9248.000,40864.000,,
BusinessDevelopment,77031.000,,,,,1499.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-5231.000,,,,3787.000,,,,,,-54759.000,,
ComprehensiveIncomeNetOfTax,,,,,,,-826341.000,-701328.000,,-4039944.000,-874336.000,,,
CostsAndExpenses,665776.000,442461.000,2649313.000,272292.000,,283699.000,306931.000,322527.000,761922.000,3543433.000,376427.000,411072.000,436973.000,363822.000
EarningsPerShareBasicAndDiluted,,0.000,-0.010,0.000,-0.030,,0.000,0.000,,-0.020,0.000,0.000,-0.020,-0.000
FairValueAssumptionsExpectedDividendRate,,,,,,0.000,,,,,,0.000,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,3.050,,,,,,1.950,,
FairValueAssumptionsRiskFreeInterestRate,,,,,,0.025,,,,,,0.017,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,1810.000,,
ForeignCurrencyTransactionGainLossRealized,,,,,,,,,,,,,-278.000,1278.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,88500.000,,,,
GeneralAndAdministrativeExpense,145565.000,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-41475.000,,,,42232.000,,,,,,-1513.000,,
IncreaseDecreaseInDueToOtherRelatedParties,,,,,,65524.000,,,,,,,,
IncreaseDecreaseInDueToRelatedParties,,,,,,45089.000,,,,,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,5000.000,,,,5000.000,,,,,,,,
IncreaseDecreaseInInterestPayableNet,,126391.000,,,,126518.000,,,,,,128892.000,,
IncreaseDecreaseInPrepaidExpense,,-13900.000,,,,3338.000,,,,,,2725.000,,
InterestExpense,375425.000,482689.000,2648985.000,272292.000,3057244.000,301247.000,306633.000,322527.000,408992.000,3631933.000,376427.000,385252.000,,
InterestExpenseDebt,,,,,,,,,,,,385252.000,3582148.000,408332.000
InterestExpenseOther,,41797.000,,,,,,,,,,,,
LineOfCreditFacilityIncreaseAdditionalBorrowings,,,,,,4000000.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,366131.000,,,,366769.000,,,,,,341223.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,366131.000,,,,366769.000,,,,,,341223.000,,
