,2012-06-30,2012-09-30
AccountsPayableCurrent,1190.000,650.000
Assets,4908.000,2965.000
AssetsCurrent,4908.000,2965.000
Cash,2358.000,1265.000
CommonStockParOrStatedValuePerShare,0.001,0.001
CommonStockSharesAuthorized,90000000.000,90000000.000
CommonStockSharesIssued,18000000.000,18000000.000
CommonStockSharesOutstanding,18000000.000,18000000.000
CommonStockValueOutstanding,18000.000,18000.000
DeferredTaxAssetsGross,5000.000,6380.000
DeferredTaxAssetsOperatingLossCarryforwards,5000.000,6380.000
DeferredTaxAssetsValuationAllowance,-5000.000,-6380.000
InterestPayableCurrent,,45.000
Liabilities,,3195.000
LiabilitiesAndStockholdersEquity,4908.000,2965.000
LiabilitiesCurrent,1190.000,695.000
LongTermNotesPayable,,2500.000
PreferredStockParOrStatedValuePerShare,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PrepaidExpenseCurrent,2550.000,1700.000
RetainedEarningsAccumulatedDeficit,-14282.000,-18230.000
StockholdersEquity,3718.000,-230.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,-230.000
TemporaryEquitySharesSubscribedButUnissued,0.000,0.000
