,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsAndOtherReceivablesNetCurrent,,,,,,,110000.000,0.000,0.000,0.000,0.000
AccountsPayableAndAccruedLiabilitiesCurrent,29483.000,23919.000,22746.000,29380.000,22537.000,44607.000,39293.000,38586.000,49956.000,124657.000,125770.000
AccountsPayableAndAccruedLiabilitiesNoncurrent,,,,,,,,24253.000,49956.000,124657.000,
AccumulatedAmortizationOfCurrentDeferredFinanceCosts,,,,,,,,,,,-47222.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,40926.000,6665.000,-9141.000
AdditionalPaidInCapital,2657473.000,2687473.000,4068500.000,6750361.000,6066861.000,46847197.000,46991772.000,47317838.000,51086807.000,2468123619.000,2578431001.000
Assets,116218.000,16198.000,253031.000,438171.000,170524.000,3184298.000,138823.000,348460.000,99509.000,50473.000,293350.000
AssetsCurrent,115287.000,15352.000,111834.000,277494.000,9932.000,3023791.000,138401.000,35433.000,51083.000,1222.000,229955.000
AssetsNoncurrent,,,,,,,,,40926.000,41751.000,
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,,,,0.000,,,,,,,
CapitalizedComputerSoftwareNet,,,,,,,,225000.000,,,
Cash,,,,,,23791.000,28401.000,34514.000,50164.000,303.000,179036.000
CashAndCashEquivalentsAtCarryingValue,115287.000,14788.000,111834.000,60994.000,9932.000,23791.000,28379.000,34515.000,50164.000,303.000,179036.000
CashEquivalentsAtCarryingValue,,,,,,,,,,,218028.000
ClassOfWarrantOrRightOutstanding,,,,,85713.000,101424762.000,101508095.000,101591428.000,,,5063.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,28000000.000,28000000.000,,,,
CommonStockHeldInTrust,,,,216500.000,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,,,,,0.010
CommonStockSharesAuthorized,87500000.000,100000000.000,87000000.000,,,,,,,,
CommonStockSharesIssued,32885900.000,35885900.000,58486150.000,75186150.000,75186150.000,283536150.000,,,,,119249985.000
CommonStockSharesOutstanding,32885900.000,35885900.000,58486150.000,75186150.000,75186150.000,283536150.000,,,,,119249985.000
CommonStockValue,328859.000,358859.000,584862.000,751862.000,2405362.000,2835362.000,,,,,1192499.000
ConvertibleDebt,,,,,,,,,302673.000,,380642.000
ConvertibleNotesPayable,,,,,,,,,,454309.000,
ConvertibleNotesPayableCurrent,,,,,,17837.000,73738.000,94236.000,157033.000,251339.000,380642.000
CustomerDepositsCurrent,150000.000,150000.000,185000.000,185000.000,15540.000,12540.000,9540.000,6540.000,3540.000,1540.000,69180.000
DebtInstrumentConvertibleConversionPrice1,,,,,,,,0.004,,,
DebtInstrumentFairValue,,,,,,253320.000,453949.000,615964.000,1997440.000,1234131.000,413734.000
DebtInstrumentInterestRateStatedPercentage,,,,,,0.080,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,302673.000,302673.000,402141.000
DebtInstrumentUnamortizedDiscountPremiumNet,,,,,,,,,,,-76698.000
DeferredCompensationEquity,,,,,,,101320.000,23790.000,43403.000,53416.000,2402186028.000
DeferredFinanceCostsNet,,,,,,4947.000,9031.000,18113.000,143179.000,183014.000,16150.000
DeferredOfferingCosts,,,,6858010.000,7508010.000,7508010.000,7508010.000,7508010.000,7508010.000,10332267.000,7508010.000
DeferredTaxAssetsGross,1801000.000,1887000.000,2300000.000,2534292.000,2595446.000,3527000.000,3183796.000,3341000.000,7865900.000,828163240.000,
DeferredTaxAssetsNet,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,865706796.000
DeferredTaxAssetsValuationAllowance,,,,,2595446.000,3527000.000,3183796.000,3341000.000,7865900.000,828163240.000,865706796.000
DepositAssets,,,,130000.000,130000.000,130000.000,,919.000,919.000,919.000,50919.000
DepositsAssetsNoncurrent,,,,30000.000,30000.000,30000.000,,16800.000,,,
DerivativeLiabilities,,,,,,,453949.000,207052.000,1041076.000,1132379.000,1504908.000
DerivativeLiabilitiesCurrent,,,,,,253320.000,453949.000,579999.000,1997440.000,1234131.000,1848299.000
DerivativeLiabilitiesNoncurrent,,,,,,297812.000,,,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,,,,,,407312.000,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,,,,,,,,20802.000
Liabilities,,,,2746828.000,2339025.000,2624305.000,,,,,4773689.000
LiabilitiesAndStockholdersEquity,116218.000,16198.000,253031.000,438171.000,170524.000,3184298.000,138823.000,349017.000,99509.000,50473.000,293350.000
LiabilitiesCurrent,2480428.000,2474864.000,2508694.000,2515328.000,2339025.000,,2868437.000,3002196.000,6365738.000,3729601.000,4773689.000
LitigationReserveCurrent,2300945.000,2300945.000,2300948.000,2300948.000,2300948.000,2300948.000,2300948.000,2300948.000,2300948.000,2300948.000,2300948.000
LongTermDebtFairValue,,,,,,,,,,,1969903.000
LongTermDebtNoncurrent,,,,231500.000,0.000,,,,,,
MarginDepositAssets,,,140436.000,0.000,0.000,0.000,0.000,37500.000,7500.000,7500.000,107.000
MoneyMarketFundsAtCarryingValue,,,,7861.000,818.000,818.000,818.000,818.000,808.000,649.000,16735.000
NotesAndLoansPayableCurrent,,,,,,,,,2000000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,3948.000,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,9598.000,,,,,,,,,,
