,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,300117.000,719901.000,756711.000,1283738.000,1122371.000,1420594.000,1534129.000,1867192.000,2150489.000,2205589.000,2436444.000
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,1122371.000,1420594.000,1534129.000,1867192.000,2150489.000,2205589.000,2436444.000
AccountsPayableCurrentAndNoncurrent,,,,,432436.000,660363.000,491959.000,565127.000,627823.000,600953.000,606410.000
AccountsPayableRelatedPartiesCurrent,,,,,73957.000,147725.000,176473.000,132407.000,125561.000,107502.000,87845.000
AccountsReceivableNetCurrent,,,,560.000,,,,,,,
AccruedPayrollTaxesCurrent,,,,319052.000,411670.000,505146.000,598815.000,607134.000,675057.000,596475.000,683071.000
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,411670.000,505146.000,598815.000,607134.000,675057.000,596475.000,683071.000
AccruedSalariesCurrent,120000.000,120000.000,120000.000,149140.000,,,,,,,
AccruedSalariesCurrentAndNoncurrent,,,,,143167.000,103936.000,295273.000,418440.000,547050.000,671280.000,771399.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-89726.000,111343.000,154577.000,176193.000,195622.000,218326.000,209382.000
AdditionalPaidInCapital,27680935.000,29463498.000,31041061.000,32893316.000,34319432.000,35156704.000,35957222.000,37087921.000,37257516.000,37870162.000,38000978.000
Assets,1254763.000,1978711.000,1884694.000,2040338.000,790047.000,765719.000,738029.000,686134.000,673496.000,670309.000,595544.000
AssetsCurrent,222165.000,653345.000,545542.000,740371.000,326704.000,320570.000,325603.000,282428.000,282542.000,303019.000,268218.000
Cash,2804.000,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,2805.000,4844.000,37064.000,1073.000,54.000,1272.000,3372.000,932.000,1046.000,16888.000,16610.000
CashAndCashEquivalentsFairValueDisclosure,,,,,54.000,1272.000,,1376084.000,1376084.000,1376084.000,1381236.000
CommitmentsAndContingencies,,,,,0.000,0.000,0.000,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,51336994.000,,57505476.000,65628176.000,72784907.000,77610014.000,99716508.000,107039034.000,111979183.000,150426703.000,168716800.000
CommonStockSharesOutstanding,51336994.000,54729606.000,57505476.000,65628176.000,72784907.000,77610014.000,99716508.000,107039034.000,111979183.000,150426703.000,168716800.000
CommonStockValue,51337.000,54730.000,57505.000,65628.000,72785.000,77610.000,99717.000,107039.000,111979.000,150426.000,168716.000
ConvertibleNotesPayable,,,,744663.000,,,,,,,
ConvertibleNotesPayableCurrent,94224.000,80535.000,426201.000,544385.000,184289.000,176932.000,312150.000,494708.000,616113.000,482290.000,511960.000
ConvertiblePreferredStockSharesIssuedUponConversion,,,,,,,,,,1.000,
DebtInstrumentUnamortizedDiscount,,,,-200278.000,42534.000,,,0.000,,,
DeferredRevenueCurrent,,,396.000,,,,106690.000,73495.000,68447.000,68447.000,89771.000
DerivativeFairValueOfDerivativeLiability,,,,,,,,658453.000,547954.000,483535.000,406047.000
DerivativeLiabilitiesCurrent,527538.000,442311.000,417003.000,314928.000,364802.000,268249.000,409986.000,658453.000,547954.000,483535.000,406047.000
DerivativeLiabilityFairValueNet1,,,,,364802.000,268249.000,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,37938721.000,39584493.000,41986774.000,44363260.000,45292722.000,46266715.000,47161743.000
DueFromOfficersOrStockholdersCurrent,27500.000,,25000.000,71300.000,,,,,,,
