,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AccountsPayableAndAccruedLiabilitiesCurrent,2181697.000,2238642.000,2267363.000,2284847.000,1441163.000,1505379.000,1145093.000,1303522.000,661868.000,679817.000,693255.000,836666.000,2655132.000,931724.000,1086647.000,1004155.000,1022382.000,1147154.000,1060327.000,906479.000
AccountsPayableCurrent,,1487717.000,1502718.000,1503871.000,642612.000,618865.000,295976.000,391386.000,396324.000,387499.000,375494.000,497388.000,463911.000,700742.000,832436.000,749568.000,782654.000,920887.000,814018.000,647694.000
AccountsReceivableNetCurrent,,,,,,30000.000,,,,,20000.000,22000.000,132349.000,61322.000,133847.000,208647.000,192100.000,222534.000,21621.000,12001.000
AccruedIncomeTaxesCurrent,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,98922.000,98922.000,98922.000,63082.000,63082.000,63082.000,63082.000,63082.000,63082.000,63082.000,63082.000,63082.000,63082.000
AccruedLiabilitiesCurrent,,2338642.000,2367364.000,2384847.000,1541163.000,1605379.000,1145093.000,1303522.000,661868.000,679817.000,693255.000,836666.000,,,,,,,,
AccruedPayrollTaxesCurrent,,,,,,,,,,,,,54882.000,51187.000,54386.000,48382.000,28320.000,4966.000,11612.000,16805.000
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,,,,,,,,,1200000.000,,,,,,,
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,1873611.000,,,,,,,
AdditionalPaidInCapital,,,,,,,,,29720041.000,31536575.000,33869330.000,34716268.000,36840157.000,39216670.000,39668191.000,39709518.000,41645382.000,41645382.000,42037995.000,42484648.000
AdditionalPaidInCapitalCommonStock,23952807.000,23952807.000,24132806.000,24152807.000,24552807.000,24552807.000,24682188.000,25556463.000,,,,,,,,,,,,
AdvancesOnInventoryPurchases,,,,,,,,,,,,40000.000,,,,,,,,
Assets,4913.000,611.000,179928.000,92110.000,345126.000,160956.000,323094.000,65048.000,129729.000,126512.000,20879.000,74653.000,537926.000,727268.000,502835.000,382654.000,584643.000,522641.000,429618.000,244135.000
AssetsCurrent,4913.000,611.000,179928.000,92110.000,345126.000,160956.000,323094.000,65048.000,129729.000,126512.000,20879.000,74653.000,536052.000,706884.000,474283.000,354365.000,556617.000,494879.000,392119.000,206900.000
Cash,,,,,,,,,,,,,,,25989.000,38726.000,56172.000,5656.000,211265.000,10426.000
CashAndCashEquivalentsAtCarryingValue,4913.000,611.000,179928.000,92110.000,345126.000,126373.000,310761.000,43470.000,118505.000,123045.000,271.000,9948.000,234994.000,290622.000,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,600000000.000,600000000.000,600000000.000,600000000.000,600000000.000,,,,,,600000000.000,600000000.000
CommonStockSharesIssued,48898474.000,48898474.000,48898474.000,48898474.000,48898474.000,48898474.000,48898474.000,65863928.000,75863928.000,95863928.000,153171281.000,5574197.000,,,,,,,13843167.000,14136763.000
CommonStockSharesOutstanding,48898474.000,48898474.000,48898474.000,48898474.000,48898474.000,48898474.000,48898474.000,65863928.000,75863928.000,95863928.000,153171281.000,5574197.000,,,,,,,13843167.000,14136763.000
CommonStockValue,4889.000,4889.000,4889.000,4889.000,4889.000,4889.000,4889.000,6585.000,7585.000,9585.000,15317.000,557.000,,,,,,,1384.000,1414.000
ConvertibleDebt,,,,,,,,,,936906.000,,,,,,,,,,
ConvertibleDebtCurrent,5259926.000,5259926.000,5259926.000,5259926.000,6204926.000,6204926.000,6079926.000,6067926.000,2420374.000,1206838.000,1224591.000,722183.000,456930.000,456930.000,456930.000,456930.000,456930.000,456930.000,68576.000,124907.000
ConvertibleDebtNoncurrent,,,,,,,,,,,,,,,,,,,18456.000,29458.000
ConvertibleNotesPayableCurrent,,,,,,,1009189.000,1092960.000,,,,,,,,,,,,
DebtCurrent,,12025.000,,,,,,,,,,,,,,,,,,
DebtInstrumentCarryingAmount,,,,,600000.000,,,,1249157.000,1449157.000,,,,,,,,,,
DebtInstrumentConvertibleConversionPrice1,,,0.010,,,,,,,,,,,,,,,,,
DebtInstrumentFaceAmount,,,180000.000,,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,0.060,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,179490.000,174076.000,537323.000,460319.000,,,309263.000,286397.000,,,,,,,,,,
DeferredRevenue,,,,,,,,,,,,,267291.000,332191.000,196538.000,86269.000,260637.000,210837.000,274100.000,
DeferredRevenueCurrent,,,,,,,,,,,,60000.000,,,,,,,,
DeferredTaxAssetsNet,,,,,0.000,,,,0.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,6908000.000,,,,6679000.000,,,,6970000.000,,,,7219000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,,1049000.000,,,,299000.000,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,1420000.000,,,,371000.000,,,,72000.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,8328000.000,,,,-7050000.000,,,,6959000.000,,,,7369000.000,,,
DueFromOfficersOrStockholdersCurrent,,,,,,,,,,,,,0.000,,,,,,,
DueToRelatedPartiesCurrent,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,130000.000,0.000,40000.000,,,,,,,,
