,2011-06-30,2011-09-30,2011-12-31
AccountsPayableCurrent,82324.000,75345.000,78285.000
AdditionalPaidInCapitalCommonStock,10149393.000,10149393.000,10149393.000
Assets,33722.000,32994.000,30584.000
AssetsCurrent,797.000,69.000,159.000
AssetsNoncurrent,32925.000,32925.000,30425.000
Cash,797.000,,
CashAndCashEquivalentsAtCarryingValue,797.000,69.000,159.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,130000000.000,130000000.000,130000000.000
CommonStockSharesIssued,27115376.000,,
CommonStockSharesOutstanding,27115376.000,27115376.000,27115376.000
CommonStockValue,27115.000,27115.000,
CommonStockValueOutstanding,,,27115.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,225711.000,230112.000,239185.000
FiniteLivedIntangibleAssetsNet,32925.000,32925.000,
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,30425.000
InterestPayableCurrent,8892.000,10544.000,12317.000
Liabilities,220616.000,224289.000,230952.000
LiabilitiesAndStockholdersEquity,33722.000,32994.000,30584.000
LiabilitiesCurrent,220616.000,224289.000,230952.000
NotesPayableCurrent,74400.000,83900.000,88350.000
OtherLiabilitiesCurrent,55000.000,54500.000,52000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000
RetainedEarningsAccumulatedDeficit,-10137691.000,-10137691.000,-10137691.000
StockholdersEquity,,-191295.000,-200368.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-186894.000,-191295.000,-200368.000
