,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-78000.000,,,,-225000.000,,,,-112000.000,,,,-82000.000,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,46000.000,,,,69000.000,,,,75000.000,,,,73000.000,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,17000.000,,,,11000.000,,,,9000.000,,,,1000.000,
AmortizationOfDeferredLoanOriginationFeesNet,-9000.000,,,,-34000.000,,,,-17000.000,,,,-66000.000,
AmortizationOfESOPAward,126000.000,,,,156000.000,,,,155000.000,,,,172000.000,
AmortizationOfIntangibleAssets,10000.000,,,,6000.000,,,,,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,15000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,,,,,,,,,627000.000,,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,612000.000,,,,,
BankOwnedLifeInsuranceIncome,120000.000,123000.000,117000.000,118000.000,116000.000,115000.000,112000.000,107000.000,109000.000,110000.000,110000.000,107000.000,105000.000,107000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,21008000.000,,,,13553000.000,,,,-50692000.000,,,,9848000.000,
CommonStockDividendsPerShareDeclared,0.060,,,,0.080,,,,0.080,,,,0.090,
Communication,187000.000,206000.000,211000.000,212000.000,228000.000,220000.000,211000.000,192000.000,195000.000,207000.000,198000.000,195000.000,197000.000,250000.000
ComprehensiveIncomeNetOfTax,2044000.000,1952000.000,1731000.000,1345000.000,1522000.000,1113000.000,1301000.000,1963000.000,1204000.000,1145000.000,1378000.000,1853000.000,1043000.000,1059000.000
DepreciationAndAmortization,200000.000,,,,243000.000,,,,321000.000,,,,313000.000,
