,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,18074.000,19740.000,19294.000,20479.000,27385.000,26882.000,28719.000,28545.000,28664.000,29682.000,30038.000,32523.000,33082.000
AdditionalPaidInCapital,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000,1676.000
AssetsCurrent,,,,,,,127.000,157.000,159.000,183.000,,8.000,45.000
Cash,1880.000,4.000,,4.000,4.000,127.000,127.000,157.000,159.000,183.000,,8.000,45.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000
CommonStockSharesIssued,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000
CommonStockSharesOutstanding,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000,2042000.000
CommonStockValue,204.000,204.000,204.000,204.000,204.000,204.000,204.000,204.000,204.000,204.000,204.000,204.000,204.000
DeferredTaxAssetsNet,,,,,,29000.000,,,,36000.000,31000.000,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,65145.000,68387.000,71591.000,73137.000,80043.000,84137.000,89028.000,93549.000,98495.000,102509.000,107288.000,113135.000,118637.000
DueToRelatedPartiesCurrent,,,,,,,,,,71130.000,75370.000,78740.000,83720.000
InterestPayableCurrent,,,,,,,,,6022.000,,,,
Liabilities,,,,,,,,,,100812.000,105408.000,111263.000,116802.000
LiabilitiesAndStockholdersEquity,1880.000,4.000,,4.000,4.000,127.000,127.000,157.000,159.000,183.000,,8.000,45.000
LiabilitiesCurrent,65145.000,66511.000,69711.000,71261.000,78167.000,82384.000,87275.000,91826.000,96774.000,100812.000,105408.000,111263.000,116802.000
OperatingLossCarryforwards,,,,,,86000.000,,,,104000.000,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
StockholdersEquity,-63265.000,-66507.000,-69711.000,-71257.000,-78163.000,-82257.000,-87148.000,-91669.000,-96615.000,-100629.000,-105408.000,-111255.000,-116757.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,-100629.000,,-111255.000,-116757.000
UnsecuredDebtCurrent,47071.000,46771.000,50417.000,50782.000,50782.000,55502.000,58556.000,63281.000,68110.000,,,,
