,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30
AccountsPayableCurrent,3772000.000,4155000.000,3587000.000,4002000.000,5497000.000
AccountsReceivableNetCurrent,10936000.000,11266000.000,10872000.000,7101000.000,9654000.000
AdditionalPaidInCapital,9366000.000,9373000.000,9369000.000,9369000.000,9632000.000
Assets,22314000.000,23410000.000,22868000.000,17948000.000,21882000.000
AssetsCurrent,13169000.000,14123000.000,13422000.000,10692000.000,14680000.000
CapitalizedComputerSoftwareNet,3138000.000,3243000.000,3330000.000,1712000.000,1581000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000
CommonStockSharesIssued,6573000.000,6584000.000,6584000.000,6584000.000,6664000.000
CommonStockSharesOutstanding,6573000.000,6584000.000,6584000.000,6584000.000,6664000.000
CommonStockValue,7000.000,7000.000,7000.000,7000.000,7000.000
DebtInstrumentBasisSpreadOnVariableRate,,,,,0.022
DebtInstrumentInterestRateAtPeriodEnd,,,,,0.025
DebtInstrumentInterestRateEffectivePercentage,,,,,0.150
DeferredRevenueCurrent,8427000.000,6674000.000,8558000.000,6634000.000,8351000.000
DeferredTaxAssetsNetNoncurrent,,26000.000,,121000.000,173000.000
DeferredTaxLiabilitiesCurrent,869000.000,886000.000,990000.000,382000.000,337000.000
DeferredTaxLiabilitiesNoncurrent,193000.000,,206000.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,288000.000
Goodwill,2431000.000,2431000.000,2431000.000,2431000.000,2431000.000
IncomeTaxesReceivable,472000.000,313000.000,608000.000,855000.000,882000.000
InventoryNet,1453000.000,2283000.000,1568000.000,2394000.000,3836000.000
Liabilities,16148000.000,16419000.000,16035000.000,13117000.000,17228000.000
LiabilitiesAndStockholdersEquity,22314000.000,23410000.000,22868000.000,17948000.000,21882000.000
LiabilitiesCurrent,14829000.000,15432000.000,14983000.000,12253000.000,16468000.000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,8000000.000
LinesOfCreditCurrent,1236000.000,3187000.000,1312000.000,697000.000,1740000.000
LongTermNotesPayable,385000.000,268000.000,150000.000,192000.000,113000.000
NotesPayableCurrent,463000.000,466000.000,469000.000,469000.000,471000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,3153000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,614000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,46000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,268000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,984000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,1241000.000
OtherIntangibleAssetsNet,2257000.000,2206000.000,2156000.000,1505000.000,1465000.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,15000000.000,15000000.000,15000000.000,15000000.000,15000000.000
PreferredStockSharesIssued,6740000.000,6740000.000,6740000.000,6740000.000,6660000.000
PreferredStockSharesOutstanding,6740000.000,6740000.000,6740000.000,6740000.000,6660000.000
PreferredStockValue,7000.000,7000.000,7000.000,7000.000,7000.000
PrepaidExpenseCurrent,308000.000,261000.000,374000.000,342000.000,308000.000
PropertyPlantAndEquipmentNet,1319000.000,1381000.000,1529000.000,1487000.000,1552000.000
RetainedEarningsAccumulatedDeficit,-3070000.000,-2276000.000,-2457000.000,-4480000.000,-4704000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,510000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,0.640
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,42000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,1072000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,0.680
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,42000.000
StockholdersEquity,6166000.000,6991000.000,6833000.000,4831000.000,4654000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6166000.000,6991000.000,6833000.000,4831000.000,4654000.000
SubordinatedDebt,741000.000,719000.000,696000.000,672000.000,719000.000
SubordinatedDebtCurrent,62000.000,64000.000,67000.000,69000.000,72000.000
SubordinatedLongTermDebt,,,,,647000.000
