,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-112413.000,,-152447.000,,,,-97569.000,,,,-227000.000,,
AdjustmentsToAdditionalPaidInCapitalOther,,,-20.000,,,,,,,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,978.000,,,,,,,,,,,,
AdvertisingExpense,33817.000,30924.000,33115.000,29005.000,38919.000,28797.000,27676.000,34608.000,27635.000,43989.000,53815.000,57561.000,44000.000,49000.000,43000.000
AllowanceForLoanAndLeaseLossRecoveryOfBadDebts,,,,,,,,,38000.000,40000.000,30000.000,33000.000,36000.000,100000.000,46000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,,,-68000.000,-11000.000,-310000.000,-79000.000,-44000.000,-11000.000,-15000.000
AmortizationOfDeferredLoanOriginationFeesNet,,,,,,,,,,,,,5000.000,,
AmortizationOfIntangibleAssets,73112.000,73113.000,73113.000,29646.000,29646.000,29646.000,29646.000,30062.000,29646.000,10086.000,42177.000,64091.000,61000.000,61000.000,61000.000
AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,,,,,,,,,,,537000.000,,,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,,,,,,,,,-177000.000,,,,-105000.000,,
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,,,,,,,,,-305000.000,,,,-32000.000,,
AvailableForSaleSecuritiesGrossUnrealizedGains,,,,,,,,,652000.000,,,,1312000.000,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,,,,,,,,,482000.000,,,,137000.000,,
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,,,,,,-482000.000,,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,139525.000,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,,,1816255.000,,,,
