,2011-03-31,2012-03-31,2013-03-31,2014-03-31,2015-03-31,2016-03-31,2017-03-31
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,2000000.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,80000000.000,89000000.000,78000000.000,82000000.000,87000000.000,97000000.000,108000000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,24000000.000,4000000.000,2000000.000,5000000.000,1000000.000,1000000.000,1000000.000
AdvertisingExpense,,,,38000000.000,39000000.000,35000000.000,
AllocatedShareBasedCompensationExpense,,89000000.000,78000000.000,82000000.000,87000000.000,97000000.000,108000000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,60000000.000,53000000.000,56000000.000,59000000.000,66000000.000,73000000.000
AmortizationOfDebtDiscountPremium,0.000,0.000,,,,,
AmortizationOfDeferredCharges,192000000.000,225000000.000,319000000.000,282000000.000,273000000.000,256000000.000,243000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,6000000.000,4000000.000,4000000.000,2000000.000,1000000.000,2000000.000,1000000.000
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,,,,,,,1.700
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,,,,,,,1.690
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,710000000.000
BusinessAcquisitionsProFormaRevenue,,,,,,,4279000000.000
CapitalLeaseObligationsIncurred,,,9000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,466000000.000,-370000000.000,-86000000.000,659000000.000,-448000000.000,8000000.000,-41000000.000
CashFlowHedgeLossReclassifiedToInterestExpense,4000000.000,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,16000000.000,4000000.000,0.000,0.000,170000000.000,50000000.000,0.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,4000000.000,-27000000.000,0.000,16000000.000,-48000000.000,-12000000.000,0.000
CommonStockDividendsPerShareDeclared,0.160,,,,,,
ComprehensiveIncomeNetOfTax,888000000.000,908000000.000,908000000.000,898000000.000,599000000.000,785000000.000,708000000.000
CostOfServicesLicensesAndMaintenanceAgreements,278000000.000,286000000.000,284000000.000,303000000.000,297000000.000,283000000.000,273000000.000
CostsAndExpenses,3175000000.000,3425000000.000,3281000000.000,3422000000.000,3100000000.000,2890000000.000,2901000000.000
CurrentFederalTaxExpenseBenefit,110000000.000,275000000.000,279000000.000,190000000.000,284000000.000,285000000.000,215000000.000
CurrentForeignTaxExpenseBenefit,88000000.000,120000000.000,32000000.000,-14000000.000,56000000.000,95000000.000,74000000.000
CurrentIncomeTaxExpenseBenefit,246000000.000,432000000.000,350000000.000,209000000.000,377000000.000,430000000.000,319000000.000
CurrentStateAndLocalTaxExpenseBenefit,48000000.000,37000000.000,39000000.000,33000000.000,37000000.000,50000000.000,30000000.000
DecreaseInRestrictedCash,,,,50000000.000,0.000,4000000.000,
DeferredFederalIncomeTaxExpenseBenefit,65000000.000,4000000.000,-18000000.000,-82000000.000,-74000000.000,-86000000.000,2000000.000
DeferredForeignIncomeTaxExpenseBenefit,70000000.000,2000000.000,28000000.000,25000000.000,14000000.000,-9000000.000,-18000000.000
DeferredIncomeTaxExpenseBenefit,140000000.000,-16000000.000,13000000.000,-69000000.000,-72000000.000,-115000000.000,-21000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,5000000.000,-22000000.000,3000000.000,-12000000.000,-12000000.000,-20000000.000,-5000000.000
DefinedContributionPlanCostRecognized,28000000.000,44000000.000,43000000.000,41000000.000,38000000.000,38000000.000,37000000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,26000000.000,24000000.000,25000000.000,24000000.000
Depreciation,114000000.000,111000000.000,104000000.000,84000000.000,71000000.000,62000000.000,58000000.000
