,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,650994.000,759208.000,911861.000
AccountsPayableAndOtherAccruedLiabilities,138424.000,163585.000,246847.000,324001.000,30366.000,522244.000,498195.000,628838.000,596139.000,,,
AccountsReceivableGrossCurrent,230270.000,93334.000,234922.000,176808.000,35729.000,248385.000,42393.000,74014.000,292911.000,,,
AccountsReceivableNetCurrent,,,,,,,,,,20025.000,78.000,32412.000
AccruedIncomeTaxesCurrent,,1164.000,3410.000,,,,,,,,,
AccruedIncomeTaxesPayable,1165.000,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,32492.000,34594.000,37184.000,38777.000,39260.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-4769.000,-1020.000,-2872.000,-2667.000,,,,,,,,
AdditionalPaidInCapital,684483.000,684483.000,684483.000,684483.000,978036.000,2615771.000,2765171.000,2939171.000,3020147.000,3617747.000,4733358.000,4734363.000
Assets,954496.000,946659.000,667248.000,1851392.000,892517.000,2974967.000,2776174.000,2563798.000,2334201.000,1890850.000,1753469.000,1796548.000
AssetsCurrent,921461.000,916619.000,639008.000,1268303.000,334669.000,808257.000,405289.000,308055.000,579209.000,180756.000,28226.000,50321.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,727297.000,,,,,,
BankLoans,111648.000,186196.000,,638810.000,49660.000,294994.000,294994.000,294994.000,,,,
BusinessAcquisitionCostOfAcquiredEntityLiabilitiesIncurred,,,,,,265726.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,,,,14247.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,,1654500.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssets,,,,,,1260017.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,,,,,,71718.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,,,,,,411829.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,,,282712.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsWorkInProgress,,,,,,13785.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,,,,,,-532546.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesOtherLiabilities,,,,,,-519595.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,556905.000,556905.000,1971683.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncontrollingInterest,,,,,,34013.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncurrentLiabilitiesLongTermDebt,,,,,,-1543187.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationNotesPayableAndLongTermDebt,,,,,,-425596.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities,,,,,,-65450.000,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,-317183.000,,,,,,
Cash,94316.000,146974.000,54978.000,134365.000,32192.000,186902.000,70420.000,11695.000,32084.000,,,
CashAndCashEquivalentsAtCarryingValue,94316.000,146974.000,54978.000,134365.000,32192.000,186902.000,,11695.000,32084.000,124442.000,11414.000,14485.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,0.250
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,125000.000,125000.000
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,125000.000,125000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,,5000000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,,,,,200000.000,40241.000,31918.000,200000.000,,,
