,2011-01-30,2012-01-29,2013-02-03,2014-02-02,2015-02-01,2016-01-31,2017-01-29
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,1273000.000
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,5721000.000,4972000.000,,3268000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,7273000.000,10340000.000,15637000.000,10087000.000,8269000.000,,16822000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,7863000.000,5750000.000,9901000.000,6457000.000,413000.000,,
AllocatedShareBasedCompensationExpense,,10340000.000,15637000.000,10087000.000,8269000.000,10356000.000,16800000.000
AmortizationOfIntangibleAssets,,,1329000.000,891000.000,914000.000,810000.000,700000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,57000.000,296000.000,64000.000,100000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,286958000.000,,,,,
BusinessAcquisitionsProFormaRevenue,,1000839000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,156713000.000,93151000.000,180742000.000,108470000.000,-34170000.000,-162997000.000,233364000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,0.000,,,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,,,,,,
ComprehensiveIncomeNetOfTax,136309000.000,185283000.000,270097000.000,190389000.000,133694000.000,201251000.000,340084000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesAdditionalInterestIssuedToParent,,,26013000.000,,,,
CostOfGoodsSold,316757000.000,431569000.000,607532000.000,751112000.000,883033000.000,1063357000.000,1144775000.000
CurrentFederalTaxExpenseBenefit,,45623000.000,22598000.000,27818000.000,54172000.000,-18662000.000,36245000.000
CurrentForeignTaxExpenseBenefit,,51126000.000,90017000.000,84924000.000,80461000.000,110372000.000,94581000.000
CurrentIncomeTaxExpenseBenefit,,105187000.000,116410000.000,116759000.000,142836000.000,95073000.000,137516000.000
CurrentStateAndLocalTaxExpenseBenefit,,8438000.000,3795000.000,4017000.000,8203000.000,3363000.000,6690000.000
DeferredFederalIncomeTaxExpenseBenefit,,73000.000,-5667000.000,266000.000,7763000.000,8719000.000,-11065000.000
DeferredForeignIncomeTaxExpenseBenefit,,-778000.000,8000.000,516000.000,-6574000.000,-1769000.000,-5263000.000
DeferredIncomeTaxExpenseBenefit,11234000.000,-693000.000,-6445000.000,820000.000,1266000.000,7375000.000,-18168000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,12000.000,-786000.000,38000.000,77000.000,425000.000,-1840000.000
DefinedContributionPlanCostRecognized,,,,,,,3200000.000
Depreciation,,28709000.000,41671000.000,48177000.000,57450000.000,72573000.000,87000000.000
DepreciationDepletionAndAmortization,24614000.000,30259000.000,43000000.000,49068000.000,58364000.000,73383000.000,87697000.000
EarningsPerShareBasic,1.720,1.290,1.880,1.930,1.660,1.900,2.210
EarningsPerShareDiluted,1.690,1.270,1.850,1.910,1.660,1.890,2.210
EffectOfExchangeRateOnCashAndCashEquivalents,5858000.000,-3517000.000,-651000.000,-72368000.000,-79809000.000,-44557000.000,23094000.000
EffectiveIncomeTaxRateContinuingOperations,,0.361,0.288,0.296,0.376,0.278,0.282
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,0.350,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,-0.034,-0.077,0.071,-0.068,-0.069,-0.070
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,,0.008,0.008,0.005,0.003,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,,,,,,0.006,0.006
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,0.009,-0.005,0.000,-0.009,0.000,0.005
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings,,,,,0.088,0.021,0.000
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,0.008,0.016
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,,,,,,-0.028,0.000
EffectiveIncomeTaxRateReconciliationTaxSettlementsStateAndLocal,,0.028,0.012,0.012,0.012,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,7863000.000,5750000.000,9901000.000,6457000.000,413000.000,-1202000.000,1273000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,7863000.000,5750000.000,9901000.000,6457000.000,413000.000,-1202000.000,1273000.000
ExciseAndSalesTaxes,,,,161000.000,517000.000,,
FiniteLivedIntangibleAssetsAmortizationExpense,,1311000.000,,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,,5536000.000,,,,,
FiniteLivedIntangibleAssetsTranslationAdjustments,,,1587000.000,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,-759000.000,-625000.000,17314000.000,6372000.000,-11958000.000,-8300000.000
ForeignEarningsRepatriated,,,,,473700000.000,,
FranchiseCosts,,1943000.000,,,,,
