,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,3231345.000,3496252.000,1657009.000,2599435.000,2418396.000,2519340.000,1666114.000,1491745.000,1432891.000,1513022.000,1505116.000,1544971.000,1464540.000,1830599.000,1864557.000,985435.000,858636.000,1135460.000,1395528.000
AccountsPayableCurrent,808865.000,1151639.000,1903876.000,2356513.000,1452838.000,1549003.000,850658.000,617197.000,895453.000,704606.000,551701.000,386293.000,362907.000,351079.000,168558.000,398568.000,497043.000,594575.000,394967.000,364841.000,818613.000,782495.000,832097.000
AccountsReceivableNet,,2633744.000,3952876.000,4929117.000,5596888.000,4757740.000,1430316.000,2212395.000,2726195.000,3083481.000,682980.000,960419.000,889745.000,1015007.000,895508.000,522417.000,414861.000,679149.000,663041.000,481404.000,679460.000,484100.000,477005.000
AccountsReceivableNetCurrent,2967690.000,,,,,,,,,,,,,,,,,,,,,,
AccruedEmployeeBenefitsCurrent,,,,,,,,,,,,,,,,,,,,,,,318889.000
AccruedRoyaltiesCurrent,,,,,42932.000,48336.000,57555.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000,48336.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3959592.000,4221133.000,4494696.000,4677827.000,4998716.000,5320920.000,5635675.000,5507801.000,5803120.000,6085017.000,6348064.000,6337924.000,6593210.000,6852808.000,7113238.000,6410242.000,6664667.000,6897315.000,7123982.000,7241769.000,7398556.000,7541532.000,7686077.000
AdditionalPaidInCapitalCommonStock,113503645.000,114050160.000,114168375.000,114371106.000,114587003.000,115161473.000,115423517.000,115573331.000,115739573.000,116031005.000,116232596.000,121325762.000,121518765.000,121574931.000,121728244.000,121866061.000,122026540.000,122282533.000,128106735.000,128103861.000,128166044.000,128363917.000,128473409.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,0.000,0.000,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,3838092.000,3838092.000,,,,0.000,,,,,,,,,,,
Assets,39664209.000,38855158.000,39722236.000,39655601.000,38695832.000,36972778.000,30105525.000,28608715.000,27974756.000,27785900.000,26411656.000,29835133.000,28660802.000,26850294.000,25478334.000,24801993.000,22780994.000,20790701.000,25212310.000,23350903.000,21827900.000,19941426.000,10433006.000
AssetsCurrent,29786118.000,29014664.000,29795734.000,29870339.000,29101475.000,27639225.000,21039024.000,19751976.000,19293959.000,19244480.000,17951018.000,21930225.000,20987205.000,19366086.000,18139166.000,17633538.000,15821857.000,14053010.000,12783197.000,10115798.000,8837349.000,7100334.000,3981507.000
AssetsHeldForSaleCurrent,1621257.000,1621257.000,1621257.000,1621257.000,1621257.000,1621257.000,1621257.000,1525000.000,,,,,,,,,,,,,,,
BillingsInExcessOfCost,14189.000,0.000,54236.000,7201.000,245674.000,136025.000,85785.000,,,,,,,,,84444.000,,,,,,,
BillingsInExcessOfCostCurrent,,,,,,,,,,,,,,28087.000,39520.000,,83591.000,44792.000,60266.000,,,,
BuildingsAndImprovementsGross,4445348.000,4446332.000,4474092.000,4484493.000,4513891.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000,4516301.000
CashAndCashEquivalentsAtCarryingValue,10931974.000,12110293.000,11545184.000,11637940.000,8749156.000,6780447.000,5904985.000,4527899.000,5334699.000,5071049.000,6263510.000,10247112.000,9458909.000,8047444.000,7217340.000,6585703.000,5626817.000,4018487.000,8688668.000,7030230.000,5497556.000,3861947.000,1088450.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,,,,2.127,2.127,2.127,2.127,2.127,2.127,,1.530
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,1432436.000,,,,1432436.000,1432436.000,1432436.000,,1432436.000,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,1489733.000,1489733.000,,,1489733.000,1489733.000,1489733.000,1489733.000,1489733.000,1489733.000,1489733.000,5489733.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,75000000.000,75000000.000,75000000.000,75000000.000,75000000.000,175000000.000
CommonStockSharesIssued,36224267.000,36326516.000,36326516.000,36356177.000,36415267.000,,36663883.000,36664097.000,36669509.000,36864358.000,36891654.000,39777767.000,39798538.000,39999984.000,39999984.000,39999984.000,40052602.000,40301862.000,48307025.000,48330286.000,48350682.000,48503260.000,48523136.000
CommonStockSharesOutstanding,,,,36356177.000,36415267.000,36591451.000,36663883.000,36664097.000,36669509.000,36864358.000,36891654.000,39777767.000,39798538.000,39999984.000,39999984.000,39999984.000,40052602.000,40301862.000,48307025.000,48330286.000,48350682.000,48503260.000,48523136.000
CommonStockValue,362243.000,363265.000,363265.000,363562.000,364153.000,365915.000,366639.000,366641.000,366695.000,368644.000,368917.000,397778.000,397985.000,400000.000,400000.000,400000.000,400526.000,403019.000,483070.000,483303.000,483507.000,485033.000,485231.000
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear,179667.000,274147.000,84239.000,78376.000,91027.000,183665.000,239719.000,178264.000,158026.000,230139.000,445037.000,341255.000,147235.000,38779.000,36760.000,49917.000,69917.000,29917.000,29917.000,60296.000,71689.000,46246.000,29917.000
DeferredCompensationArrangementWithIndividualRecordedLiability,,,,,589242.000,602081.000,614921.000,627412.000,646294.000,666229.000,162165.000,182100.000,206836.000,232471.000,257657.000,268357.000,298414.000,38889.000,85555.000,132222.000,178889.000,225555.000,318889.000
DeferredCompensationLiabilityClassifiedNoncurrent,614381.000,632191.000,650623.000,563100.000,589242.000,602081.000,614921.000,103412.000,122294.000,142229.000,162165.000,182100.000,206836.000,232471.000,257657.000,445024.000,470080.000,205556.000,247222.000,288889.000,330556.000,372222.000,136667.000
DeferredCompensationLiabilityCurrent,,,,152007.000,,,,524000.000,524000.000,524000.000,,,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,48390.000,,,,53023.000,,,,54666.000,,,
DeferredLongTermLiabilityCharges,,,,,,,,,,,,,,,,,,,,,,,73060.000
DeferredRevenue,,,,,1760352.000,1928486.000,153596.000,71442.000,98265.000,171419.000,60512.000,5416.000,27891.000,6151.000,6651.000,37000.000,71098.000,87160.000,115338.000,79956.000,26136.000,234956.000,140230.000
DeferredRevenueAndCreditsCurrent,,,,,,,,,,,,,,,,,,,,,,,17565.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,64994.000,,,,,,,,,,,,,,,
DeferredTaxAssetsGross,,,,,,,,25211949.000,,,,26135355.000,,,,28629000.000,,,,31126180.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,22998447.000,,,,24328101.000,,,,26742134.000,,,,29451289.000,,,
DeferredTaxAssetsOther,,,,,,,,757382.000,,,,666505.000,,,,653578.000,,,,505883.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,297144.000,,,,108314.000,,,,131440.000,,,,133085.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,,,4073.000,,,,4073.000,,,,4073.000,,,,4073.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,,,,,242840.000,,,,75384.000,,,,104559.000,,,,50021.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,847069.000,,,,952978.000,,,,993216.000,,,,981829.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,25211949.000,,,,26086965.000,,,,-28575977.000,,,,-31071514.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,,,,,,,,,48390.000,,,,53023.000,,,,54666.000,,,
