,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,2000.000,0.000,-8000.000,,,
AdjustmentsToAdditionalPaidInCapitalIncomeTaxDeficiencyFromShareBasedCompensation,,,,-62000.000,23000.000,-1000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,192000.000,176000.000,171000.000,133000.000,131000.000,133000.000
AllocatedShareBasedCompensationExpense,,,171000.000,133000.000,131000.000,133000.000
AmortizationOfFinancingCosts,,,,-340000.000,,
AmortizationOfIntangibleAssets,1553000.000,1031000.000,1031000.000,931000.000,930000.000,931000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,,,18164000.000,18164000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,235500.000,135000.000,135200.000,108000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-3898000.000,,3000.000,,
ComprehensiveIncomeNetOfTax,3278000.000,1747000.000,-20608000.000,1315000.000,1253000.000,1372000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,1747000.000,-20608000.000,,,
CostOfRevenue,78941000.000,72273000.000,65544000.000,62684000.000,61963000.000,57199000.000
DeferredIncomeTaxExpenseBenefit,,1463000.000,,684000.000,,
DefinedBenefitPlanActuarialGainLoss,,,424000.000,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,-515000.000,-477000.000,-496000.000
DefinedBenefitPlanContributionsByEmployer,,,,700000.000,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,-1197000.000,1447000.000,1247000.000,1346000.000
DefinedBenefitPlanInterestCost,,,999000.000,968000.000,834000.000,900000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,226000.000,36000.000,64000.000,50000.000
Depreciation,,1014000.000,,900000.000,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,,-14000.000,,,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,,,,-13000.000,-11000.000,-12000.000
EarningsPerShareBasic,0.320,0.170,-1.990,0.120,0.110,0.130
EarningsPerShareDiluted,0.320,0.170,-1.990,0.120,0.110,0.130
EffectiveIncomeTaxRateContinuingOperations,,,,0.411,,
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,0.000,,,
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,0.000,,,
EntityWideRevenueMajorCustomerPercentage,,,,0.100,,
EquityMethodInvestmentDividendsOrDistributions,,44000.000,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,0.000,,-62000.000,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,0.000,,-62000.000,,
GoodwillImpairmentLoss,,,36600000.000,,,
GrossProfit,17438000.000,13596000.000,11223000.000,10878000.000,10148000.000,10329000.000
ImpairmentOfIntangibleAssetsFinitelived,,,,600000.000,,
IncomeLossFromContinuingOperations,3278000.000,,,2102000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5660000.000,3030000.000,-32257000.000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,1964000.000,2322000.000
IncomeLossFromContinuingOperationsPerBasicShare,0.320,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.320,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.000,,,,,
IncomeLossFromEquityMethodInvestments,,-19000.000,-2400000.000,-41000.000,,
IncomeTaxExpenseBenefit,2382000.000,1239000.000,-11663000.000,864000.000,792000.000,962000.000
IncomeTaxExpenseBenefitContinuingOperations,,,11700000.000,,,
IncreaseDecreaseInAccountsPayable,,4135000.000,,416000.000,,
IncreaseDecreaseInContractReceivablesNet,,4374000.000,,8102000.000,,
IncreaseDecreaseInEmployeeRelatedLiabilities,,-5395000.000,,80000.000,,
IncreaseDecreaseInOtherAccruedLiabilities,,602000.000,,-973000.000,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,-1562000.000,,-880000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,859000.000,,1662000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,0.000,,,18164.000
