,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,757969.000,767604.000,956685.000,210109.000,219741.000,230771.000,387442.000,275060.000,383200.000,431973.000,341688.000,449103.000
AccruedLiabilitiesCurrent,1885.000,3696.000,5669.000,7877.000,10597.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,5899.000,5365.000,11873.000,21658.000,45656.000,43858.000,59919.000,77968.000,96422.000,115097.000,133771.000,152280.000
AdditionalPaidInCapital,39680.000,49450.000,49450.000,49450.000,318430.000,8930015.000,8667624.000,11841824.000,17372914.000,18781011.000,20272230.000,21160997.000,23889462.000,25779388.000,26323896.000,31167713.000,31436554.000
Assets,2920.000,30004.000,30011.000,48053.000,1004460.000,10052183.000,9681907.000,8965101.000,8417599.000,9255107.000,9223999.000,8824656.000,8409390.000,9221683.000,8910513.000,9019045.000,8959103.000
AssetsCurrent,,,,,47920.000,1599551.000,1182113.000,1283285.000,552305.000,1379895.000,1411742.000,860070.000,416735.000,1207073.000,940657.000,730493.000,636302.000
AssetsNoncurrent,,,,,,8401363.000,8434553.000,7522257.000,7545070.000,7520095.000,7482761.000,7654010.000,7693929.000,7722500.000,7696421.000,8033791.000,8078849.000
CapitalUnitsAuthorized,,,,,,,,110000000.000,110000000.000,110000000.000,110000000.000,110000000.000,,,,510000000.000,510000000.000
Cash,0.000,4.000,11.000,18053.000,17920.000,60409.000,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,2920.000,,,,,60409.000,1087945.000,774380.000,180829.000,143792.000,196745.000,62054.000,62054.000,105842.000,10840.000,49680.000,2414.000
CashEquivalentsAtCarryingValue,,0.000,0.000,,,,,,,,,,,,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,3421100.000,,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,4130000.000,,,,4496648.000,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,19000.000,19000.000,9000.000,9000.000,9000.000,10000.000,10000.000,10000.000,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,105000.000,75000.000,5000.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,19395000.000,19395000.000,19395000.000,19395000.000,21655333.000,32840476.000,32773392.000,36055171.000,37680885.000,38853382.000,39438382.000,41084279.000,51708310.000,53588825.000,55899825.000,71707493.000,72087564.000
CommonStockSharesOutstanding,19395000.000,19395000.000,19395000.000,19395000.000,21655333.000,32840476.000,32773392.000,36055171.000,37680885.000,38853382.000,39438382.000,41084279.000,51708310.000,53588825.000,55899825.000,71707493.000,72087564.000
CommonStockValue,19395.000,19395.000,19395.000,19395.000,21655.000,32841.000,32773.000,36055.000,37681.000,38853.000,39438.000,41084.000,51708.000,53589.000,55900.000,71707.000,72087.000
ConvertibleDebt,,,,,10000.000,,,,,,,,,,,,
ConvertibleDebtCurrent,80000.000,80000.000,80000.000,110000.000,180000.000,70000.000,20000.000,,143000.000,357000.000,1048000.000,999000.000,150000.000,555556.000,555556.000,88329.000,520587.000
DebtInstrumentFaceAmount,,,,,,,,,,,,10290.000,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,,,73334.000,99576.000
DeferredFinanceCostsCurrentNet,,,,,,,,,,,117111.000,54278.000,,41667.000,27778.000,,
DeferredFinanceCostsNoncurrentNet,,,,,,,,,,,,202021.000,202021.000,260497.000,260497.000,260497.000,260497.000
DeferredTaxAssetsGross,,,,,,1289834.000,,,,,,6821119.000,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,6821119.000,,,,10329006.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,1109750.000,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,1289834.000,,,,,,6821119.000,,,,10329006.000,
DerivativeLiabilitiesCurrent,,,,,,,,,,,,,,,,914000.000,437000.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,119040.000,105010.000,124352.000,148154.000,235707.000,2409523.000,3694923.000,6003855.000,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities,,,,,,,,,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000
DueFromOfficersOrStockholders,,,,,,,,,,,,,,,,6526.000,
DueToOtherRelatedPartiesClassifiedCurrent,,,,,700000.000,,,,,,,,,,,,
DueToRelatedPartiesCurrent,,,8850.000,18485.000,18485.000,2200000.000,2200000.000,2031257.000,2031258.000,2031258.000,2031258.000,2031258.000,2031258.000,2031258.000,2031258.000,,
FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,,,,,,,,,,,,,,,,914000.000,437000.000
InterestPayableCurrent,,1473.000,0.000,0.000,,2932.000,4310.000,3697.000,6362.000,7246.000,8142.000,9036.000,9921.000,10806.000,11701.000,68929.000,99424.000
Investments,,,,,32500.000,924040.000,924040.000,,,,,,,,,,
Liabilities,81885.000,85169.000,94519.000,136362.000,909082.000,3508850.000,4686433.000,3101077.000,3754545.000,3990585.000,4952940.000,5132830.000,2662442.000,3143524.000,3193192.000,3677140.000,3789501.000
LiabilitiesAndStockholdersEquity,2920.000,30004.000,30011.000,48053.000,1004460.000,10052183.000,9681907.000,8965101.000,8417599.000,9255107.000,9223999.000,8824656.000,8409390.000,9221683.000,8910513.000,9019045.000,8959103.000
LiabilitiesCurrent,,,,,,,,,2504545.000,2740585.000,3702940.000,3882830.000,2662442.000,3143524.000,3193192.000,3677140.000,3789501.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000,36148.000
LongTermDebt,,,,,,,,,1250000.000,1250000.000,,1250000.000,,,,,
MinorityInterest,,,,,,,,,-175966.000,-264186.000,-418430.000,-452458.000,-450694.000,-559920.000,-674678.000,,
MinorityInterestOwnershipPercentageByNoncontrollingOwners,,,,,,0.490,0.490,0.490,,,,,,,,,
MinorityInterestOwnershipPercentageByParent,,,,,,0.510,0.510,0.510,,,,,,,,,
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,111800.000,111800.000,71000.000,71000.000,71000.000,71000.000,71000.000,71000.000,71000.000,71000.000,2073126.000,2073126.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,111800.000,111800.000,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,275327.000,,,,275327.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,,,,,,118892.000,,,,128508.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,36055.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,120380.000,,,,38295.000,
OperatingLossCarryforwards,,,,,,180083.000,,,,,,17052797.000,,,,25822515.000,
OtherAssetsCurrent,0.000,0.000,,,,,,,,,,,,,,,
OtherAssetsNoncurrent,,,,,956040.000,,,,,,,,,,,,
OtherInvestments,,,,,,7459323.000,7492513.000,7499979.000,7521827.000,7494852.000,7457518.000,7433024.000,7472943.000,7444009.000,7419619.000,7756989.000,7802047.000
OtherLongTermDebt,,,,,,,,,1250000.000,1250000.000,1250000.000,,,,,,
OtherNotesPayableCurrent,,,,,,,,,,,235000.000,265000.000,,,,96570.000,96570.000
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
PreferredStockSharesOutstanding,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
PrepaidExpenseCurrent,,,,,,1539142.000,94168.000,508905.000,371476.000,1236103.000,1097886.000,743738.000,355571.000,1059564.000,902039.000,680813.000,633888.000
PrepaidExpenseCurrentAndNoncurrent,,30000.000,30000.000,30000.000,30000.000,1539142.000,30000.000,30000.000,,,,,,,,,
PropertyPlantAndEquipmentNet,,,,,,51269.000,65241.000,159559.000,320224.000,355117.000,329496.000,310576.000,298726.000,292110.000,273435.000,254761.000,243952.000
RetainedEarningsAccumulatedDeficit,,,,,,,,,-12566575.000,-13286156.000,-15617179.000,-17052797.000,17738528.000,-19189898.000,-19882797.000,-25822515.000,-26334039.000
SecurityDeposit,,,,,,18000.000,18000.000,22278.000,23243.000,25243.000,25243.000,18965.000,18965.000,17994.000,16305.000,16305.000,16305.000
StockholdersEquity,-78965.000,-55165.000,-64507.000,-88309.000,95378.000,6543333.000,4995474.000,5864024.000,4839020.000,5528708.000,4689489.000,4144284.000,6197642.000,6638079.000,6391999.000,5341905.000,5169602.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-78965.000,-55165.000,-64508.000,-88309.000,95378.000,6543333.000,4995474.000,5864024.000,4663054.000,5264522.000,4271059.000,3691826.000,5746948.000,6078159.000,5717321.000,5341905.000,5169602.000
