,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdministrativeFeesAmountPaid,,,,271000.000,311000.000,,357000.000,357000.000,364000.000,,,,,,,,,,,,,,
AdministrativeFeesExpense,,,,,,,,,,,384000.000,390000.000,393000.000,368000.000,366000.000,318000.000,282000.000,224000.000,215000.000,203000.000,216000.000,207000.000,212000.000
AmortizationOfDeferredLeasingFees,16000.000,24000.000,32000.000,31000.000,34000.000,36000.000,36000.000,40000.000,38000.000,33000.000,31000.000,31000.000,25000.000,23000.000,22000.000,19000.000,15000.000,11000.000,7000.000,6000.000,5000.000,5000.000,4000.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,50000.000,,,,21000.000
AssetsFairValueAdjustment,,,,,,,,,,,,,,,,,,,,,,,68000.000
CapitalLeasesIncomeStatementDirectFinancingLeaseRevenue,1000.000,2000.000,22000.000,24000.000,23000.000,22000.000,19000.000,20000.000,22000.000,20000.000,16000.000,15000.000,14000.000,11000.000,9000.000,6000.000,3000.000,5000.000,6000.000,5000.000,4000.000,4000.000,4000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,1270000.000,-1774000.000,-3951000.000,-7047000.000,-7721000.000,3850000.000,-5950000.000,2115000.000,3982000.000,-6495000.000,1886000.000,719000.000,-1182000.000,2133000.000,-849000.000,-821000.000,-1244000.000,-915000.000,-199000.000,-992000.000,-1085000.000,4098000.000,-747000.000
CostOfPropertyRepairsAndMaintenance,104000.000,111000.000,134000.000,115000.000,124000.000,190000.000,175000.000,317000.000,133000.000,133000.000,116000.000,166000.000,73000.000,90000.000,66000.000,112000.000,73000.000,65000.000,108000.000,102000.000,50000.000,75000.000,117000.000
CostsAndExpenses,,,,,,,,,,,,,,,,,2702000.000,,2301000.000,2101000.000,2040000.000,2101000.000,1754000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,40000.000,51000.000,57000.000,54000.000,41000.000,38000.000,53000.000,51000.000,43000.000,42000.000,49000.000,50000.000,50000.000,46000.000,46000.000,38000.000,24000.000,27000.000,31000.000,24000.000,42000.000,,27000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsDeclared,,,,,,,,,,,,,,,1887000.000,,1882000.000,,1880000.000,1879000.000,1871000.000,1867000.000,1859000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsPaidPerUnit,,,,,,,,,,,0.230,0.230,0.230,,,,0.220,,0.220,0.220,0.220,0.240,0.220
DistributionMadeToMemberOrLimitedPartnerDistributionsPaidPerUnit,,,0.230,0.220,0.220,0.230,0.230,0.220,0.230,,,,,,,,,,,,,,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,,,,,,,,,,,88000.000,,,,,,,,
GainLossOnDispositionOfAssets,,,,,,,,,0.000,,,0.000,869000.000,,0.000,0.000,0.000,0.000,0.000,0.000,61000.000,0.000,
GainLossOnSaleOfDerivatives,,,,,,,,,137000.000,,,,22000.000,,,8000.000,,,0.000,0.000,0.000,,0.000
GainLossOnSaleOfSecuritiesNet,34000.000,-2000.000,,,,,,,137000.000,,6000.000,51000.000,22000.000,0.000,,8000.000,,,,,61000.000,,
ImpairedFinancingReceivableAverageRecordedInvestment,,,,,,,,,,,,,,,109000.000,,,,95000.000,,,,68000.000
ImpairedFinancingReceivableWithRelatedAllowanceAverageRecordedInvestment,,,,,,,,,,,,,,,109000.000,,,,95000.000,,,,68000.000
ImpairmentOfInvestments,,,,,,,,,0.000,,,,,,44000.000,,,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,7000.000,-4000.000,-9000.000,-1000.000,-2000.000,3000.000,-2000.000,27000.000,-32000.000,2000.000,-3000.000,3000.000,,,-14000.000,48000.000,-26000.000,1000.000,-9000.000,1000.000,-3000.000,104000.000,-103000.000
IncreaseDecreaseInAccountsReceivable,155000.000,-21000.000,70000.000,-26000.000,26000.000,-122000.000,23000.000,-31000.000,-59000.000,124000.000,,40000.000,-112000.000,,4000.000,-7000.000,-20000.000,7000.000,37000.000,-98000.000,96000.000,260000.000,-390000.000
IncreaseDecreaseInDeferredRevenue,45000.000,143000.000,-21000.000,48000.000,-6000.000,22000.000,10000.000,94000.000,7000.000,-34000.000,-128000.000,177000.000,3000.000,77000.000,38000.000,-53000.000,-119000.000,-139000.000,20000.000,-87000.000,-44000.000,29000.000,-22000.000
