,2011-06-30,2011-09-30,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,,,,18245.000,254.000,,,,,,,,,,
AccountsPayableCurrentAndNoncurrent,,253.000,212.000,4508.000,4570.000,9446.000,415.000,18809.000,19152.000,275.000,27293.000,,,319.000,,,,2664.000,2251.000,162.000,196.000,89.000,97.000
AccountsReceivableNet,,,,,,,,,,,,,,,,,,22731.000,20526.000,21066.000,20756.000,24550.000,33691.000
Assets,9077124.000,9849879.000,10446989.000,11967433.000,13098742.000,14017020.000,14337730.000,14546575.000,15236404.000,16120001.000,17039335.000,18518358.000,19422844.000,20801591.000,22734138.000,24313007.000,26028558.000,29455315.000,32849343.000,35202119.000,38925800.000,42665846.000,46808795.000
CapitalUnits,,,,,,,,,,15660726.000,16347042.000,17743113.000,18678940.000,19544272.000,22075476.000,22910710.000,26449441.000,30171527.000,32717254.000,35849934.000,38806731.000,,
CapitalUnitsAuthorized,,,,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,,150000000.000,150000000.000,150000000.000,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,2463144.000,1616295.000,2099328.000,5725007.000,3707255.000,1964536.000,925019.000,3308682.000,1250594.000,1176630.000,1823756.000,872995.000,1509197.000,1264314.000,1134172.000,1842881.000,3023359.000,1808839.000,2910835.000,3889716.000,4095647.000,2194854.000,2968251.000
ContractualObligation,,,,,,,,,,,,,,,,,,0.000,,,,,
DueFromAffiliates,,,,,,,20089.000,7809.000,804.000,15037.000,,34459.000,,77347.000,,,,,,3541.000,,,
DueToAffiliateCurrentAndNoncurrent,11772.000,,,,,,20059.000,12465.000,270.000,15650.000,,,,,,,,,,,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,1432900.000,1634400.000,1675000.000,1820000.000,1900000.000,1920000.000,1966000.000,1985000.000,,,,,,,,,,,,
FinancingReceivableRecordedInvestmentNonaccrualStatus,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ImpairedFinancingReceivableRecordedInvestment,,,,,156006.000,,,,,,,,,,,,,,,,,,
ImpairedFinancingReceivableWithNoRelatedAllowanceRecordedInvestment,,,,,156006.000,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
InterestPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,0.000,0.000,,,,
