,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,52685000.000,59639000.000,56100000.000,68600000.000,49300000.000,54600000.000,57300000.000,70400000.000,51700000.000,53100000.000,53900000.000,41600000.000,34400000.000,35200000.000,45000000.000,56600000.000
AccountsPayableCurrent,106981000.000,105311000.000,85400000.000,106600000.000,107600000.000,106000000.000,82500000.000,98400000.000,104100000.000,91800000.000,71000000.000,68900000.000,87400000.000,79600000.000,88900000.000,105200000.000
AccountsReceivableNetCurrent,203340000.000,198473000.000,171800000.000,214900000.000,195600000.000,194100000.000,152300000.000,191900000.000,164800000.000,154500000.000,119600000.000,142800000.000,138000000.000,146700000.000,134000000.000,196000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,1097000.000,1371000.000,1600000.000,1000000.000,700000.000,1300000.000,1700000.000,1600000.000,1500000.000,1300000.000,1300000.000,1200000.000,1200000.000,1100000.000,1300000.000,1200000.000
AccruedInsuranceCurrent,2150000.000,2358000.000,2400000.000,2300000.000,2300000.000,2200000.000,2500000.000,2400000.000,2800000.000,2900000.000,2600000.000,2600000.000,2600000.000,2700000.000,3100000.000,2900000.000
AccruedProfessionalFeesCurrent,870000.000,1826000.000,2700000.000,1700000.000,1600000.000,2700000.000,2100000.000,2300000.000,1900000.000,2500000.000,2500000.000,2600000.000,2500000.000,2000000.000,1800000.000,1500000.000
AccruedUtilitiesCurrent,1607000.000,1877000.000,1600000.000,2500000.000,2200000.000,1700000.000,1500000.000,1800000.000,1900000.000,1800000.000,1600000.000,1800000.000,1800000.000,1600000.000,2000000.000,2800000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,24600000.000,,,,35100000.000,,41300000.000,44300000.000,47700000.000,51100000.000,54600000.000,58200000.000,61300000.000,65600000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,587000.000,761000.000,500000.000,400000.000,400000.000,300000.000,-600000.000,-800000.000,-1000000.000,-1900000.000,-2300000.000,-2400000.000,-2800000.000,-3000000.000,-4100000.000,-3400000.000
AdditionalPaidInCapitalCommonStock,29452000.000,30260000.000,30500000.000,31000000.000,32400000.000,32100000.000,32500000.000,33200000.000,34600000.000,35800000.000,36900000.000,38100000.000,40000000.000,42600000.000,45000000.000,48700000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1328000.000,1506000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000,1500000.000,1300000.000,1200000.000,600000.000,500000.000,500000.000,500000.000,800000.000
Assets,602202000.000,592515000.000,548700000.000,618100000.000,598900000.000,612500000.000,576500000.000,620900000.000,615800000.000,598600000.000,557200000.000,527600000.000,547600000.000,559900000.000,582600000.000,623100000.000
AssetsCurrent,495898000.000,484677000.000,432200000.000,498600000.000,472300000.000,487700000.000,450500000.000,497000000.000,493000000.000,475200000.000,399200000.000,369400000.000,385400000.000,391600000.000,409600000.000,450000000.000
AssetsFairValueDisclosure,458000.000,5000.000,900000.000,600000.000,500000.000,700000.000,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,2025000.000,1973000.000,1900000.000,,,,,,,,,,,,,
CapitalLeaseObligations,,,,,6000000.000,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,,,,700000.000,1000000.000,1000000.000,1000000.000,1000000.000,1100000.000,1100000.000,1100000.000,1200000.000,,1300000.000,
CapitalLeaseObligationsNoncurrent,,,,,,,4800000.000,,,,3700000.000,,,,2400000.000,
CapitalLeasedAssetsGross,,,,,,,6000000.000,,,,6000000.000,,,,6000000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,7000000.000,,,,5600000.000,,,,4100000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,,1400000.000,,,,1500000.000,,,,1500000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,,1000000.000,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,1600000.000,,,,1000000.000,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,1500000.000,,,,1600000.000,,,,1000000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,1500000.000,,,,1500000.000,,,,1600000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,1200000.000,,,,800000.000,,,,400000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,5800000.000,,,,4800000.000,,,,3700000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,700000.000,,,,1800000.000,,,,3000000.000,
CashAndCashEquivalentsAtCarryingValue,34010000.000,18088000.000,10800000.000,16900000.000,19400000.000,17400000.000,44600000.000,52100000.000,78400000.000,73500000.000,83500000.000,48700000.000,58900000.000,55400000.000,88200000.000,66900000.000
CollateralAlreadyPostedAggregateFairValue,267000.000,1504000.000,,,,,,,,,,,,,,
CommodityContractAssetCurrent,458000.000,5000.000,900000.000,600000.000,500000.000,700000.000,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000
CommonStockSharesIssued,21110000.000,21110000.000,21300000.000,21300000.000,21344207.000,21369407.000,21369407.000,21513021.000,21553828.000,21553883.000,21553883.000,21553883.000,21671497.000,21694186.000,21712216.000,22108381.000
CommonStockSharesOutstanding,21110000.000,21110000.000,21300000.000,21300000.000,21344207.000,,,,,,21507154.000,21489645.000,21592348.000,21615037.000,21633067.000,21889894.000
CommonStockValue,211000.000,211000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000,200000.000
DebtCurrent,,,,,,,,,,,,,,4400000.000,,4500000.000
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,,,,,,,,,,,,,,,6900000.000,
