,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,4000000.000,,,,3000000.000,,,,2000000.000
AmortizationOfDebtDiscountPremium,2000000.000,,,,,,,,
AmortizationOfFinancingCosts,1000000.000,,,,,,,,
AmortizationOfIntangibleAssets,,,,,12000000.000,,,,12000000.000
CapitalExpendituresIncurredButNotYetPaid,10000000.000,,,,18000000.000,,,,3000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,43000000.000,,,,61000000.000,,,,56000000.000
CasinoExpenses,139000000.000,147000000.000,142000000.000,140000000.000,140000000.000,142000000.000,144000000.000,141000000.000,146000000.000
CasinoRevenue,283000000.000,299000000.000,281000000.000,267000000.000,272000000.000,287000000.000,289000000.000,278000000.000,280000000.000
DepreciationAndAmortization,49000000.000,49000000.000,53000000.000,63000000.000,75000000.000,62000000.000,63000000.000,65000000.000,57000000.000
EffectiveIncomeTaxRateContinuingOperations,0.400,0.379,0.000,-0.362,0.273,0.333,0.000,-0.229,0.500
FoodAndBeverageCostOfSales,62000000.000,67000000.000,68000000.000,64000000.000,62000000.000,69000000.000,68000000.000,63000000.000,62000000.000
FoodAndBeverageRevenue,132000000.000,137000000.000,137000000.000,132000000.000,134000000.000,136000000.000,134000000.000,120000000.000,127000000.000
GoodwillImpairmentLoss,0.000,,0.000,,,,,,
ImpairmentOfIntangibleAssetsExcludingGoodwill,0.000,,,,,,,,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,0.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,5000000.000,29000000.000,0.000,-22000000.000,-22000000.000,12000000.000,6000000.000,-134000000.000,12000000.000
IncomeTaxExpenseBenefit,2000000.000,11000000.000,0.000,-8000000.000,-6000000.000,4000000.000,0.000,-50000000.000,6000000.000
InterestExpense,101000000.000,98000000.000,98000000.000,102000000.000,100000000.000,99000000.000,98000000.000,99000000.000,98000000.000
InterestPaid,48000000.000,,,,48000000.000,,,,44000000.000
InterestPaidCapitalized,1000000.000,,,,0.000,0.000,0.000,,
InterestPaidNet,101000000.000,,,,,,,,
MinorityInterestPeriodIncreaseDecrease,2000000.000,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,-43000000.000,,,,-12000000.000,,,,-48000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-43000000.000,,,,-12000000.000,,,,-48000000.000
NetCashProvidedByUsedInInvestingActivities,-32000000.000,,,,-29000000.000,,,,-31000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-32000000.000,,,,-29000000.000,,,,-31000000.000
NetCashProvidedByUsedInOperatingActivities,118000000.000,,,,102000000.000,,,,135000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,118000000.000,,,,102000000.000,,,,135000000.000
NetIncomeLoss,,,,,,,,,6000000.000
OccupancyCosts,33000000.000,36000000.000,37000000.000,34000000.000,37000000.000,39000000.000,42000000.000,38000000.000,40000000.000
OccupancyRevenue,129000000.000,138000000.000,138000000.000,132000000.000,136000000.000,144000000.000,147000000.000,135000000.000,150000000.000
OperatingExpenses,422000000.000,439000000.000,444000000.000,438000000.000,450000000.000,451000000.000,465000000.000,440000000.000,436000000.000
OperatingIncomeLoss,106000000.000,127000000.000,98000000.000,80000000.000,78000000.000,111000000.000,104000000.000,96000000.000,110000000.000
OtherSalesRevenueNet,72000000.000,78000000.000,73000000.000,74000000.000,73000000.000,79000000.000,83000000.000,90000000.000,77000000.000
OtherSignificantNoncashTransactionValueOfConsiderationReceived1,,,,,15000000.000,,,,36000000.000
PaymentsForProceedsFromOtherInvestingActivities,-2000000.000,,,,1000000.000,,,,0.000
PaymentsOfDebtIssuanceCosts,0.000,,,,,,,,
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,,,,,1000000.000,,,,0.000
PaymentsToAcquirePropertyPlantAndEquipment,34000000.000,,,,27000000.000,,,,31000000.000
ProceedsFromIssuanceOfLongTermDebt,,,,,40000000.000,,,,0.000
ProceedsFromLongTermLinesOfCredit,35000000.000,,,,,,,,
ProceedsFromMinorityShareholders,2000000.000,,,,,,,,
ProfitLoss,3000000.000,18000000.000,0.000,-14000000.000,-16000000.000,8000000.000,6000000.000,-84000000.000,6000000.000
PromotionalAllowances,88000000.000,86000000.000,87000000.000,87000000.000,87000000.000,84000000.000,84000000.000,87000000.000,88000000.000
RepaymentsOfLongTermDebt,,,,,52000000.000,,,,48000000.000
RepaymentsOfLongTermLinesOfCredit,80000000.000,,,,,,,,
Revenues,528000000.000,566000000.000,542000000.000,518000000.000,528000000.000,562000000.000,569000000.000,536000000.000,546000000.000
SalesRevenueNet,528000000.000,566000000.000,542000000.000,518000000.000,528000000.000,562000000.000,569000000.000,536000000.000,546000000.000
SellingGeneralAndAdministrativeExpense,125000000.000,129000000.000,134000000.000,125000000.000,125000000.000,128000000.000,137000000.000,123000000.000,121000000.000
StockholdersEquityOther,23000000.000,,,,-15000000.000,,,,-36000000.000
