,2011-12-31,2012-12-31,2013-12-31
AllocatedShareBasedCompensationExpense,3845000.000,4427000.000,4159000.000
AmortizationOfFinancingCosts,5779000.000,5824000.000,7306000.000
AmortizationOfIntangibleAssets,,17500000.000,30500000.000
AssetImpairmentCharges,,124845000.000,
AssetRetirementObligationAccretionExpense,171000.000,183000.000,196000.000
BusinessAcquisitionsProFormaNetIncomeLoss,97170000.000,,
BusinessAcquisitionsProFormaRevenue,1160828000.000,,
BusinessCombinationAcquisitionRelatedCosts,,14049000.000,8138000.000
BusinessCombinationConsiderationTransferred1,,,2400000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-7324000.000,6073000.000,-7415000.000
ComprehensiveIncomeNetOfTax,96677000.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-71365000.000,12994000.000
CostOfPurchasedOilAndGas,817937000.000,630345000.000,666239000.000
CostsAndExpenses,1006404000.000,1012351000.000,984803000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,-5779000.000,5824000.000,
DepreciationDepletionAndAmortization,89376000.000,127344000.000,187941000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,700000.000,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,300000.000,,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,700000.000,,
DerivativeInstrumentsLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,300000.000,700000.000,700000.000
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,214442000.000
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,135296000.000,176256000.000,
DistributionMadeToMemberOrLimitedPartnerShareDistributionDilutionPerShare,0.510,,
EarningsPerShareBasicAndDiluted,,,-0.830
EnvironmentalExpenseAndLiabilities,800000.000,,
EquityMethodInvestmentDividendsOrDistributions,14000000.000,8800000.000,7900000.000
EquityMethodInvestmentSummarizedFinancialInformationCostOfSales,35767000.000,38463000.000,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,22423000.000,20798000.000,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,58190000.000,59261000.000,
FiniteLivedIntangibleAssetsAmortizationExpense,6300000.000,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,70665000.000,,
FiniteLivedIntangibleAssetsUsefulLifeMaximum,15.000,,
FiniteLivedIntangibleAssetsUsefulLifeMinimum,12.000,,
FutureAmortizationExpenseAfterYearFive,43742000.000,,
FutureAmortizationExpenseYearFive,5127000.000,,
FutureAmortizationExpenseYearFour,5233000.000,,
FutureAmortizationExpenseYearOne,5718000.000,,
FutureAmortizationExpenseYearThree,5346000.000,,
FutureAmortizationExpenseYearTwo,5499000.000,,
GainLossOnDerivativeInstrumentsNetPretax,-13442000.000,2291000.000,-1070000.000
GainLossOnSaleOfEquityInvestments,,,14300000.000
GainsLossesOnExtinguishmentOfDebt,,,-13703000.000
GainsLossesOnSalesOfAssets,,31292000.000,14302000.000
GeneralAndAdministrativeExpense,41480000.000,47452000.000,54508000.000
IncomeLossFromEquityMethodInvestments,5500000.000,-2500000.000,14500000.000
IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,-8460000.000,-11308000.000,-7642000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,6011000.000,10082000.000,2936000.000
IncreaseDecreaseInAccountsReceivable,3536000.000,28892000.000,14989000.000
IncreaseDecreaseInDeferredRevenue,-694000.000,5092000.000,253000.000
IncreaseDecreaseInOtherOperatingCapitalNet,2023000.000,-746000.000,1041000.000
InterestCostsCapitalized,3342000.000,14082000.000,12800000.000
InterestExpense,44287000.000,68773000.000,106248000.000
InterestExpenseBorrowings,-15352000.000,18474000.000,
InterestPaid,48780000.000,75650000.000,109386000.000
LeaseAndRentalExpense,10800000.000,13000000.000,12900000.000
LimitedPartnersCapitalAccountDistributionAmount,135296000.000,176256000.000,214442000.000
LineOfCreditFacilityInterestRateDuringPeriod,0.027,0.034,0.033
NaturalGasMidstreamCosts,,630345000.000,666239000.000
NaturalGasMidstreamRevenue,965211000.000,315242000.000,374226000.000
NetCashProvidedByUsedInFinancingActivities,176573000.000,1196986000.000,147602000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,176573000.000,1196986000.000,147602000.000
NetCashProvidedByUsedInInvestingActivities,-374227000.000,-1336174000.000,-358463000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-374227000.000,-1336174000.000,-358463000.000
NetCashProvidedByUsedInOperatingActivities,190330000.000,145261000.000,203446000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,190330000.000,145261000.000,203446000.000
NetIncomeLoss,97007000.000,-70622000.000,12994000.000
NetIncomeLossAllocatedToLimitedPartners,96297000.000,-123203000.000,-82357000.000
NetIncomeLossAttributableToNoncontrollingInterest,-664000.000,,
NetIncomeLossPerOutstandingLimitedPartnershipUnit,1.450,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitDiluted,1.450,,
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,4827000.000,
NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,2434000.000,33499000.000,
OperatingExpenses,,115768000.000,122485000.000
OperatingIncomeLoss,153571000.000,-4597000.000,132683000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,-743000.000,
OtherComprehensiveIncomeOtherNetOfTax,334000.000,-743000.000,
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,-334000.000,,
OtherCostAndExpenseOperating,57611000.000,68316000.000,67977000.000
OtherNoncashIncomeExpense,985000.000,1032000.000,3460000.000
OtherNonoperatingIncomeExpense,501000.000,457000.000,1332000.000
OtherSalesRevenueNet,31849000.000,53008000.000,37602000.000
ParticipatingSecuritiesDistributedAndUndistributedEarnings,-300000.000,29716000.000,51961000.000
PartnersCapitalAccountDistributions,-135296000.000,,
PartnersCapitalAccountPrivatePlacementOfUnits,,177700000.000,177700000.000
PartnersCapitalAccountPublicSaleOfUnits,-189164000.000,,138000000.000
PartnersCapitalAccountSaleOfUnits,,934650000.000,138044000.000
PartnersCapitalAccountUnitBasedCompensation,7750000.000,3694000.000,3142000.000
PartnersCapitalAccountUnitsSoldInPrivatePlacement,,,9000000.000
PartnersCapitalOther,,-8000.000,-621000.000
PaymentsForProceedsFromOtherInvestingActivities,-2375000.000,-1286000.000,-2530000.000
PaymentsOfDebtExtinguishmentCosts,,,138070000.000
PaymentsOfDebtIssuanceCosts,3675000.000,19206000.000,9772000.000
PaymentsOfMergerRelatedCostsFinancingActivities,6620000.000,,
PaymentsToAcquireInterestInJointVenture,5300000.000,37200000.000,15800000.000
PaymentsToAcquireOtherProductiveAssets,146003000.000,850156000.000,2334000.000
PaymentsToAcquirePropertyPlantAndEquipment,230599000.000,512375000.000,413451000.000
ProceedsFromIssuanceOfUnsecuredDebt,,600000000.000,400000000.000
ProceedsFromIssuanceOrSaleOfEquity,,743448000.000,138044000.000
ProceedsFromLongTermLinesOfCredit,345500000.000,574000000.000,610000000.000
ProceedsFromPaymentsForOtherFinancingActivities,,,-658000.000
ProceedsFromSaleOfProductiveAssets,,62271000.000,70592000.000
ProfitLoss,96343000.000,-70622000.000,12994000.000
PropertyPlantAndEquipmentAdditions,376602000.000,1362531000.000,415785000.000
RepaymentsOfLongTermLinesOfCredit,212500000.000,525000000.000,637500000.000
Revenues,1159975000.000,1007754000.000,1117486000.000
RoyaltyRevenueFromCoal,162915000.000,114133000.000,88075000.000
SalesRevenueNet,1159975000.000,1007754000.000,1117486000.000
ShareBasedCompensation,3845000.000,4428000.000,4159000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,2176.000,16020.000,21811.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,25.230,24.350,25.240
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedTerm,2.600,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,0.545,0.340,0.282
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.008,0.004,0.003
SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,,,9200000.000
StockIssued1,,191302000.000,
UndistributedEarningsAllocatedToParticipatingSecurities,-410000.000,-23102000.000,-26619000.000
UnrealizedGainLossOnInterestRateCashFlowHedgesPretaxAccumulatedOtherComprehensiveIncomeLoss,700000.000,,
WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted,66342000.000,,
WriteOffOfDeferredDebtIssuanceCost,,,3033000.000
