,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,600.000,2400.000,1696.000,,0.000,,,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,,,303.000,3984.000,105.000,1052.000,5100.000,37985.000,49656.000,40124.000,49704.000,43888.000,31560.000,37469.000,73583.000,100544.000,76471.000,87339.000,148777.000,98901.000,600.000
AccountsReceivableNetCurrent,,,,,,,,,,,51334.000,9799.000,4898.000,70277.000,98977.000,86104.000,164600.000,179033.000,258235.000,206524.000,190291.000,122453.000,71020.000,
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,18130.000,44442.000,44442.000
AccruedLiabilitiesCurrent,,,,,,2400.000,600.000,750.000,750.000,,71284.000,49906.000,55919.000,35930.000,40002.000,41790.000,52740.000,50238.000,24774.000,24821.000,39002.000,40433.000,19698.000,
AccruedPayrollTaxesCurrentAndNoncurrent,,,,,,,,,,,68083.000,46538.000,50538.000,29750.000,34271.000,36060.000,39359.000,44500.000,,18130.000,18130.000,18130.000,18130.000,18130.000
AdditionalPaidInCapital,19980.000,19980.000,19980.000,19980.000,19980.000,19980.000,19980.000,19980.000,600.000,9515.000,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,43983.000,33355.000,30997.000,32578.000,32578.000,33158.000,0.000
Assets,13072.000,10606.000,8206.000,4925.000,2423.000,53.000,602.000,559.000,2958.000,0.000,75617.000,30173.000,31373.000,105248.000,143510.000,99393.000,175349.000,191475.000,276195.000,221321.000,207611.000,139010.000,86814.000,0.000
AssetsCurrent,13072.000,10606.000,8206.000,4925.000,2423.000,53.000,602.000,559.000,2958.000,,63343.000,18467.000,18151.000,92465.000,131474.000,88104.000,164600.000,179033.000,260635.000,206524.000,190291.000,122453.000,71020.000,
BankOverdrafts,,,,,,,,,,,,,,,,13942.000,10739.000,1701.000,6958.000,6855.000,296.000,15153.000,1595.000,
BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,,,,,,,,,,1.000,,,,,,,,,,,,,,
Capital,,,,,,,,,,5100.000,,,,,,,,,,,,,,
Cash,,,,,,,,,,,,,,,13798.000,13798.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,13072.000,10606.000,8206.000,4925.000,2423.000,53.000,602.000,559.000,2958.000,,9932.000,6591.000,13253.000,22188.000,30748.000,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,10200000.000,10200000.000,10200000.000,10200000.000,10200000.000,10200000.000,10200000.000,204000000.000,204000000.000,204000000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000
CommonStockSharesOutstanding,10200000.000,10200000.000,10200000.000,10200000.000,10200000.000,10200000.000,10200000.000,204000000.000,204000000.000,204000000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,206500000.000,204000000.000
CommonStockValue,,,,,,,,,,,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20650.000,20400.000
CommonStockValueOutstanding,1020.000,1020.000,1020.000,1020.000,1020.000,1020.000,1020.000,1020.000,20400.000,20400.000,,,,,,,,,,,,,,
CustomerDepositsCurrent,,,,,,,,,,,4700.000,10400.000,9300.000,9300.000,,,,3220.000,520.000,220.000,220.000,1220.000,1220.000,
DebtInstrumentCarryingAmount,,,,,,,,,,,,,,,,,,,,,,49076.000,,
DebtInstrumentFaceAmount,,,,,,1000.000,,,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,0.050,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,,,,,,,,,,,,,,-34343.000,,
DeferredRevenue,,,,,,,,,,,,,,,95000.000,71250.000,47500.000,23750.000,,,,,,
DeferredTaxAssetsGross,,,,,,,,,,11905.000,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,8400.000,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNetCurrent,,,,,,,,,,,,,,199364.000,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,,199364.000,,,,166475.000,,,,250550.000,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,,,,,-199364.000,,,,-166475.000,,,,250550.000,,
DepositLiabilitiesAccruedInterest,,,,,,,,,,,71237.000,74348.000,77673.000,66585.000,69910.000,73235.000,76560.000,12419.000,13987.000,15556.000,17125.000,18695.000,20263.000,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,8528.000,12794.000,14490.000,16075.000,18577.000,24650.000,26982.000,28296.000,29844.000,35015.000,,,,,,,,,,,,,,
DueToRelatedPartiesCurrent,,,,,,,,,,,10022.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,600.000,600.000,600.000,64600.000,81935.000,
FederalHomeLoanBankAdvancesMaturitiesSummaryDueWithinOneYearOfBalanceSheetDate,,,,,,,,,,,,,,,,,500.000,500.000,600.000,600.000,600.000,64600.000,81935.000,0.000
FederalHomeLoanBankAdvancesShortTerm,,,,,,,,,,,,,,,500.000,500.000,,,,,,,,
Liabilities,600.000,2400.000,1696.000,,0.000,3703.000,6584.000,7855.000,11802.000,5100.000,723846.000,714947.000,713653.000,670963.000,756071.000,735225.000,727040.000,660458.000,642146.000,617061.000,734461.000,855272.000,765698.000,133600.000
LiabilitiesAndStockholdersEquity,13072.000,10606.000,8206.000,4925.000,2423.000,53.000,602.000,559.000,2958.000,0.000,75617.000,30173.000,31373.000,105248.000,143510.000,99393.000,175349.000,191475.000,276195.000,221321.000,207611.000,139010.000,86814.000,0.000
LiabilitiesCurrent,,,,,,,,,,5100.000,723846.000,714947.000,713653.000,670963.000,756071.000,735225.000,594040.000,534958.000,516646.000,617061.000,721189.000,855272.000,765698.000,133600.000
LongTermNotesPayable,,,,,,,,,,,,,,,,,133000.000,125500.000,125500.000,,13272.000,,,
MortgageLoansOnRealEstateFaceAmountOfMortgages,,,,,,,,,,,,,,,,,,,,,,109699.000,,
NotesAndLoansPayableCurrent,,,,,,,,,,,,,,,,,,,,,266954.000,,203925.000,133000.000
NotesPayable,,,,,,,,,,,131480.000,133000.000,133000.000,133000.000,133000.000,133000.000,133000.000,125500.000,125500.000,125500.000,,200856.000,179138.000,133000.000
NotesPayableCurrent,,,,,,1000.000,2000.000,7000.000,10000.000,0.000,131480.000,133000.000,133000.000,133000.000,133000.000,133000.000,,,,125500.000,209783.000,200856.000,179138.000,133000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,,,,,,,,,,69480.000,62252.000,73506.000,100514.000,90623.000,111256.000,,59753.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,,,,,,,,,,,25219.000,25219.000,33827.000,6150.000,6150.000,6150.000,,6150.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,,,,,,,,,,29693.000,29693.000,39680.000,12300.000,12300.000,24900.000,,12300.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,,,,,,,,,,14568.000,7340.000,,46126.000,46126.000,62926.000,,41303.000,
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,,,,,,,,,,,,,,,,35938.000,26047.000,17280.000,,,
OperatingLossCarryforwards,,,,,,24650.000,,,,,,,,,,,,,,,,,,
OperatingLossCarryforwardsValuationAllowance,,,,,,,,,,35015.000,,,,,,,,468983.000,,,,,,
OtherAssetsCurrent,,,,,,,,,,,2077.000,2077.000,,,,,,,,,,,,
OtherNotesPayable,,,,,,,,,,,,,,,,,,,,,,,125500.000,
PayablesToCustomers,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,
PrepaidExpenseCurrent,,,,,,,,,,,,,,,1749.000,2000.000,,,2400.000,,,,,
PropertyPlantAndEquipmentNet,,,,,,,,,,,6004.000,5436.000,6952.000,6513.000,5766.000,5019.000,4479.000,6172.000,8090.000,7327.000,6564.000,5801.000,5038.000,
PurchaseCommitmentRemainingMinimumAmountCommitted,,,,,,,,,,,397137.000,397137.000,397137.000,375943.000,373771.000,369948.000,368532.000,369547.000,369263.000,367038.000,366824.000,365538.000,362948.000,0.000
RetainedEarningsAccumulatedDeficit,,,,,,,,,,,-668879.000,-705424.000,-702930.000,-586365.000,-633211.000,-656482.000,-572341.000,-489633.000,-386601.000,-416390.000,-547500.000,-736912.000,-699534.000,-154250.000
SecurityDeposit,,,,,,,,,,,6270.000,6270.000,6270.000,6270.000,6270.000,6270.000,6270.000,6270.000,7470.000,7470.000,10756.000,10756.000,10756.000,
StockholdersEquity,12472.000,8206.000,6510.000,4925.000,2423.000,-3650.000,-5982.000,-7296.000,-8844.000,-5100.000,-648229.000,-684774.000,-682280.000,-565715.000,-612561.000,-635832.000,-551691.000,-468983.000,-365951.000,-395740.000,-526850.000,-716262.000,-678884.000,-133600.000
