,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AmortizationOfAcquiredIntangibleAssets,,,5000000.000,,,
AmortizationOfIntangibleAssets,21600000.000,24500000.000,,10000000.000,10000000.000,10000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,10000000.000,4700000.000,800000.000,13100000.000
AssetImpairmentCharges,,,55100000.000,,,
AssetRetirementObligationAccretionExpense,1100000.000,1100000.000,1100000.000,900000.000,600000.000,700000.000
AssetRetirementObligationLiabilitiesIncurred,700000.000,0.000,600000.000,0.000,,
AssetRetirementObligationLiabilitiesSettled,1600000.000,600000.000,800000.000,2200000.000,800000.000,2000000.000
AssetRetirementObligationRevisionOfEstimate,-600000.000,-300000.000,13800000.000,-1000000.000,-200000.000,-400000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,35400000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-51700000.000,-76000000.000,722200000.000,-757300000.000,-119700000.000,79800000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,-2100000.000,-2200000.000,-6300000.000,5300000.000,-23600000.000,-2700000.000
CommonStockDividendsPerShareCashPaid,0.720,0.720,0.720,0.720,0.620,0.240
ComprehensiveIncomeNetOfTax,,70600000.000,470200000.000,-220800000.000,-461000000.000,-720100000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,11300000.000,11000000.000,10100000.000,6400000.000,4100000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-47600000.000,81900000.000,481200000.000,-210700000.000,-454600000.000,-716000000.000
CostOfGoodsSold,4369800000.000,4338300000.000,3790900000.000,3844800000.000,3659300000.000,2972100000.000
CurrentFederalTaxExpenseBenefit,44800000.000,85300000.000,-127500000.000,-47900000.000,-60700000.000,500000.000
CurrentForeignTaxExpenseBenefit,13300000.000,9200000.000,7900000.000,9800000.000,9400000.000,14400000.000
CurrentIncomeTaxExpenseBenefit,66200000.000,103700000.000,-129800000.000,-42100000.000,-51700000.000,13400000.000
CurrentStateAndLocalTaxExpenseBenefit,8100000.000,9200000.000,-10200000.000,-4000000.000,-400000.000,-1500000.000
DeferredFederalIncomeTaxExpenseBenefit,48400000.000,-27500000.000,62700000.000,34100000.000,-90900000.000,-115800000.000
DeferredForeignIncomeTaxExpenseBenefit,-700000.000,-100000.000,-1100000.000,-500000.000,100000.000,-1000000.000
DeferredIncomeTaxExpenseBenefit,50100000.000,-27500000.000,66200000.000,33400000.000,-60400000.000,-120300000.000
DeferredIncomeTaxesAndTaxCredits,52700000.000,-19400000.000,70100000.000,31700000.000,-118000000.000,-119800000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,2400000.000,100000.000,4600000.000,-200000.000,30400000.000,-3500000.000
DefinedBenefitPlanAmortizationOfNetGainsLosses,-119700000.000,-134100000.000,-88000000.000,,,
DefinedBenefitPlanAmortizationOfNetPriorServiceCostCredit,-11800000.000,-15200000.000,-700000.000,,,
DefinedBenefitPlanAmountToBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossNextFiscalYear,,,,81400000.000,81100000.000,70000000.000
DefinedBenefitPlanAmountsThatWillBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossInNextFiscalYear,107900000.000,118900000.000,87300000.000,,,
DefinedBenefitPlanFutureAmortizationOfGainLoss,,,,-75200000.000,-74900000.000,-71600000.000
DefinedBenefitPlanFutureAmortizationOfPriorServiceCostCredit,,,,6200000.000,6200000.000,-1600000.000
DefinedContributionPlanCostRecognized,,,,21900000.000,41200000.000,34500000.000
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,,0.030,0.030,
Depreciation,152800000.000,169500000.000,,,,
DepreciationDepletionAndAmortization,174400000.000,194000000.000,189900000.000,176800000.000,189900000.000,170300000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,414200000.000,-900000.000,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,161400000.000,-300000.000,0.000,0.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,268200000.000,14900000.000,,
DividendsCommonStockCash,74700000.000,76500000.000,76900000.000,77100000.000,66500000.000,25800000.000
EarningsPerShareBasic,2.090,1.490,1.440,-0.030,-3.530,-5.970
EarningsPerShareDiluted,1.970,1.430,1.440,-0.030,-3.530,-5.970
EffectOfLIFOInventoryLiquidationOnIncome,-100000.000,-1500000.000,-3800000.000,0.000,-9600000.000,-61500000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,0.350
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,1814100000.000,1802800000.000,1585100000.000,,,
EnvironmentalRemediationExpense,,,4200000.000,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,10800000.000,0.000,2600000.000,0.000,0.000,
FiniteLivedIntangibleAssetsAmortizationExpense,3300000.000,,,,,
FutureAmortizationExpenseYearFive,4900000.000,,,,,
FutureAmortizationExpenseYearFour,4900000.000,,,,,
FutureAmortizationExpenseYearOne,4900000.000,,,,,
FutureAmortizationExpenseYearThree,4900000.000,,,,,
FutureAmortizationExpenseYearTwo,4900000.000,,,,,
GainLossOnDispositionOfAssets1,,,,100000.000,0.000,1000000.000
GainLossOnSaleOfBusiness,,,428300000.000,0.000,0.000,
GainsLossesOnExtinguishmentOfDebt,0.000,,,,,
GoodwillImpairmentLoss,,,0.000,0.000,126600000.000,0.000
GoodwillPeriodIncreaseDecrease,,,,,-129000000.000,-9500000.000
GoodwillTranslationAdjustments,900000.000,2400000.000,600000.000,-2500000.000,2600000.000,
GrossProfit,,,,,,162500000.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,0.000,0.000,,
IncomeLossFromContinuingOperations,,,-98800000.000,-2000000.000,-377900000.000,-640900000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,280500000.000,188500000.000,-180000000.000,-46100000.000,-534600000.000,-782100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,-154800000.000,1500000.000,-478000000.000,-734000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,58900000.000,55500000.000,25200000.000,47600000.000,56600000.000,48100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,339400000.000,244000000.000,-154800000.000,1500000.000,-478000000.000,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,-91200000.000,10200000.000,-365900000.000,-627100000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,-0.930,-0.020,-3.530,-5.970
IncomeLossFromContinuingOperationsPerDilutedShare,,,-0.930,-0.020,-3.530,-5.970
IncomeLossFromDiscontinuedOperationsNetOfTax,,,252800000.000,-600000.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,252800000.000,-600000.000,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,2.370,-0.010,0.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,2.370,-0.010,0.000,0.000
IncomeTaxExpenseBenefit,116300000.000,76200000.000,97800000.000,-8700000.000,-112100000.000,-106900000.000
IncomeTaxExpenseBenefitContinuingOperations,,,-63600000.000,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,1200000.000,2200000.000,9100000.000,500000.000,74500000.000,171500000.000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities,3300000.000,7100000.000,0.000,0.000,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,-7600000.000,-10000000.000,-2500000.000,-6600000.000,-11200000.000,-5300000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,118800000.000,85400000.000,-54200000.000,500000.000,-167300000.000,-256900000.000
IncomeTaxReconciliationOtherReconcilingItems,1900000.000,1400000.000,1900000.000,-1000000.000,600000.000,2000000.000
IncomeTaxReconciliationPriorYearIncomeTaxes,-700000.000,-500000.000,-5300000.000,100000.000,-5400000.000,3400000.000
IncomeTaxReconciliationRepatriationOfForeignEarnings,,,9400000.000,300000.000,13400000.000,2100000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,7700000.000,5200000.000,-11800000.000,-2000000.000,-20600000.000,-26800000.000
IncomeTaxReconciliationTaxContingencies,-1700000.000,-400000.000,-10200000.000,-500000.000,3900000.000,3100000.000
IncomeTaxesPaid,49200000.000,101700000.000,21400000.000,15100000.000,10800000.000,8600000.000
IncomeTaxesPaidNet,8200000.000,85900000.000,3100000.000,-5100000.000,-52500000.000,-1900000.000
IncreaseDecreaseInAccountsPayableTrade,50000000.000,9200000.000,-7800000.000,82100000.000,-211300000.000,-51200000.000
IncreaseDecreaseInAccountsReceivable,78800000.000,-95800000.000,-41100000.000,70300000.000,-203300000.000,51800000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,42400000.000,9400000.000,-25500000.000,-37500000.000,55800000.000,9300000.000
IncreaseDecreaseInInventories,227300000.000,152300000.000,-146600000.000,143700000.000,-201200000.000,-234700000.000
IncreaseDecreaseInOtherOperatingCapitalNet,-40700000.000,-64100000.000,-77400000.000,-4100000.000,19000000.000,-600000.000
IncreaseDecreaseInPensionAndPostretirementObligations,19600000.000,58900000.000,70600000.000,3100000.000,14300000.000,-80000000.000
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,9600000.000,9600000.000,0.000,0.000,0.000,0.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,1800000.000,900000.000,0.000,0.000,0.000,0.000
InterestCostsCapitalized,12100000.000,24500000.000,45700000.000,5300000.000,2200000.000,4700000.000
InterestCostsIncurred,102800000.000,96500000.000,,,,
InterestExpenseDebt,93700000.000,72400000.000,66000000.000,109800000.000,111400000.000,125400000.000
InterestOnConvertibleDebtNetOfTax,9900000.000,8500000.000,0.000,0.000,0.000,0.000
