,2016-07-02,2016-10-01,2017-04-01
AllocatedShareBasedCompensationExpense,4881000.000,4762000.000,
AmortizationOfIntangibleAssets,39000000.000,40000000.000,39000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,10290392.000,,
BusinessExitCosts1,6535000.000,10006000.000,
CapitalLeaseObligationsIncurred,,,40840000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,20727000.000
ComprehensiveIncomeNetOfTax,-32269000.000,141047000.000,27473000.000
CostOfGoodsSold,4772721000.000,4808426000.000,4797117000.000
DeferredIncomeTaxExpenseBenefit,,,12280000.000
DefinedBenefitPlansEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,36000000.000
Depreciation,66000000.000,66000000.000,69000000.000
DepreciationAndAmortization,105139000.000,106038000.000,107758000.000
EarningsPerShareBasic,-0.070,0.600,0.120
EarningsPerShareDiluted,-0.070,0.590,0.120
EffectiveIncomeTaxRateContinuingOperations,0.040,-1.430,0.230
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,0.350
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,6000000.000
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,,,0.000
GainLossOnDispositionOfAssets1,2000000.000,,
GainLossOnSaleOfPropertyPlantEquipment,,,310000.000
GainsLossesOnExtinguishmentOfDebt,-42149000.000,-11483000.000,
GrossProfit,1034037000.000,1032537000.000,991308000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-13957000.000,54652000.000,34638000.000
IncomeTaxExpenseBenefit,-565000.000,-78359000.000,7822000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,6000000.000,-101000000.000,
IncomeTaxesPaidNet,,,-39000.000
IncreaseDecreaseInAccountsReceivable,,,192731000.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,-88665000.000
IncreaseDecreaseInInventories,,,-35714000.000
IncreaseDecreaseInPensionPlanObligations,22000000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,25652000.000
InterestExpense,70245000.000,48956000.000,41886000.000
InterestPaid,,,29590000.000
InventoryLIFOReserveEffectOnIncomeNet,-6683000.000,,
ManagementFeeExpense,2000000.000,,
MultiemployerPlanPeriodContributions,8000000.000,8000000.000,9000000.000
NetCashProvidedByUsedInFinancingActivities,,,31070000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,31070000.000
NetCashProvidedByUsedInInvestingActivities,,,-131902000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-131902000.000
NetCashProvidedByUsedInOperatingActivities,,,121559000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,121559000.000
NetIncomeLoss,-13392000.000,133011000.000,26816000.000
OperatingExpenses,935600000.000,917446000.000,914784000.000
OperatingIncomeLoss,98437000.000,115091000.000,76524000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,18876000.000,-8036000.000,-657000.000
PaymentsOfFinancingCosts,,,426000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,3966000.000
PaymentsToAcquireBusinessesGross,,,62000000.000
PaymentsToAcquireBusinessesNetOfCashAcquired,,,62501000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,70125000.000
PensionExpense,,,10000000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,,,3328000.000
ProceedsFromOtherDebt,,,578459000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,,,724000.000
ProceedsFromStockOptionsExercised,,,7018000.000
ProvisionForDoubtfulAccounts,,,4745000.000
RepaymentsOfLongTermDebtAndCapitalSecurities,,,548041000.000
RestructuringCharges,,,2265000.000
RestructuringCostsAndAssetImpairmentCharges,13360000.000,14662000.000,
RestructuringReserveAccrualAdjustment1,,,-392000.000
Revenues,5806758000.000,5840963000.000,5788425000.000
SalesRevenueNet,5806758000.000,5840963000.000,5788425000.000
SellingGeneralAndAdministrativeExpense,922240000.000,902784000.000,912911000.000
ShareBasedCompensation,,,3342000.000
SponsorFees,33214000.000,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,4445230.000,4959397.000
WeightedAverageNumberOfDilutedSharesOutstanding,190077211.000,225054051.000,226323410.000
WeightedAverageNumberOfSharesOutstandingBasic,190077211.000,220608821.000,221364013.000
