,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,0.000,,
CurrentStateAndLocalTaxExpenseBenefit,,,350.000,,,,,,
EarningsPerShareBasicAndDiluted,-0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,-0.000
GeneralAndAdministrativeExpense,713.000,1713.000,2405.000,1766.000,1060.000,1060.000,1670.000,1060.000,1100.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-713.000,-1713.000,-2405.000,,-1060.000,,-1670.000,-1060.000,-1100.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,-1766.000,,,,,
IncreaseDecreaseInAccruedLiabilities,,,-3448.000,,,,1620.000,,
NetCashProvidedByUsedInOperatingActivities,,,-6203.000,,,,-400.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-6203.000,,,,-400.000,,
NetIncomeLoss,-713.000,-1713.000,-2755.000,-1766.000,-1060.000,-1060.000,-2020.000,-1060.000,-1100.000
OperatingExpenses,713.000,1713.000,2405.000,1766.000,1060.000,1060.000,1670.000,1060.000,1100.000
OtherTaxExpenseBenefit,,,,,,,350.000,,
ProceedsFromContributionsFromParent,,,6203.000,,,,400.000,,
ProfitLoss,,,-2755.000,,,,,,
Revenues,,,,,,,,0.000,
SalesRevenueNet,,,,,,,,0.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,5000000.000,,5000000.000,5000000.000,5000000.000
