,2012-08-31,2013-08-31,2014-08-31
AmortizationOfDebtDiscountPremium,,92751.000,-410598.000
AmortizationOfFinancingCostsAndDiscounts,,-93989.000,-410598.000
CashPeriodIncreaseDecrease,5108.000,-13180.000,42033.000
CostOfRevenue,,93727.000,36229.000
CurrentFederalTaxExpenseBenefit,0.000,,
DebtConversionConvertedInstrumentAmount1,,,628455.000
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,,44169.000
DeferredCompensationArrangementWithIndividualAllocatedShareBasedCompensationExpense,,,75955.000
DerivativeGainOnDerivative,,50076.000,-854182.000
EarningsPerShareBasicAndDiluted,-0.010,-0.040,-0.020
EffectiveIncomeTaxRateContinuingOperations,,0.340,0.340
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationIssues,,,1263506.000
FederalIncomeTaxExpenseBenefitContinuingOperations,,453217.000,471847.000
FinancialServicesCosts,147.000,,
GainsLossesOnExtinguishmentOfDebt,,,42972.000
GainsLossesOnRecourseDebt,,,224577.000
GeneralAndAdministrativeExpense,1915.000,389330.000,261551.000
GrossProfit,,-56653.000,-13297.000
ImpairmentOfInvestments,,,32682.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-70777.000,-1332991.000,-1387784.000
IncreaseDecreaseDueFromOfficersAndStockholders,2000.000,,
IncreaseDecreaseInAccountsPayable,,172009.000,7419.000
IncreaseDecreaseInAccountsReceivable,,-9900.000,-3802.000
IncreaseDecreaseInAccruedLiabilities,58965.000,30149.000,142345.000
IncreaseDecreaseInCustomerDeposits,5000.000,,
IncreaseDecreaseInDerivativeLiabilities,,10794.000,
IncreaseDecreaseInInventories,,-32682.000,
IncreaseDecreaseInNotesPayableRelatedParties,,289998.000,-2150.000
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,30000.000,21855.000
IncreaseDecreaseInNotesReceivableRelatedParties,,-77307.000,39764.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-82949.000,
IncreaseDecreaseInPrepaidExpense,,402624.000,
InterestAndOtherIncome,,,-4317.000
InterestExpense,-110.000,21388.000,-98272.000
InterestPaid,,55.000,2617.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,55932.000
LeaseAndRentalExpense,,15910.000,
MarketingAndAdvertisingExpense,,353514.000,47710.000
NetCashProvidedByUsedInFinancingActivities,22000.000,695846.000,498705.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,22000.000,695846.000,498705.000
NetCashProvidedByUsedInInvestingActivities,-10080.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-10080.000,,
NetCashProvidedByUsedInOperatingActivities,-6812.000,-709026.000,-456672.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6812.000,-709026.000,-456672.000
NetIncomeLoss,-70777.000,-1332991.000,-1387784.000
OperatingExpenses,70667.000,1154067.000,918360.000
OperatingIncomeLoss,-70777.000,-1332991.000,-1387784.000
OtherExpenses,,122271.000,-456127.000
OtherIncome,,2662.000,
PaymentsForRent,,1383.000,
PaymentsToAcquirePropertyPlantAndEquipment,10080.000,,
ProceedsFromConvertibleDebt,,359850.000,476500.000
ProceedsFromIssuanceOrSaleOfEquity,,15998.000,20000.000
ProfessionalFees,68605.000,127517.000,91941.000
ProfitLoss,-70667.000,-1210720.000,-931657.000
RepaymentsOfConvertibleDebt,,,17500.000
Revenues,0.000,37074.000,22932.000
SalariesAndWages,,283706.000,310005.000
SalesRevenueNet,0.000,34412.000,22932.000
ShareBasedCompensation,,,207153.000
StockIssuedDuringPeriodSharesIssuedForCash,,155368.000,155368.000
StockIssuedDuringPeriodSharesIssuedForServices,,3157750.000,
StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,,,628456.000
StockIssuedDuringPeriodValueIssuedForCash,,15998.000,15998.000
StockIssuedDuringPeriodValueIssuedForServices,,467448.000,174633.000
StockIssuedDuringPeriodValueShareBasedCompensation,,,81250.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,-453217.000,471847.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,38356630.000,73614030.000
