,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,16000.000,,,,-1507000.000,,,,-31000.000,,,,-22000.000,,,,-58000.000,,
DistributionMadeToMemberOrLimitedPartnerCashDistribution,,,,,,-1500000.000,,,,0.000,,,,,,,,,,
DistributionsPerLimitedPartnershipUnitOutstanding,0.000,,,106.990,,142.450,,,,0.000,,0.000,,0.000,,,,,,0.000
EquityMethodInvestmentDividendsOrDistributions,7000.000,39000.000,1108000.000,108000.000,4000.000,0.000,9000.000,,,,,,,,,,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,650000.000,,,0.000,,,,,,,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,7000.000,-14000.000,,-4000.000,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,2000.000,2000.000,4000.000,1000.000,3000.000,3000.000,4000.000,9000.000,3000.000,4000.000,9000.000,3000.000,15000.000,4000.000,12000.000,4000.000,40000.000,4000.000,13000.000,10000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,-3000.000,,,,12000.000,,,,13000.000,,,,10000.000,,,,11000.000,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,,,,,,-29000.000,,
NetCashProvidedByUsedInOperatingActivities,,16000.000,,,,-7000.000,,,,-31000.000,,,,-22000.000,,,,-58000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,16000.000,,,,-7000.000,,,,-31000.000,,,,-22000.000,,,,-58000.000,,
NetIncomeLoss,630000.000,19000.000,1082000.000,74000.000,-19000.000,-19000.000,-7000.000,-22000.000,20000.000,-18000.000,-16000.000,-12000.000,-39000.000,-12000.000,-18000.000,-13000.000,-47000.000,-18000.000,-15000.000,-18000.000
NetIncomeLossAllocatedToGeneralPartners,6000.000,0.000,11000.000,1000.000,0.000,0.000,0.000,,,,0.000,,,,0.000,0.000,,,,0.000
NetIncomeLossAllocatedToLimitedPartners,624000.000,19000.000,1071000.000,73000.000,-19000.000,-19000.000,-7000.000,-22000.000,20000.000,-18000.000,-16000.000,-12000.000,-38000.000,-12000.000,-18000.000,-13000.000,-46000.000,-18000.000,-15000.000,-18000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,58.770,1.800,101.230,6.900,-1.800,-1.800,-0.670,-2.080,1.890,-1.710,-1.520,-1.140,-3.620,-1.140,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,,,,,,,,-1.710,-1.240,,-1.710,-1.430,-1.710
OperatingExpenses,27000.000,20000.000,26000.000,34000.000,24000.000,19000.000,16000.000,22000.000,18000.000,18000.000,21000.000,12000.000,39000.000,12000.000,22000.000,13000.000,47000.000,18000.000,24000.000,18000.000
OperatingIncomeLoss,-27000.000,-20000.000,-26000.000,-34000.000,-23000.000,-19000.000,-16000.000,-22000.000,-18000.000,-18000.000,-21000.000,-12000.000,-39000.000,-12000.000,-22000.000,-13000.000,-47000.000,-18000.000,-24000.000,-18000.000
ProfessionalFees,15000.000,12000.000,15000.000,27000.000,15000.000,11000.000,8000.000,9000.000,10000.000,12000.000,10000.000,7000.000,22000.000,6000.000,8000.000,7000.000,6000.000,11000.000,9000.000,6000.000
ProfitLoss,,19000.000,,,,-19000.000,,,,-18000.000,,,,-12000.000,,,,-18000.000,,
Revenues,0.000,0.000,0.000,0.000,1197000.000,0.000,,,,,,,,,,,,,,0.000
SalesRevenueNet,0.000,0.000,0.000,0.000,1197000.000,0.000,,,,,,,,,,,,,,0.000
