,2011-07-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2017-01-31,2017-04-30
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,4446282.000,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,94461603.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-5157517.000,,,,-386366.000,,,,580223.000,,,,-22692210.000,,,,-6140222.000,,-10606922.000,
CostOfGoodsAndServicesSold,43346542.000,40057826.000,38367706.000,42381069.000,51901473.000,45886978.000,44390630.000,46173897.000,73626116.000,63043355.000,63111765.000,62339972.000,48938537.000,53064397.000,53522021.000,49875833.000,52191939.000,49568777.000,48700701.000,47731157.000,
CostOfGoodsSold,,,,,,,,,,,,,,,,,,,,,48845558.000
DebtConversionOriginalDebtAmount1,,,,,,,,,,,,,,272954.000,,,,,,,
DepreciationDepletionAndAmortization,,1041105.000,,,,1177637.000,,,,2269355.000,,,,2396780.000,,,,2408849.000,,2492791.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,-40772.000,,-1549100.000,,-608373.000,-4257.000,869850.000,46705.000,306912.000,-186152.000,383860.000,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,,49813.000,,275537.000,-248955.000,343320.000,-214339.000,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,-40772.000,,,,-608373.000,,,,306912.000,,383860.000,
DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,,,,,,,,,,5509080.000,,,,32136300.000,,,,,,,
DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsDeclaredPerUnit,,,,,,,,,,,,,,,,,,315.000,,365.000,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,,9196800.000,,,,0.000,,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsDeclaredPerUnit,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,51.760,99.290,3.810,-18.480,-79.370,7.230,99.060,71.020,150.470,344.870,465.580,425.340,357.820,123.080,103.890,177.770,39.180,0.380,22.860,135.910,60.360
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,24119.000,,,,0.000,,,,,,45000.000,
GrossProfit,2068381.000,3687950.000,657416.000,54694.000,-1946091.000,832144.000,3629972.000,2710179.000,6851018.000,14420458.000,18212259.000,16043874.000,14844764.000,5628105.000,5545088.000,8795890.000,2631235.000,1432877.000,2273697.000,6844907.000,3956500.000
IncreaseDecreaseInAccountsPayable,,741710.000,,,,-759783.000,,,,-1782559.000,,,,-809997.000,,,,-1669322.000,,-7605717.000,
IncreaseDecreaseInAccountsReceivable,,1186088.000,,,,323424.000,,,,5419054.000,,,,-4905034.000,,,,-4383728.000,,-2302376.000,
