,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndOtherAccruedLiabilities,,,,,,,,,3440000.000,4220000.000,5600.000,4600000.000
AccruedBonusesCurrent,,,,,,,12100000.000,,,,800000.000,
AccruedBonusesCurrentAndNoncurrent,,,7700000.000,,,,14100000.000,,,,4400000.000,
AccruedIncomeTaxes,2348000.000,298000.000,12808000.000,7325000.000,,,2092000.000,1829000.000,,,,
AccruedInvestmentIncomeReceivable,1331000.000,1847000.000,2617000.000,3019000.000,3775000.000,3282000.000,3409000.000,3676000.000,4329000.000,4624000.000,4764000.000,5009000.000
AccruedSalesCommissionCurrentAndNoncurrent,,,,,,,,,6426000.000,4550000.000,6200.000,5700000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,422000.000,663000.000,927000.000,1221000.000,1529000.000,1853000.000,2199000.000,2549000.000,2950000.000,3349000.000,3752000.000,4135000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,2242000.000,2106000.000,1723000.000,2722000.000,-1564000.000,-3477000.000,-2033000.000,246000.000,5563000.000,4116000.000,-5018000.000,-3044000.000
AdditionalPaidInCapital,183984000.000,184024000.000,188342000.000,190004000.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,193184000.000,198584000.000,202628000.000,203832000.000,205036000.000,206240000.000,205727000.000,206931000.000
Assets,525831000.000,522768000.000,615031000.000,668649000.000,854125000.000,855044000.000,837398000.000,879043000.000,1122965000.000,1053714000.000,1033244000.000,955404000.000
AssumedLiabilityForUnpaidClaimsAndClaimsAdjustmentExpense,15000000.000,15000000.000,15000000.000,15000000.000,,,,,190000000.000,190000000.000,190000000.000,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,132132000.000,214566000.000,290951000.000,360885000.000,402358000.000,380892000.000,370967000.000,448813000.000,507091000.000,509184000.000,576911000.000,576097000.000
AvailableForSaleEquitySecuritiesAmortizedCostBasis,15174000.000,26679000.000,30555000.000,31282000.000,31460000.000,20457000.000,32439000.000,32574000.000,33998000.000,33935000.000,34190000.000,34634000.000
AvailableForSaleSecurities,156976000.000,251140000.000,324310000.000,396598000.000,432584000.000,395688000.000,403396000.000,481167000.000,550067000.000,549778000.000,602982000.000,605838000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,4187000.000,,6153000.000,3250000.000,1899000.000,3233000.000,5879000.000,13088000.000,10616000.000,2143000.000,3122000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,757000.000,,1722000.000,4484000.000,7560000.000,6543000.000,6099000.000,4110000.000,3957000.000,10262000.000,8015000.000
