,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,15665000.000,17177000.000,21731000.000,22420000.000,22129000.000,23314000.000,28695000.000,26909000.000,28962000.000,27676000.000,31766000.000,28999000.000,24108000.000,21437000.000,23008000.000,22526000.000,21485000.000,23031000.000,23655000.000,22118000.000,20843000.000,18616000.000,19714000.000,16611000.000
AccountsReceivableNetCurrent,15936000.000,14066000.000,13340000.000,14655000.000,15236000.000,15440000.000,13626000.000,15303000.000,15463000.000,14818000.000,13986000.000,15355000.000,16529000.000,15695000.000,14608000.000,15974000.000,17380000.000,17822000.000,16398000.000,17414000.000,18400000.000,16692000.000,14415000.000,14189000.000
AccruedAdvertisingCurrent,,,,,,,2059000.000,,,,2859000.000,,,,2687000.000,,,,1801000.000,,,,1828000.000,
AccruedIncomeTaxesCurrent,146000.000,294000.000,279000.000,0.000,,0.000,0.000,559000.000,1022000.000,1353000.000,,726000.000,1699000.000,1757000.000,574000.000,689000.000,581000.000,857000.000,477000.000,1075000.000,1639000.000,2029000.000,691000.000,2171000.000
AccruedIncomeTaxesNoncurrent,1478000.000,2109000.000,2225000.000,2276000.000,2001000.000,9874000.000,10030000.000,10133000.000,10239000.000,10388000.000,10436000.000,10546000.000,10660000.000,10817000.000,10936000.000,11608000.000,11731000.000,3087000.000,3000000.000,3007000.000,3053000.000,3122000.000,2879000.000,2941000.000
AccruedLiabilitiesCurrent,13384000.000,11000000.000,6311000.000,12010000.000,11606000.000,12619000.000,11993000.000,12796000.000,13200000.000,10043000.000,10543000.000,9820000.000,9100000.000,10272000.000,9943000.000,10518000.000,10830000.000,11654000.000,10140000.000,9915000.000,10982000.000,8316000.000,8699000.000,9507000.000
AccruedRentCurrent,,,,,,,,,,,,,,,381000.000,,,,473000.000,,,,431000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,8872000.000,,,,11005000.000,,,,12513000.000,,,,15365000.000,,,,17137000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-835000.000,-1306000.000,-1422000.000,-915000.000,-1484000.000,-728000.000,-737000.000,-1954000.000,-2115000.000,-797000.000,-530000.000,-613000.000,-83000.000,-1734000.000,-2997000.000,-5266000.000,-4105000.000,-3884000.000,-3908000.000,-3716000.000,-3625000.000,-3809000.000,-3787000.000,-3820000.000
AdditionalPaidInCapitalCommonStock,7281000.000,7468000.000,7656000.000,7943000.000,8249000.000,8556000.000,8863000.000,9169000.000,9476000.000,9851000.000,10247000.000,10642000.000,11037000.000,11080000.000,11043000.000,11191000.000,11339000.000,30732000.000,7759000.000,6009000.000,1716000.000,1387000.000,0.000,0.000
