,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,65178.000,,369207.000,404242.000,585997.000,748879.000,1073910.000,1144508.000,2031600.000,
AccountsPayableCurrent,,,,,,320044.000,,,,,,,,588628.000
AccountsReceivableNetCurrent,,,,,,,,2520.000,1110.000,63047.000,152648.000,152982.000,,42457.000
AccruedLiabilitiesCurrent,89753.000,43643.000,49824.000,54098.000,,,,,,,,,,1245447.000
AccruedProfessionalFeesCurrent,,,,,,,,,511454.000,671254.000,871854.000,438220.000,509294.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,9447.000,118157.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,6898.000,6206.000,3545.000,7463.000,10990.000,,,,,,,,,
AdditionalPaidInCapital,-1778.000,-1778.000,-1778.000,-1778.000,-1778.000,8458228.000,8643984.000,13749709.000,20111077.000,20111077.000,22166617.000,23304265.000,24508365.000,25707788.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000,0.000,0.000,,,,,0.000,0.000,0.000,148466.000,0.000,9908.000
Assets,116724.000,41656.000,29840.000,31083.000,27021.000,1285513.000,1204896.000,1536497.000,1414320.000,2127422.000,2608479.000,1826821.000,1702568.000,2316152.000
AssetsCurrent,114429.000,39574.000,27822.000,29335.000,25473.000,160692.000,40075.000,198676.000,439667.000,534911.000,935968.000,866534.000,581123.000,685079.000
AssetsNoncurrent,,,,,,848567.000,848567.000,911567.000,439667.000,436667.000,436667.000,336667.000,363333.000,
CashAndCashEquivalentsAtCarryingValue,114429.000,39574.000,27822.000,29335.000,25473.000,157322.000,5075.000,96156.000,36001.000,39269.000,16047.000,29844.000,51333.000,119613.000
