,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AdjustmentOfWarrantsGrantedForServices,-22986.000,,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,207354.000,,
AdvertisingExpense,,,18810.000,,,149881.000,67732.000
AllocatedShareBasedCompensationExpense,,,3062446.000,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,,206950.000,829377.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,20700.000,,,,,,
AmortizationOfDebtDiscountPremium,,,,,55535.000,484271.000,118146.000
AssetRetirementObligationAccretionExpense,281.000,281.000,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountContingentAssetsAndLiabilitiesRecognizedLiability,,,,,,-393367.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-32785.000,,598272.000,,2793299.000,-2403931.000,-490845.000
ComprehensiveIncomeNetOfTax,-56375.000,,,,,,
CostOfGoodsSold,,,-262.000,,-840169.000,-1635672.000,-1293810.000
CostsAndExpenses,77528.000,118103.000,,,,,
Depreciation,,,6572.000,,,,
DepreciationAndAmortization,,,,,55979.000,95990.000,97909.000
DepreciationDepletionAndAmortization,2552.000,28325.000,,,,,
DepreciationExpense,,,6572.000,,55979.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,4423.000,,,,
Dividends,,,20894.000,,,,
EarningsPerShareBasic,,,-0.335,,,,
EarningsPerShareBasicAndDiluted,-0.020,-0.020,,,-1.128,-0.224,-0.245
EarningsPerShareDiluted,,,-0.335,,,,
ExtinguishmentOfDebtAmount,,,,,10393967.000,1210793.000,
ExtinguishmentOfDebtGainLossNetOfTax,,,,,-4710423.000,-281090.000,
ForeignCurrencyTransactionGainLossRealized,,,,,,-12116.000,-10283.000
GainsLossesOnExtinguishmentOfDebt,,,,,4710423.000,281090.000,
GeneralAndAdministrativeExpense,58590.000,73392.000,,,2293765.000,2941808.000,3720481.000
GrossProfit,20700.000,20700.000,223.000,-38080.000,673143.000,401516.000,213880.000
IncomeLossFromContinuingOperations,,,-3533331.000,,-7294116.000,-3236435.000,-4189605.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,,,-3532531.000,,-7293316.000,-3233210.000,-4189605.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,-1.128,-0.224,-0.245
IncomeTaxExpenseBenefit,,,-800.000,,-800.000,-3225.000,
IncomeTaxesPaid,,,800.000,,3200.000,825.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,20757.000,,-3215.000,,398370.000,-588238.000,344828.000
IncreaseDecreaseInAccountsReceivable,-20700.000,,613.000,,-103178.000,180054.000,1064678.000
IncreaseDecreaseInAssetsHeldForSale,,,,,1126.000,,
IncreaseDecreaseInDerivativeLiabilities,,,,,694918.000,-35131.000,
IncreaseDecreaseInOtherNoncurrentAssets,,,-1132.000,,-1287.000,-4.000,
IncreaseDecreaseInPrepaidExpense,,,8042.000,,-80318.000,50060.000,15777.000
IncreaseDecreaseInSecurityDeposits,,,-200.000,,-107575.000,,-425.000
InterestAndOtherIncome,452.000,,,,,,
InterestExpense,,,,,-164259.000,-617267.000,-487782.000
InterestPaid,,,,,65908.000,86807.000,100861.000
InvestmentIncomeInterest,,,,,21.000,26.000,4.000
