,2012-10-27,2013-02-02,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AccountsPayableAndAccruedLiabilitiesCurrent,156382000.000,145353000.000,179420000.000,205551000.000,209228000.000,206778000.000,215381000.000,248336000.000,262381000.000,235159000.000,240422000.000,291381000.000,300888000.000,280714000.000,248971000.000,222812000.000,231079000.000,226980000.000,233395000.000
AccountsPayableCurrent,80360000.000,81608000.000,74712000.000,122585000.000,123143000.000,116306000.000,,143696000.000,149445000.000,133063000.000,146391000.000,189964000.000,188233000.000,175024000.000,148535000.000,130917000.000,121517000.000,134720000.000,124646000.000
AccountsReceivableNetCurrent,19045000.000,17040000.000,17712000.000,22605000.000,22041000.000,22028000.000,18922000.000,24136000.000,27646000.000,25965000.000,25509000.000,22834000.000,32366000.000,28567000.000,32080000.000,34962000.000,35974000.000,34191000.000,34116000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,18435000.000,,,,18830000.000,19470000.000,19633000.000,21773000.000,23004000.000,22658000.000,22447000.000,25093000.000,24364000.000,30628000.000,28847000.000,27750000.000,24524000.000,24991000.000
AccruedProfessionalFeesCurrent,6885000.000,2114000.000,3897000.000,,,3119000.000,,3145000.000,3220000.000,2319000.000,1980000.000,3120000.000,3202000.000,2736000.000,5869000.000,2420000.000,2466000.000,2082000.000,4394000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,126805000.000,,,,152039000.000,,,,143406000.000,,,,175422000.000,,,,234103000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1251000.000,1211000.000,1180000.000,1138000.000,935000.000,629000.000,693000.000,704000.000,537000.000,-502000.000,-284000.000,-1361000.000,-1392000.000,-2700000.000,61000.000,-1157000.000,-2131000.000,-1692000.000,-2873000.000
AdditionalPaidInCapital,293112000.000,505883000.000,509514000.000,571714000.000,574428000.000,584641000.000,595419000.000,641074000.000,645914000.000,668989000.000,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,677208000.000,732357000.000,748710000.000,763566000.000,767643000.000,775373000.000,783050000.000,790866000.000,798467000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,1600000.000,,,,2300000.000,,,,2300000.000,,,,2400000.000,
Assets,742232000.000,789613000.000,859622000.000,929364000.000,992098000.000,1025103000.000,1099956000.000,1366728000.000,1452323000.000,1525999000.000,1602302000.000,1996988000.000,2059110000.000,2088472000.000,2051008000.000,2088641000.000,2156301000.000,2192520000.000,1948386000.000
AssetsCurrent,460345000.000,492758000.000,551438000.000,577403000.000,603562000.000,613815000.000,661666000.000,901933000.000,918262000.000,912244000.000,934382000.000,1294760000.000,1297713000.000,1313677000.000,1244435000.000,1149164000.000,1151804000.000,1138257000.000,914670000.000
AssetsFairValueDisclosure,,,,,,,,,,99799000.000,99771000.000,199657000.000,199611000.000,199651000.000,128193000.000,198272000.000,198651000.000,183892000.000,
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,4900000.000,8179000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,,,,,,,,,,22033000.000,10838000.000,9093000.000,21062000.000,33238000.000,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,,,,,,,,22054000.000,10859000.000,9102000.000,21056000.000,33212000.000,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,,,,,,,,,,177564000.000,117028000.000,183629000.000,171075000.000,148155000.000,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,,,,,,,,177527000.000,117084000.000,183749000.000,171152000.000,148170000.000,
BelowMarketLeaseAccumulatedAmortization,,,,,,,,,,,,,,,,,1336000.000,1350000.000,1365000.000
BelowMarketLeaseGross,,,,,,,,,,,,,,,,,1467000.000,1467000.000,1467000.000
BelowMarketLeaseNet,,,,,,,,,,,,,,,,,131000.000,117000.000,102000.000
CapitalLeaseObligations,400000.000,4527000.000,,,,2196000.000,,,,7742000.000,,,,7581000.000,,,,7509000.000,
CapitalLeaseObligationsCurrent,,2925000.000,,,,1807000.000,903000.000,451000.000,333000.000,255000.000,236000.000,,,182000.000,139000.000,322000.000,285000.000,267000.000,
