,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,5775455.000,10076741.000,4893500.000,3621124.000,4535508.000,4421747.000,5342637.000,3626962.000,7624910.000,4000827.000,5703030.000,5755000.000,9106000.000,5385000.000,4966000.000,3994000.000,5693000.000,4979000.000
AccountsReceivableNetCurrent,11922617.000,13880025.000,14311343.000,14120560.000,16076485.000,15938378.000,14658198.000,17075733.000,13561093.000,13993135.000,14058878.000,13444000.000,16395000.000,16676000.000,16981000.000,17843000.000,16706000.000,16419000.000
AccumulatedAmortizationDeferredFinanceCosts,,,,,,,2680378.000,,,,4531043.000,,,,6636000.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,4924360.000,,,,5546003.000,,,,6136000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1938218.000,-1624400.000,-1270850.000,-981328.000,-622520.000,-233547.000,9979.000,5113.000,6003.000,3897.000,10711.000,22000.000,7000.000,28000.000,51000.000,109000.000,91000.000,148000.000
AdditionalPaidInCapital,121826199.000,122328660.000,122815398.000,123262679.000,123695266.000,124077752.000,124460238.000,124619117.000,125091852.000,125226630.000,125952025.000,126183000.000,126280000.000,126398000.000,126510000.000,126772000.000,126894000.000,127136000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,2774720.000,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,3057000.000,,,,,,,2485004.000,,2641000.000,2799000.000,,3496000.000,3472000.000,3886000.000
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,,,,,,,,3019000.000,,,
Assets,385883010.000,383455223.000,380900229.000,368830610.000,361043527.000,356578080.000,354067610.000,349262665.000,343451680.000,339431519.000,332775736.000,326157000.000,328135000.000,326531000.000,325890000.000,321639000.000,317273000.000,310872000.000
AssetsCurrent,44122459.000,38605449.000,35195471.000,33254171.000,33291134.000,31349056.000,33049081.000,29004137.000,29248958.000,29208723.000,27502875.000,27182000.000,33285000.000,38380000.000,39333000.000,40860000.000,41750000.000,42865000.000
BilledContractReceivables,,,,,2200000.000,2100000.000,,1800000.000,1900000.000,1900000.000,2000000.000,1800000.000,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,,,,,2600000.000,2800000.000,3100000.000,1300000.000,3100000.000,3100000.000,3100000.000,3100000.000,3100000.000,3100000.000,3100000.000,3100000.000,3100000.000,3100000.000
CapitalLeaseObligationsCurrent,6954.000,7076.000,7199.000,7325.000,6812.000,4997.000,3154.000,1275.000,0.000,0.000,0.000,13000.000,20000.000,34000.000,35000.000,49000.000,71000.000,78000.000
CapitalLeaseObligationsNoncurrent,6812.000,4997.000,3150.000,1271.000,,,0.000,,,,,73000.000,104000.000,171000.000,162000.000,223000.000,319000.000,323000.000
CashAndCashEquivalentsAtCarryingValue,16635551.000,13243039.000,9030383.000,7833704.000,8918878.000,7842578.000,8389321.000,3108111.000,2969642.000,3030137.000,1348558.000,1030000.000,936000.000,1423000.000,1087000.000,688000.000,756000.000,1281000.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000
CommonStockSharesIssued,24428092.000,24428092.000,24428092.000,24537156.000,24555818.000,24555818.000,24555818.000,24653513.000,24653513.000,24653513.000,24743513.000,24792387.000,24813619.000,24813619.000,24824614.000,24935600.000,24961523.000,25186791.000
CommonStockSharesOutstanding,24428092.000,24428092.000,24428092.000,24537156.000,24555818.000,24555818.000,24555818.000,24653513.000,24653513.000,24653513.000,24743513.000,24792387.000,24813619.000,24813619.000,24824614.000,24935600.000,24961523.000,25186791.000
CommonStockValue,2443.000,2443.000,2443.000,2454.000,2456.000,2456.000,2456.000,2465.000,2465.000,2465.000,2474.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,3000.000
CustomerDepositsCurrent,1345171.000,135255.000,142581.000,184596.000,574612.000,442180.000,73795.000,487010.000,265481.000,179350.000,293067.000,202000.000,212000.000,238000.000,350000.000,228000.000,855000.000,628000.000
DebtInstrumentFairValue,,,,,221600000.000,219900000.000,217200000.000,221500000.000,217100000.000,216800000.000,212000000.000,210200000.000,211200000.000,217500000.000,221900000.000,224100000.000,221900000.000,220600000.000
DebtLongtermAndShorttermCombinedAmount,,,,,221795173.000,219448199.000,218699738.000,219380532.000,212476900.000,214208621.000,210571859.000,208913000.000,211242000.000,216557000.000,220952000.000,223210000.000,221303000.000,219867000.000
DeferredFinanceCostsGross,,,,,,,3850732.000,,,,10626400.000,,,,11768000.000,,,
DeferredFinanceCostsNet,,,,,,,1170354.000,,,,6095357.000,,,,5132000.000,,,
DeferredFinanceCostsNoncurrentNet,1855184.000,1774441.000,1803167.000,1638660.000,1568355.000,1346574.000,1170354.000,7354837.000,7104379.000,6605143.000,6095357.000,5635000.000,6030000.000,5489000.000,5132000.000,4549000.000,3960000.000,3354000.000
DeferredIncomeTaxLiabilities,,,,,,,109458951.000,,,,102374051.000,,,,95434000.000,,,
DeferredRevenueCurrent,1154212.000,1444190.000,1106781.000,1285598.000,1450746.000,1537772.000,1520701.000,1790581.000,1688280.000,1692382.000,1667443.000,1838000.000,2136000.000,1962000.000,1849000.000,2035000.000,1660000.000,1677000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,4143639.000,,,,2649472.000,,,,1185000.000,,,
DeferredTaxAssetsGross,,,,,,,66775225.000,,,,65181736.000,,,,65289000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,64383297.000,,,,64451000.000,,,
DeferredTaxAssetsNet,,,,,,,66223322.000,,,,,,,,,,,
DeferredTaxAssetsNetCurrent,2882119.000,3022353.000,3478114.000,3506859.000,2091193.000,2034922.000,3022625.000,3102228.000,3048003.000,3123912.000,2878214.000,3078000.000,3020000.000,3313000.000,3504000.000,3620000.000,3722000.000,3703000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,53906741.000,,,,55825699.000,,,,57105000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,138900000.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,,,71500000.000,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,1984934.000,,,,1598285.000,,,,1686000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,4947064.000,,,,3416028.000,,,,3299000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,551903.000,,,,798439.000,,,,838000.000,,,
DeferredTaxLiabilities,,,,,,,43235629.000,,,,37990754.000,,,,30983000.000,,,
DeferredTaxLiabilitiesGrossNoncurrent,,,,,,,46258254.000,,,,40868968.000,,,,,,,
